Study_Mode,Course_Lang,Duration,Availability,Study_Type,Currency_Time,Blended,Offline,Faculty,Mode_of_Study,Local_Fees,Online_Only,Description,Currency,Online,Course,Part_Time,Int_Description,University,Website,Full_Time,City,Course_Level,Career_Outcomes,Level_Code,Duration_Time,Int_Fees,Distance
1,English,3,A,Offline,Years,,Yes,Business & Commerce & Finance & Accounting,Full Time / Part Time,10185,No,"Unlike pure accounting degrees, our Bachelor of Accounting and Finance will broaden your career choices. In addition to graduating with an extensive corporate accounting education, you will gain a good understanding of financial instruments, institutions, markets and systems. This course also covers financial decision-making under uncertainty which can be applied to careers in banking, financial consulting, funds management, merchant banking, stockbroking or treasury. Future employers will know instantly what you are qualified in when you apply with a named degree. And you’ll be eligible for membership with CPA Australia, Chartered Accountants Australia and New Zealand, and the Institute of Public Accountants.",AUD,,Bachelor of Accounting and Finance,Yes,"Unlike pure accounting degrees, our Bachelor of Accounting and Finance will broaden your career choices. In addition to graduating with an extensive corporate accounting education, you will gain a good understanding of financial instruments, institutions, markets and systems. This course also covers financial decision-making under uncertainty which can be applied to careers in banking, financial consulting, funds management, merchant banking, stockbroking or treasury.Future employers will know instantly what you are qualified in when you apply with a named degree. And you’ll be eligible for membership with CPA Australia, Chartered Accountants Australia and New Zealand, and the Institute of Public Accountants.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_accounting_and_finance,Yes,Brisbane,Bachelor,Accountant Auditor Budget Manager Chief Financial Officer Financial Adviser Financial Assurance and Compliance Manager Financial Manager Financial Planner Investment Analyst Tax Agent,UG,Years,29080,Blended
1,English,3,A,Offline,Years,,Yes,Business & Commerce & Finance & Accounting,Full Time / Part Time,10185,No,"Unlike pure accounting degrees, our Bachelor of Accounting and Finance will broaden your career choices. In addition to graduating with an extensive corporate accounting education, you will gain a good understanding of financial instruments, institutions, markets and systems. This course also covers financial decision-making under uncertainty which can be applied to careers in banking, financial consulting, funds management, merchant banking, stockbroking or treasury. Future employers will know instantly what you are qualified in when you apply with a named degree. And you’ll be eligible for membership with CPA Australia, Chartered Accountants Australia and New Zealand, and the Institute of Public Accountants.",AUD,,Bachelor of Accounting and Finance,Yes,"Unlike pure accounting degrees, our Bachelor of Accounting and Finance will broaden your career choices. In addition to graduating with an extensive corporate accounting education, you will gain a good understanding of financial instruments, institutions, markets and systems. This course also covers financial decision-making under uncertainty which can be applied to careers in banking, financial consulting, funds management, merchant banking, stockbroking or treasury.Future employers will know instantly what you are qualified in when you apply with a named degree. And you’ll be eligible for membership with CPA Australia, Chartered Accountants Australia and New Zealand, and the Institute of Public Accountants.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_accounting_and_finance,Yes,Melbourne,Bachelor,Accountant Auditor Budget Manager Chief Financial Officer Financial Adviser Financial Assurance and Compliance Manager Financial Manager Financial Planner Investment Analyst Tax Agent,UG,Years,29080,Blended
1,English,3,A,Offline,Years,,Yes,Business & Commerce & Finance & Accounting,Full Time / Part Time,10185,No,"Unlike pure accounting degrees, our Bachelor of Accounting and Finance will broaden your career choices. In addition to graduating with an extensive corporate accounting education, you will gain a good understanding of financial instruments, institutions, markets and systems. This course also covers financial decision-making under uncertainty which can be applied to careers in banking, financial consulting, funds management, merchant banking, stockbroking or treasury. Future employers will know instantly what you are qualified in when you apply with a named degree. And you’ll be eligible for membership with CPA Australia, Chartered Accountants Australia and New Zealand, and the Institute of Public Accountants.",AUD,,Bachelor of Accounting and Finance,Yes,"Unlike pure accounting degrees, our Bachelor of Accounting and Finance will broaden your career choices. In addition to graduating with an extensive corporate accounting education, you will gain a good understanding of financial instruments, institutions, markets and systems. This course also covers financial decision-making under uncertainty which can be applied to careers in banking, financial consulting, funds management, merchant banking, stockbroking or treasury.Future employers will know instantly what you are qualified in when you apply with a named degree. And you’ll be eligible for membership with CPA Australia, Chartered Accountants Australia and New Zealand, and the Institute of Public Accountants.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_accounting_and_finance,Yes,North Sydney,Bachelor,Accountant Auditor Budget Manager Chief Financial Officer Financial Adviser Financial Assurance and Compliance Manager Financial Manager Financial Planner Investment Analyst Tax Agent,UG,Years,29080,Blended
1,English,3,A,Offline,Years,,Yes,English,Full Time / Part Time,8455,No,"Public health is the science and art of preventing disease, prolonging life and promoting health by improving social and political systems. It includes environmental, economic, technical, educational and legislative measures. The Bachelor of Applied Public Health will give you the skills to improve population health, whether it’s to a handful of people or across several continents. You will learn how to: Graduates can enter a wide range of public health careers, such as: within a variety of organisations such as: The Bachelor of Applied Public Health will give you up to 300 hours of valuable professional placements, concentrated in the third year of the course. Some placements will be available during summer recess, and there are opportunities for interstate or international experience.",AUD,,Bachelor of Applied Public Health,Yes,"Public health is the science and art of preventing disease, prolonging life and promoting health by improving social and political systems. It includes environmental, economic, technical, educational and legislative measures. The Bachelor of Applied Public Health will give you the skills to improve population health, whether it’s to a handful of people or across several continents. You will learn how to:Graduates can enter a wide range of public health careers, such as:within a variety of organisations such as:The Bachelor of Applied Public Health will give you up to 300 hours of valuable professional placements, concentrated in the third year of the course. Some placements will be available during summer recess, and there are opportunities for interstate or international experience.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_applied_public_health,Yes,Melbourne,Bachelor,"Graduates can work in roles including public health officer, community development worker, epidemiologist, policy analyst, program evaluator, health educator, project officer and consumer advocate. Such roles exist in both the public and private sectors including state and federal health departments, population health units, community health centres, and divisions of general practice, local government, non-governmental health organisations (NGOs), advocacy groups and international health agencies.",UG,Years,24336,Blended
1,English,3,A,Offline,Years,,Yes,Creative Arts & Design & Music,Full Time / Part Time,10593,No,"The Bachelor of Arts is designed to produce knowledgeable, articulate and innovative graduates recognised by their skills to think systematically and critically, gather and evaluate evidence from many and diverse sources, communicate clearly, and apply ethical principles to decision-making for a variety of professions and industries. The degree can also be taken as a pathway for students who wish to consider future study in teaching in secondary education. Students who successfully complete the first year of this degree may be eligible to apply for transfer into their chosen degree. Students who complete this course can progress to a postgraduate initial teacher education qualification. The three-year program offers specialisations and the choice of more than 20 majors and minors in the humanities, social sciences and visual arts to encourage students to design their own academic program to reflect their intellectual interests and career aspirations. An accelerated option is available for this course. By studying some units in summer and winter professional terms this course gives you the flexibility to accelerate and complete your degree in 2.5 years.",AUD,,Bachelor of Arts,Yes,"This course provides you with opportunities to explore, understand and appreciate the humanities, arts and social science that enrich our culture, as well as allowing you to develop skills and knowledge relevant to the workplace.The Bachelor of Arts course is a flexible program designed to produce knowledgeable, articulate and innovative graduates. Students choose their preferred subjects. An awareness and appreciation of diverse societies, cultures, values and cultural sensitivities are important elements. Graduates are valued because of their capacity to think systematically and critically, to gather and evaluate evidence from many sources and to communicate clearly.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_arts,Yes,Blacktown,Bachelor,Employment options for graduates are diverse and can depend on the choice of majors or specialisations. Employers may include government and non-government organisations; media and communications; arts and  cultural organisations; higher education; business sector; not-for-profit  organisations. Roles may include historian; social scientist; political analyst.,UG,Years,24104,Blended
1,English,3,A,Offline,Years,,Yes,Creative Arts & Design & Music,Full Time / Part Time,10593,No,"The Bachelor of Arts is designed to produce knowledgeable, articulate and innovative graduates recognised by their skills to think systematically and critically, gather and evaluate evidence from many and diverse sources, communicate clearly, and apply ethical principles to decision-making for a variety of professions and industries. The degree can also be taken as a pathway for students who wish to consider future study in teaching in secondary education. Students who successfully complete the first year of this degree may be eligible to apply for transfer into their chosen degree. Students who complete this course can progress to a postgraduate initial teacher education qualification. The three-year program offers specialisations and the choice of more than 20 majors and minors in the humanities, social sciences and visual arts to encourage students to design their own academic program to reflect their intellectual interests and career aspirations. An accelerated option is available for this course. By studying some units in summer and winter professional terms this course gives you the flexibility to accelerate and complete your degree in 2.5 years.",AUD,,Bachelor of Arts,Yes,"This course provides you with opportunities to explore, understand and appreciate the humanities, arts and social science that enrich our culture, as well as allowing you to develop skills and knowledge relevant to the workplace.The Bachelor of Arts course is a flexible program designed to produce knowledgeable, articulate and innovative graduates. Students choose their preferred subjects. An awareness and appreciation of diverse societies, cultures, values and cultural sensitivities are important elements. Graduates are valued because of their capacity to think systematically and critically, to gather and evaluate evidence from many sources and to communicate clearly.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_arts,Yes,Brisbane,Bachelor,Employment options for graduates are diverse and can depend on the choice of majors or specialisations. Employers may include government and non-government organisations; media and communications; arts and  cultural organisations; higher education; business sector; not-for-profit  organisations. Roles may include historian; social scientist; political analyst.,UG,Years,24104,Blended
1,English,3,A,Offline,Years,,Yes,Creative Arts & Design & Music,Full Time / Part Time,10593,No,"The Bachelor of Arts is designed to produce knowledgeable, articulate and innovative graduates recognised by their skills to think systematically and critically, gather and evaluate evidence from many and diverse sources, communicate clearly, and apply ethical principles to decision-making for a variety of professions and industries. The degree can also be taken as a pathway for students who wish to consider future study in teaching in secondary education. Students who successfully complete the first year of this degree may be eligible to apply for transfer into their chosen degree. Students who complete this course can progress to a postgraduate initial teacher education qualification. The three-year program offers specialisations and the choice of more than 20 majors and minors in the humanities, social sciences and visual arts to encourage students to design their own academic program to reflect their intellectual interests and career aspirations. An accelerated option is available for this course. By studying some units in summer and winter professional terms this course gives you the flexibility to accelerate and complete your degree in 2.5 years.",AUD,,Bachelor of Arts,Yes,"This course provides you with opportunities to explore, understand and appreciate the humanities, arts and social science that enrich our culture, as well as allowing you to develop skills and knowledge relevant to the workplace.The Bachelor of Arts course is a flexible program designed to produce knowledgeable, articulate and innovative graduates. Students choose their preferred subjects. An awareness and appreciation of diverse societies, cultures, values and cultural sensitivities are important elements. Graduates are valued because of their capacity to think systematically and critically, to gather and evaluate evidence from many sources and to communicate clearly.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_arts,Yes,Melbourne,Bachelor,Employment options for graduates are diverse and can depend on the choice of majors or specialisations. Employers may include government and non-government organisations; media and communications; arts and  cultural organisations; higher education; business sector; not-for-profit  organisations. Roles may include historian; social scientist; political analyst.,UG,Years,24104,Blended
1,English,3,A,Offline,Years,,Yes,Creative Arts & Design & Music,Full Time / Part Time,10593,No,"The Bachelor of Arts is designed to produce knowledgeable, articulate and innovative graduates recognised by their skills to think systematically and critically, gather and evaluate evidence from many and diverse sources, communicate clearly, and apply ethical principles to decision-making for a variety of professions and industries. The degree can also be taken as a pathway for students who wish to consider future study in teaching in secondary education. Students who successfully complete the first year of this degree may be eligible to apply for transfer into their chosen degree. Students who complete this course can progress to a postgraduate initial teacher education qualification. The three-year program offers specialisations and the choice of more than 20 majors and minors in the humanities, social sciences and visual arts to encourage students to design their own academic program to reflect their intellectual interests and career aspirations. An accelerated option is available for this course. By studying some units in summer and winter professional terms this course gives you the flexibility to accelerate and complete your degree in 2.5 years.",AUD,,Bachelor of Arts,Yes,"This course provides you with opportunities to explore, understand and appreciate the humanities, arts and social science that enrich our culture, as well as allowing you to develop skills and knowledge relevant to the workplace.The Bachelor of Arts course is a flexible program designed to produce knowledgeable, articulate and innovative graduates. Students choose their preferred subjects. An awareness and appreciation of diverse societies, cultures, values and cultural sensitivities are important elements. Graduates are valued because of their capacity to think systematically and critically, to gather and evaluate evidence from many sources and to communicate clearly.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_arts,Yes,New South Wales,Bachelor,Employment options for graduates are diverse and can depend on the choice of majors or specialisations. Employers may include government and non-government organisations; media and communications; arts and  cultural organisations; higher education; business sector; not-for-profit  organisations. Roles may include historian; social scientist; political analyst.,UG,Years,24104,Blended
1,English,3,D,Offline,Years,,Yes,Humanities and Social Science,Full Time / Part Time,6680,No,"The Bachelor of Arts (Western Civilisation) provides students with a rigorous and stimulating intellectual program in which they engage with western philosophy, history, literature, politics, art and culture, and develop a deep understanding of the great works, ideas and movements within the western intellectual tradition in the core of the program. Students also take a major in one of Drama, English, History, Philosophy, Politics and International Relations, Psychology, Sociology, Theological Studies, or Visual Arts. The degree fosters skills that prepare students for leadership roles in the private and public sectors including government, business, social enterprise and the Arts. Offers will be made to applicants based on high ATAR results and will also be assessed against other criteria, namely “Ramsay Attributes” (i.e. potential to make a positive contribution in Australia and the world as demonstrated through resume, references and a personal statement). ACU is offering 30 scholarships to students undertaking this degree, funded by the Ramsay Centre, each valued at up to $90,000 ($30,000 per year of the degree). Students eligible for scholarship will be selected by a committee, comprising senior ACU and Ramsay Centre staff. Applicants who wish to be considered for a scholarship, will need to meet the essential requirements for admission to the BAWC: The Applicant Resume Form and essay response should be uploaded as a part of the application to study. Scholarship applicants will also:",AUD,,Bachelor of Arts (Western Civilisation),Yes,"This course provides you with opportunities to explore, understand and appreciate the humanities, arts and social science that enrich our culture, as well as allowing you to develop skills and knowledge relevant to the workplace.The Bachelor of Arts course is a flexible program designed to produce knowledgeable, articulate and innovative graduates. Students choose their preferred subjects. An awareness and appreciation of diverse societies, cultures, values and cultural sensitivities are important elements. Graduates are valued because of their capacity to think systematically and critically, to gather and evaluate evidence from many sources and to communicate clearly.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_arts_western_civilisation,Yes,North Sydney,Bachelor,"Graduates of the Bachelor of Arts (Western Civilisation) program will be recognised by their skills to think systematically and critically; gather and evaluate evidence from many and diverse sources; communicate clearly; and apply ethical principles to decision making for a variety of professions and industries. Possible employment options for graduates are diverse and can depend on the choice of majors or specialisations. Bachelor of Arts (Western Civilisation) graduates are also well-placed to continue their studies in Arts Honours programs or in a range of postgraduate disciplines through their demonstrable research, analytical and communications skills gained from this undergraduate program.",UG,Years,24104,Blended
1,English,3,A,Offline,Years,,Yes,Medical and Nursing,Full Time / Part Time,9520,No,"The Bachelor of Biomedical Science is a professional degree in a discipline at the forefront of research into human health, disease and drug development. Bachelor of Biomedical Science graduates need to demonstrate a well-developed understanding of the biomedical science sub-disciplines to enable them to undertake values driven problem solving. Application of their knowledge, understanding and skills to local and global issues must attend to both First Peoples and Western perspectives, and these aspects are embedded within specified biomedical science units in all years. Employers are seeking students with recognised transferable skills (e.g. team work, communication skills, problem-solving ability, and care for others) and the Biomedical Science degree at ACU integrates development of these skills into its units, driving the development of graduates with a high emotional intelligence, adaptability and resilience. Overall, the Bachelor of Biomedical Science aims to prepare ethical graduates with a concern for the common good, who are able to apply a broad and coherent body of knowledge to undertake professional work in a range of biomedical science contexts and as a basis for life-long learning. These graduates will often collaborate within health care teams to create novel solutions to global and national health challenges. Students undertake specified units in years 1 and 2 of the degree, year 3 of the program provides some flexibility in terms of industry based placements and elective units.",AUD,,Bachelor of Biomedical Science,Yes,"The Bachelor of Biomedical Science is a professional degree in a discipline at the forefront of research into human health, disease and drug development. Bachelor of Biomedical Science graduates need to demonstrate a well-developed understanding of the biomedical science sub-disciplines to enable them to undertake values driven problem solving. Application of their knowledge, understanding and skills to local and global issues must attend to both First Peoples and Western perspectives, and these aspects are embedded within specified biomedical science units in all years. Employers are seeking students with recognised transferable skills (e.g. team work, communication skills, problem-solving ability, and care for others) and the Biomedical Science degree at ACU integrates development of these skills into its units, driving the development of graduates with a high emotional intelligence, adaptability and resilience.Overall, the Bachelor of Biomedical Science aims to prepare ethical graduates with a concern for the common good, who are able to apply a broad and coherent body of knowledge to undertake professional work in a range of biomedical science contexts and as a basis for life-long learning. These graduates will often collaborate within health care teams to create novel solutions to global and national health challenges.Students undertake specified units in years 1 and 2 of the degree, year 3 of the program provides some flexibility in terms of industry based placements and elective units.",Australian Catholic University,https://courses.acu.edu.au/undergraduate/bachelor_of_biomedical_science,Yes,Brisbane,Bachelor,"Examples include entry level roles in pharmaceutical and medical technology industries; with further workplace training and experience this degree may lead to roles in marketing, medical, legal, research and quality assurance. Graduates might work in research roles in Universities, hospitals or the public health sector. Graduates could pursue careers in science communication, or may undertake further study in post graduate health programs or research.",UG,Years,24336,Blended
