Available to:,Study_Mode,Description,Duration:,Melbourne_International_Start_Date,Available to,Location,Brisbane_International_Start_Date,Domestic_Course_Price,Course,CRICOS:,CRICOS,North_Sydney_International_Start_Date,Website,Location:,Duration,International_Course_Cost
Domestic and International students.,Campus availability,"The Graduate Certificate in Business Administration lays the foundation for a generalist management qualification in the Master of Business Administration. The Graduate Certificate provides you with the introduction to the important management disciplines of finance, communications, marketing and business organisation. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Business Administration articulates into the Master of Business Administration. This is a six-month full-time (or part-time equivalent) course.",6 months full-time or equivalent part-time.," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",Domestic and International students.,North Sydney  Online," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844","Average first year fee:
    $14000 Fee-Paying 

    (indicative only)",Graduate Certificate in Business Administration,048590K,102812D,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_business_administration,"


Melbourne  


North Sydney  


Online  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic and International students.,Campus availability,The Graduate Certificate in Business Analytics provides an introduction to the techniques and methods needed to visualise large volumes of different types of data that have become essential for today’s businesses. The analysis and meaningful presentation of diverse data to support corporate decision-making processes is a challenging task. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Business Analytics articulates into the Master of Information Technology. This is a six-month full-time (or part-time equivalent) course.,6 months full-time or equivalent part-time.,null,Domestic and International students.,Melbourne  North Sydney  Online," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858","Average first year fee:
    $14000 Fee-Paying 

    (indicative only)",Graduate Certificate in Business Analytics,102813C,048590K,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_business_analytics,"


North Sydney  


Online  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"This course is for graduate teachers who need accreditation to teach religious education in Catholic schools. The Graduate Certificate in Catholic Studies specifically meets the religious education requirements set out in the CECV (Catholic Education Commission Victoria) Accreditation Policy. On completing the course, students will:",1 year part-time,null,Domestic and International students.,North Sydney  Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858","Average first year fee:
    $9064 Fee-Paying 

    (indicative only)",Graduate Certificate in Catholic Studies,,102813C,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_catholic_studies,"


Melbourne  


Online  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic and Overseas applicants.,Campus availability,"The Graduate Certificate in Clinical Nursing is designed to expand students’ knowledge and skills in clinical nursing whilst ensuring relevance to clinical practice. Students may choose one clinical specialisation - from 22 available - in which they will develop their skills in providing holistic care, including person and family-centred health promotion, in specialty practice (please see the ‘More Course Information’ section below for details). Specific knowledge in the areas of bioscience, pharmacology and lifespan development, relevant to the chosen specialty will also be explored in the context of application to clinical nursing practice.",1 year part-time.,null,Domestic students only.,Melbourne  Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858","Average first year fee:
    $9744 Fee-Paying 

    (indicative only)",Graduate Certificate in Clinical Nursing,,102813C,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_clinical_nursing,"


Online  



",1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic and International students.,Campus availability,The Graduate Certificate in Cyber Security covers the theoretical foundations and concepts needed to understand the security issues in a networked environment. The Graduate Certificate provides you with a good understanding of network security issues and the importance of data stewardship. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Cyber Security articulates into the Master of Information Technology. This is a six-month full-time (or part-time equivalent) course.,6 months full-time or equivalent part-time.,null,Domestic and Overseas applicants.,Online," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858","Average first year fee:
    $14000 Fee-Paying 

    (indicative only)",Graduate Certificate in Cyber Security,102814B,102813C,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_cyber_security,"


North Sydney  


Online  



",1 year part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic and International students.,Campus availability,"The Graduate Certificate in Data Science lays the foundation for developing the knowledge and skills to design, implement and administer large-scale database solutions for organisations, while preserving data privacy and security. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Data Science articulates into the Master of Information Technology. This is a six-month full-time (or part-time equivalent) course.",6 months full-time or equivalent part-time.,null,Domestic and International students.,North Sydney  Online," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858","Average first year fee:
    $14000 Fee-Paying 

    (indicative only)",Graduate Certificate in Data Science,102815A,102814B,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_data_science,"


North Sydney  


Online  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"This course is designed to provide educators and allied professionals (e.g., youth ministers, chaplains, family/parish educators, counsellors, probation officers) working in educational contexts with opportunities to develop advanced knowledge, understanding and expert skills in domains of their professional interests, responsibilities or concerns. The course does not lead to a teaching qualification. The 40 cp course can be taken as a general course comprised of units that are relevant to the graduate’s learning goals or as a specialised course consisting of units that focus on a particular domain (e.g., Mathematics or Safeguarding Children and Young People). A Graduate Certificate in Education, which is nested within the Master of Education, comprises 40 credit points towards a Master of Education should a graduate decide to pursue additional postgraduate studies.  The Graduate Certificate in Education specialisations are: This advanced course will encourage you to demonstrate knowledge and understanding of recent research and/or professional developments related to the program of study.",6 months *full-time or equivalent part-time (*named specialisations only available in part-time mode and the duration is 1 yeardepending on chosen specialisation).,null,Domestic and International students.,North Sydney  Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858","Average first year fee:
    $9064 Fee-Paying 

    (indicative only)",Graduate Certificate in Education,,102815A,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_education,"


Online  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic and International students.,Campus availability,"The Graduate Certificate in Educational Leadership is for educators (including teachers and administrators) who want to become creative, energetic and innovative leaders with influence in education. Participants explore theories of educational leadership, management and administration, and learn to apply them appropriately to their own contexts including Catholic and faith-based educational organisations defined as those organisations affiliated with a religious group or established Church (Buckingham, 2010). The Graduate Certificate in Educational Leadership is your next step to becoming an educational leader.",6 months full-time or equivalent part-time.,null,Domestic students only.,Online," (pos1#435848#435902:  
04-Jan-2021
     (pos1#435848
   #435844#435902:  
, 03-Jan-2022
     #435844","Average first year fee:
    $11330 Fee-Paying 

    (indicative only)",Graduate Certificate in Educational Leadership,099129J,102815A,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_educational_leadership,"


Melbourne  


Online  



",6 months *full-time or equivalent part-time (*named specialisations only available in part-time mode and the duration is 1 yeardepending on chosen specialisation).,Unit Fee: $3013.00 (2021) Average first year fee: $12052.00 (2021) Estimated Total Cost: $12052.00 (2021)
Domestic students only.,Campus availability,"The Graduate Certificate in Exercise Rehabilitation for Sports Injuries is a one year part-time course that will develop specialised skills in the prevention and rehabilitation of sport related injuries, assist individuals with pre-existing conditions to remain active, or assist individuals to return to sports performance. This graduate certificate provides specialist knowledge and skill of biomechanics, metabolic, physiological-psychosocial aspects of the person to develop programmes and strategies for the enhancement and improved performance of active individuals to prevent potential injury or to support recovery in those who may have activity restrictions due to injury or disease limitations. The course integrates this specialist knowledge and skill to develop safe and effective exercise prescriptions and interventions.",<strong>Minimum Duration</strong> Minimum Duration: 1 year part-time,null,Domestic and International students.,Melbourne  Online,"(pos1#435848#435902:  04-Jan-2021     (pos1#435848   #435844#435902:  , 03-Jan-2022     #435844","Average first year fee:
    $10136 Fee-Paying 

    (indicative only)",Graduate Certificate in Exercise Rehabilitation for Sports Injuries,,099129J,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_exercise_rehabilitation_for_sports_injuries,"


Online  



",6 months full-time or equivalent part-time.,Unit Fee: $3013.00 (2021) Average first year fee: $12052.00 (2021) Estimated Total Cost: $12052.00 (2021)
Domestic and International students.,Campus availability,The Graduate Certificate in Finance lays the foundation for a specialist management qualification in the Master of Finance. The Graduate Certificate provides you with the introduction to important finance principles. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Finance articulates into the Master of Finance. This is a six-month full-time (or part-time equivalent) course.,6 months full-time or equivalent part-time.,null,Domestic students only.,Online," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858","Average first year fee:
    $14000 Fee-Paying 

    (indicative only)",Graduate Certificate in Finance,102425D,099129J,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_finance,"


Melbourne  


North Sydney  


Online  



",<strong>Minimum Duration</strong> Minimum Duration: 1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"ACU’s Graduate Certificate in Global Health equips graduates with the advanced knowledge, understanding and skills in global health to advocate for and contribute to health and well-being of communities and populations throughout the world with an ethical, social justice perspective. On successful completion of the course, graduates should be able to demonstrate advanced knowledge of global health, with special emphasis on advocacy, cultural responsiveness, humanitarianism and sustainable development. Graduates should also be able to use evidence to support, critique and implement global health actions, policies or interventions. Articulation from this course into the Master of Public Health is available.",6 months full-time or 1 year part-time,null,Domestic and International students.,Melbourne  North Sydney  Online,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $10136 Fee-Paying 

    (indicative only)",Graduate Certificate in Global Health,,102425D,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_global_health,"


Melbourne  



",6 months full-time or equivalent part-time.,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
Domestic students only.,Campus availability,"The Graduate Certificate in Health Administration equips students with skills to examine organisational culture, management concepts, governance and quality improvement within the health care workplace. Students will explore concepts relating to change management and outcomes, leadership strategies and skills, along with ethical, moral and social justice dimensions within the health care sector. This course provides a foundation for students who wish to pursue a management or leadership role within their health care workplace.",1 year part-time,null,Domestic students only.,Melbourne,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858","Average first year fee:
    $10136 Fee-Paying 

    (indicative only)",Graduate Certificate in Health Administration,,102425D,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_health_administration,"


North Sydney  

 Open Universities Australia

",6 months full-time or 1 year part-time,Unit Fee: $4000.00 (2021) Average first year fee: $16000.00 (2021) Estimated Total Cost: $16000.00 (2021)
