Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DPG,Australian National University,Canberra,Doctor of Medicine and Surgery,Medical and Nursing,"88,350.00",,AUD,Years,4,Years,Yes,No,Undergraduate GPA (Scale of 7.0),,https://programsandcourses.anu.edu.au/2021/program/8950XMCHD,English,A,"The Doctor of Medicine and Surgery, Medicinae ac Chirurgiae Doctoranda, (MChD) is an AQF Level 9 Extended qualification, leading to pre-registration as a junior doctor. It aims to produce graduates who are committed to compassionate, ethical health care and the expansion of medical knowledge. The MChD is underpinned by four themes. Medical sciences covers a vast scope of ever changing and expanding knowledge that forms the basis of modern medicine. Clinical skills ensures the acquisition of knowledge is accompanied by communication skills, the ability to examine patients and critically appraise information. Population health addresses the relationship between humans, their society and environment. Professionalism and leadership develops these vital skills of a good doctor.The curriculum is built on important frameworks that explore the social foundations of medicine, develop understanding of the indigenous health context in Australia, and provide insights and experience in health care in rural and/or remote Australian settings. Consistent with the research intensive nature of ANU, our program also develops the research skills of our students and provides opportunity for high achieving students to pursue a concurrent research focused degree.","As a graduate of our MChD program you will be prepared to work safely and effectively as an intern delivering quality care as a member of the health professional team in hospital, general practice and rural settings, conversant with issues in Aboriginal and Torres Strait Islander’s health and wellbeing, and with an understanding of the social foundations of medicine. You will be equipped scientificallyYou will have an excellent understanding of the medical sciences and how they underpin our knowledge of the complexity of health, disease and illness. You will understand the relation between individual and population health. You will understand how knowledge of medical sciences and population health are crucial bases for clinical competence. clinicallyYou will have a clear focus on patient-centred care, with the necessary knowledge, skills and professional behaviours to safely assess and manage a wide range of clinical problems. You will apply the principles of evidence-based medicine in your practice, drawing on relevant legal, ethical, behavioural, and sociological understandings and be equipped to contribute to patient-centred decision-making in circumstances of uncertainty. and professionallyYou will demonstrate commitment to professional behaviour and be highly skilled at working in teams. You will be aware of, and committed to, the importance of initiatives that enhance the safety and quality of health care. You will be mindful of your own wellbeing, including the importance of this to high quality practice, and know how to maintain your own mental and physical health. with a strong sense of global connectionDrawing on the ANU's strong global connections, you will be able to discuss the potential impacts of international health, human rights and globalisation on health and health care and justify why respect for cultural, religious and sexual differences are fundamental to health care. in a research-intensive environment at the ANUThrough your association with Australia’s premier research university you will have a sound understanding of the importance of, and a commitment to high quality research for advancing clinical practice. You will have practical experience in undertaking research and gain insight into different research methodologies. with a commitment to life long learningYou will be able to identify your learning needs for ongoing professional development and have well developed strategies for meeting these needs. You will have had experience of being a teacher and have a well-developed understanding of the importance of sound educational practice underpinning lifelong learning. you are on a path to a successful medical careerYou will be aware of the range of career pathways open to you and have a developing clarity of your intended career path, including sound knowledge of the admission, education and training requirements. You will understand how the outcomes of the MChd articulate with the skills required of a junior doctor.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Executive Master of Public Administration,Business & Commerce & Finance & Accounting,"48,384.00",,AUD,Years,1,Year,Yes,No,Undergraduate GPA (Scale of 7.0),,https://programsandcourses.anu.edu.au/2021/program/MEMPA,English,D,"NOTE: This program is closed to International applicants for 2019The Executive Master of Public Administration (EMPA) is designed to assist future leaders develop the management and policy skills needed in today’s public sector.Developed in consultation with public sector CEOs across Australia and New Zealand, the EMPA aims to produce world-class public sector managers. The program offers high-potential and aspiring leaders a thorough grounding in the theory and practice of public administration. The program brings together a select group of the best emerging public sector leaders from Australia and New Zealand with outstanding teachers and practitioners from around the world.The EMPA is a multi-disciplinary, multi-modal degree of 11 subjects, with the core subjects taught by ANZSOG and the electives offered by the participating universities. Students will be high potential public servants nominated and funded by participating governments subject to university selection processes. They will enrol in and receive the degree from the ANU.Note: Students are nominated and funded by participating governments. Direct applications to ANU into this award are not accepted.","have a broad view of management, service delivery and policy analysis across the spectrum of public sector activities have a critical understanding of the central concepts relating to public administration, public management and public policy be able to undertake critical analysis and engage in informed debate of public sector issues demonstrate knowledge of research principles and both qualitative and quantitative methodologies relevant to the field of public policy identify and apply appropriate research methods to public policy challenges analyse, synthesise and communicate complex political and institutional policy problems from multiple perspectives develop innovative policy recommendations to complex problems in changing policy environments be able to improve service delivery and policy outcomes across the public sector",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Executive Master of Public Policy,Law,"48,384.00",,AUD,Years,1,Year,Yes,No,Undergraduate GPA (Scale of 7.0),5,https://programsandcourses.anu.edu.au/2021/program/MEMPP,English,A,"This degree offers senior managers engaged in public policy within or outside government the opportunity to build skills and knowledge for governing and leading ethically in a global world. It is designed to strengthen and stretch you capacity to be an executive leader working in complex and dynamic policy environments. Throughout the EMPP degree you will reflect on your extensive policy experience, drawing on relevant scholarly debates on leadership and strategic policy-making in contemporary governance. The degree strengthens your capacity for effective executive leadership in public policy particularly in analytic, strategic and reflective thinking. You will be equipped with cutting-edge conceptual and analytical tools, as well as skills in policy communication and persuasion. The one year Executive Masters degree offers a unique cohort experience in high-quality education at Australia’s leading public policy school. Designed and taught by world class public policy scholars from the ANU’s Crawford School, this Masters degree is delivered through a mix of case-based, interactive and intensive modes of teaching.","Demonstrate a critical understanding of the key debates and thinking about governing in a global context Exercise ethical and responsible leadership in making and implementing public policy Manage strategic policymaking, implementation, and evaluation processes in complex and changing environments Employ high-level analytical skills to evaluate policy challenges and policy outcomes Influence debates and analysis of public policy issues and practical challenges across diverse cultural, developmental and institutional contexts Communicate strategically with a range of other actors inside and outside government",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Flexible Double Masters,Law,"47,124.00",,AUD,Years,3,Years,Yes,No,Undergraduate GPA (Scale of 7.0),5,https://programsandcourses.anu.edu.au/2021/program/7050FDM,English,A,"The Flexible Double Master Degree gives enormous flexibility through being able to combine any two degrees available in the program for which the entry requirements are met and, by cross counting of electives, completing two degrees in one year less than completing the degrees separately. For students who are eligible for credit for previous degrees or work experience, the double degree may require as little as two years.cass.anu.edu.au/double-masters",TBC,Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Global Summer Program (Postgraduate),Business & Commerce & Finance & Accounting,,,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),5,https://programsandcourses.anu.edu.au/2021/program/5036XGSPP,English,A,,TBC,Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Accounting,Business & Commerce & Finance & Accounting,"25,200.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4.5,https://programsandcourses.anu.edu.au/2021/program/6459XGCACC,English,A,"The Graduate Certificate of Accounting suits students with various aspirations, including:1. Graduates with no background in accounting who can study concepts and techniques in accounting without the need to enrol in a full degree.2. Graduates with prior accounting studies who wish to develop advanced knowledge in accounting without enrolling in a full Masters program.3. Graduates with prior accounting studies who need up to four more courses to fully satisfy the admission requirements of the Australian professional accounting bodies.The Certificate program is designed to articulate into the Master programs in accounting. Students who wish to continue their advanced studies and complete the Certificate program with a GPA of 4.5 will be able to transfer to the Master of Professional Accounting or Master of Accounting program.The program is taught by research active academic staff. Students are exposed to professional and scholarly academic research in commerce, enhancing their academic and professional competence.",Demonstrate accounting knowledge in a business context and understanding of recent developments in accounting. Exercise judgement under minimal supervision to analyse and provide possible solutions to varied accounting problems. Critically apply accounting knowledge and skills to evaluate a range of accounting problems in a professional context. Communicate accounting ideas to both specialists and non-specialists.,Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Applied Data Analytics,Computer Science & Information Technology,"24,192.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4.5,https://programsandcourses.anu.edu.au/2021/program/CADAN,English,A,The Graduate Certificate of Applied Data Analytics is only available as an exit qualification for students enrolled in the Graduate Diploma or Master of Applied Data Analytics.,"Apply basic technical expertise in computer programming, databases, and statistical data analysis to solve data analytics problems; Contribute as an effective member to the performance of a data analytics workplace; Be able to work to specification and according to a deadline, document tasks undertaken, and report outcomes to a third party.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Disaster Risk Science and Sustainability,Computer Science & Information Technology,"24,078.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CDRSS,English,A,"This Graduate Certificate addresses the global need for more effective practical implementation of disaster risk policy measures in regional countries impacted regularly by natural disasters. Students in this program will develop knowledge of how to approach and integrate disaster preparedness, mitigation and recovery programs to reduce societal and human losses, and enhance community resilience. Through interaction with predictive science for geo and hydrological hazards, students will be able to contribute effectively to country and governance specific disaster policy development which address priority hazards. This requires an understanding of the complex integrated policies and practices in this field, and the correlated impacts of climate change, development and socio-political frameworks on disaster governance. The theoretical, conceptual and practical courses in this Graduate Certificate will include site visits to key government, civil society and industry organisations. The program takes into account the significant impacts disasters have in the Asia-Pacific, Australian, Caribbean, and African regions. It addresses international policy on disasters, including the Yokohama (1994), Hyogo (1995) and Sendai (2015) frameworks which advocate the development of an integrated science/inclusive governance approach.","demonstrate and apply high level knowledge in disaster risk science and sustainability; apply their knowledge to the development of innovative approaches to disaster risk science policy and governance appropriate to their global contexts. interpret, synthesize and critically analyse published literature of relevance to the discipline; demonstrate theoretical and/or practical skills relevant to techniques and research methodology in disaster risk science and sustainability critically and independently analyse data and engage in modelling of future risk scenarios which can be applied to support to decision makers working in the public and private spheres demonstrate a critical understanding of and capacity to participate in debates on disaster risk science which address future risk. clearly communicate theory and results in both written and oral formats of relevance to interpreting disaster resilience, risk mitigation, and recovery arising from natural hazards around the globe.",Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Economics,Business & Commerce & Finance & Accounting,"25,200.00",,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/CECON,English,A,The Graduate Certificate of Economics is designed to provide a foundation in economics for whose prior economics training is minimal or nonexistent. The Graduate Certificate will be attractive to those whose present or intended career calls for them to understand and appreciate economic discussion and analysis.,understand the economic principles that underpin modern economics; undertake elementary economic analysis; communicate analytical reasoning in writing; and to provide economic intuition for the evaluation of economic policy using basic economic analysis,Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
PG,Australian National University,Canberra,Graduate Certificate of Environment,Science and Health Science,,,AUD,Years,,,,,Undergraduate GPA (Scale of 7.0),4,https://programsandcourses.anu.edu.au/2021/program/6659XGCENV,English,A,"Are you looking at changing the direction of your career to help tackle the problems facing today’s environment? Or do you want to take your existing environment education to the next level?The ANU Graduate Certificate of Environment provides you with a flexible education experience and acts as an entry point for more advanced coursework degree programs.Areas of study include environmental economics & governance, environmental science, society & environment, environmental research methods, and natural resource management.",understand the economic principles that underpin modern economics; undertake elementary economic analysis; communicate analytical reasoning in writing; and to provide economic intuition for the evaluation of economic policy using basic economic analysis,Australia,No,Yes,No,Yes,No,For domestic fees and details on Commonwealth Supported Place (CSP) see:  http://www.anu.edu.au/students/program-administration/costs-fees
