Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,University of Divinity,Melbourne,Undergraduate Certificate in Divinity,Humanities and Social Science,6816,6816,AUD,Years,6,Months,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/undergraduate-certificate-in-divinity/,English,D,"The Undergraduate Certificate in Divinity offers students an opportunity to explore a range of theological, philosophical and ministry-related studies. Students may explore new or develop existing knowledge and skills for vocational and professional purposes. The Undergraduate Certificate provides a pathway to further undergraduate studies in divinity-related areas and is a foundation for lifelong learning. | ","have knowledge of some foundational concepts in the study of divinity.
apply basic skills of interpretation to texts and concepts.
apply knowledge and skills in contemporary contexts. | ",Australia,Yes,Yes,No,Yes,Yes,"The Undergraduate Certificate in Divinity serves as an entry point to the University’s undergraduate awards in theology, philosophy and ministry. | "
BA,University of Divinity,Mulgrave,Undergraduate Certificate in Divinity,Humanities and Social Science,6816,6816,AUD,Years,6,Months,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/undergraduate-certificate-in-divinity/,English,D,"The Undergraduate Certificate in Divinity offers students an opportunity to explore a range of theological, philosophical and ministry-related studies. Students may explore new or develop existing knowledge and skills for vocational and professional purposes. The Undergraduate Certificate provides a pathway to further undergraduate studies in divinity-related areas and is a foundation for lifelong learning. | ","have knowledge of some foundational concepts in the study of divinity.
apply basic skills of interpretation to texts and concepts.
apply knowledge and skills in contemporary contexts. | ",Australia,Yes,Yes,No,Yes,Yes,"The Undergraduate Certificate in Divinity serves as an entry point to the University’s undergraduate awards in theology, philosophy and ministry. | "
BA,University of Divinity,Adelaide,Undergraduate Certificate in Divinity,Humanities and Social Science,6816,6816,AUD,Years,6,Months,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/undergraduate-certificate-in-divinity/,English,D,"The Undergraduate Certificate in Divinity offers students an opportunity to explore a range of theological, philosophical and ministry-related studies. Students may explore new or develop existing knowledge and skills for vocational and professional purposes. The Undergraduate Certificate provides a pathway to further undergraduate studies in divinity-related areas and is a foundation for lifelong learning. | ","have knowledge of some foundational concepts in the study of divinity.
apply basic skills of interpretation to texts and concepts.
apply knowledge and skills in contemporary contexts. | ",Australia,Yes,Yes,No,Yes,Yes,"The Undergraduate Certificate in Divinity serves as an entry point to the University’s undergraduate awards in theology, philosophy and ministry. | "
BA,University of Divinity,Donvale,Undergraduate Certificate in Divinity,Humanities and Social Science,6816,6816,AUD,Years,6,Months,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/undergraduate-certificate-in-divinity/,English,D,"The Undergraduate Certificate in Divinity offers students an opportunity to explore a range of theological, philosophical and ministry-related studies. Students may explore new or develop existing knowledge and skills for vocational and professional purposes. The Undergraduate Certificate provides a pathway to further undergraduate studies in divinity-related areas and is a foundation for lifelong learning. | ","have knowledge of some foundational concepts in the study of divinity.
apply basic skills of interpretation to texts and concepts.
apply knowledge and skills in contemporary contexts. | ",Australia,Yes,Yes,No,Yes,Yes,"The Undergraduate Certificate in Divinity serves as an entry point to the University’s undergraduate awards in theology, philosophy and ministry. | "
DIP,University of Divinity,Melbourne,Diploma in Theology,Humanities and Social Science,13632,13632,AUD,Years,1,Year,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/diploma-in-theology/,English,A,The Diploma in Theology introduces students to the key theological disciplines of Biblical Studies and Christian Thought and History.  This may be extended by further study in those disciplines or by electives in the area of practical ministry studies. It may be possible for students to undertake study in a ministry setting as part of the course. | ,"have sound foundational skills for critical study of Christian texts.
have skills to articulate foundational theological and scriptural knowledge and reflection.
have developed clear analytical skills allowing them to analyse and communicate sound theological arguments.
apply their skills and knowledge to their own and other contexts and traditions.
apply their skills and knowledge to the service of others through practical engagement and in contexts such as conversation. | ",Australia,Yes,Yes,No,Yes,Yes,"Graduates may proceed to an Advanced Diploma in Theology and Ministry, an Advanced Diploma in Philosophy, or to the Bachelor of Ministry or Bachelor of Theology. | "
DIP,University of Divinity,Mulgrave,Diploma in Theology,Humanities and Social Science,13632,13632,AUD,Years,1,Year,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/diploma-in-theology/,English,A,The Diploma in Theology introduces students to the key theological disciplines of Biblical Studies and Christian Thought and History.  This may be extended by further study in those disciplines or by electives in the area of practical ministry studies. It may be possible for students to undertake study in a ministry setting as part of the course. | ,"have sound foundational skills for critical study of Christian texts.
have skills to articulate foundational theological and scriptural knowledge and reflection.
have developed clear analytical skills allowing them to analyse and communicate sound theological arguments.
apply their skills and knowledge to their own and other contexts and traditions.
apply their skills and knowledge to the service of others through practical engagement and in contexts such as conversation. | ",Australia,Yes,Yes,No,Yes,Yes,"Graduates may proceed to an Advanced Diploma in Theology and Ministry, an Advanced Diploma in Philosophy, or to the Bachelor of Ministry or Bachelor of Theology. | "
DIP,University of Divinity,Adelaide,Diploma in Theology,Humanities and Social Science,13632,13632,AUD,Years,1,Year,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/diploma-in-theology/,English,A,The Diploma in Theology introduces students to the key theological disciplines of Biblical Studies and Christian Thought and History.  This may be extended by further study in those disciplines or by electives in the area of practical ministry studies. It may be possible for students to undertake study in a ministry setting as part of the course. | ,"have sound foundational skills for critical study of Christian texts.
have skills to articulate foundational theological and scriptural knowledge and reflection.
have developed clear analytical skills allowing them to analyse and communicate sound theological arguments.
apply their skills and knowledge to their own and other contexts and traditions.
apply their skills and knowledge to the service of others through practical engagement and in contexts such as conversation. | ",Australia,Yes,Yes,No,Yes,Yes,"Graduates may proceed to an Advanced Diploma in Theology and Ministry, an Advanced Diploma in Philosophy, or to the Bachelor of Ministry or Bachelor of Theology. | "
DIP,University of Divinity,Donvale,Diploma in Theology,Humanities and Social Science,13632,13632,AUD,Years,1,Year,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/diploma-in-theology/,English,A,The Diploma in Theology introduces students to the key theological disciplines of Biblical Studies and Christian Thought and History.  This may be extended by further study in those disciplines or by electives in the area of practical ministry studies. It may be possible for students to undertake study in a ministry setting as part of the course. | ,"have sound foundational skills for critical study of Christian texts.
have skills to articulate foundational theological and scriptural knowledge and reflection.
have developed clear analytical skills allowing them to analyse and communicate sound theological arguments.
apply their skills and knowledge to their own and other contexts and traditions.
apply their skills and knowledge to the service of others through practical engagement and in contexts such as conversation. | ",Australia,Yes,Yes,No,Yes,Yes,"Graduates may proceed to an Advanced Diploma in Theology and Ministry, an Advanced Diploma in Philosophy, or to the Bachelor of Ministry or Bachelor of Theology. | "
ADIP,University of Divinity,Mulgrave,Advanced Diploma in Counselling,Humanities and Social Science,16056,16056,AUD,Years,1,Year,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/advanced-diploma-in-counselling/,English,D,"The Advanced Diploma in Counselling prepares students to work in a multi-disciplinary environment and significantly enhances their counselling, professional and spiritual foundations. Students form a vision of the counsellor that reflects both individual and relational work, supportive and intensive therapies, psychological competence and theological congruence. The course requires a consistent commitment to supervision and personal and professional integration. | ","have well developed counselling skills to work with clients of low to moderate needs.
have a deep understanding of themselves as counsellors.
apply client spirituality into the counselling experience from an ethical perspective with a critical understanding of Christian worldviews.
apply theological and professional reflection to their practice.
apply professional practice in counselling with diverse people in a range of contexts. | ",Australia,Yes,Yes,No,Yes,Yes,The Advanced Diploma in Counselling meets the academic entry requirements for the Bachelor of Counselling Program. Graduates will need to undertake an entry interview to confirm admission into the Bachelor program. | 
ADIP,University of Divinity,Melbourne,Advanced Diploma in Philosophy,Humanities and Social Science,27264,27264,AUD,Years,2,Years,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/advanced-diploma-philosophy/,English,A,The Advanced Diploma in Philosophy builds on the Diploma in Theology by enabling students to deepen their understanding through a specialised focus on Philosophy. It may be possible for students to undertake study in a ministry setting as part of the course. | ,"have significant foundational skills for critical study of Christian texts.
have skills to articulate and reflect upon foundational theological, scriptural and philosophical knowledge.
have strong analytical skills allowing them to analyse and communicate sound theological and philosophical arguments, especially in relation to worldview perspectives.
apply their skills and knowledge to their own and other contexts and traditions through philosophical analysis and argument.
apply their skills and knowledge to the service of others through practical engagement and in contexts such as practical support ministries or cultural and philosophical analysis. | ",Australia,Yes,Yes,No,Yes,Yes,Graduates may proceed to the Bachelor of Ministry or Bachelor of Theology. | 
ADIP,University of Divinity,Melbourne,Advanced Diploma in Theology and Ministry,Humanities and Social Science,27264,27264,AUD,Years,2,Years,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/advanced-diploma-theology/,English,A,The Advanced Diploma in Theology and Ministry builds on the Diploma in Theology by enabling students to deepen their understanding of the key theological disciplines of Biblical Studies and Christian Thought and History and in Ministry.  This is extended by further study in those disciplines and in the area of practical ministry studies. It may be possible for students to undertake study in a ministry setting as part of the course. | ,"have significant foundational skills for critical study of Christian texts.
have skills to articulate and reflect upon foundational theological, scriptural knowledge and apply this to ministry practice.
have strong analytical skills allowing them to analyse and communicate sound theological arguments, especially in relation to ministry tasks or worldview perspectives.
apply their skills and knowledge to their own and other contexts and traditions through culturally relevant ministry practices.
apply their skills and knowledge to the service of others through practical engagement and in contexts such as practical support ministries or cultural and philosophical analysis. | ",Australia,Yes,Yes,No,Yes,Yes,Graduates may proceed to the Bachelor of Ministry or Bachelor of Theology. | 
ADIP,University of Divinity,Mulgrave,Advanced Diploma in Theology and Ministry,Humanities and Social Science,27264,27264,AUD,Years,2,Years,Yes,Yes,,,VCE,,AQF,,https://divinity.edu.au/courses/advanced-diploma-theology/,English,A,The Advanced Diploma in Theology and Ministry builds on the Diploma in Theology by enabling students to deepen their understanding of the key theological disciplines of Biblical Studies and Christian Thought and History and in Ministry.  This is extended by further study in those disciplines and in the area of practical ministry studies. It may be possible for students to undertake study in a ministry setting as part of the course. | ,"have significant foundational skills for critical study of Christian texts.
have skills to articulate and reflect upon foundational theological, scriptural knowledge and apply this to ministry practice.
have strong analytical skills allowing them to analyse and communicate sound theological arguments, especially in relation to ministry tasks or worldview perspectives.
apply their skills and knowledge to their own and other contexts and traditions through culturally relevant ministry practices.
apply their skills and knowledge to the service of others through practical engagement and in contexts such as practical support ministries or cultural and philosophical analysis. | ",Australia,Yes,Yes,No,Yes,Yes,Graduates may proceed to the Bachelor of Ministry or Bachelor of Theology. | 
