Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
,Excelsia College - Sydney,Sydney,Phd Organisational Leadership,Humanities and Social Science,,7000,AUD,Units,3,Years,Yes,No,,,IELTS,7,AQF Level,10,https://excelsia.edu.au/courses/business/phd-organisational-leadership/,English,A,"    PHD IN ORGANISATIONAL LEADERSHIP - COURSE OVERVIEW
The Doctor of Philosophy is an integrated program of study and research which combines advanced coursework in research methodology and preparation, and an academic discipline, for the purpose of systematic and critical investigation and analysis in a field of learning to uncover new knowledge by discovery, the formulation of theories and/or the innovative re-interpretation of known data and established ideas. The Doctor of Philosophy program offers a specialisation in Organisational Leadership.
The course has been designed in order to satisfy the intersecting requirements of:
(a) the Australian Qualifications Framework;
(b) Excelsia College’s Graduate Attributes; and
(c) the designated Learning Outcomes of the course.
Students are required to undertake nine units of study as part of the Doctor of Philosophy course, four of which are advanced postgraduate units in a discipline area related to the proposed research topic area; one ethics unit; three units which are a combination of advanced research methods learning and research preparation during which students will be required to prepare and present their research proposal, develop a literature review and other relevant background investigations, and devise an appropriate methodology for the conduct of the proposed research; and the thesis itself. Over the period of the research methods and preparation units, students will be required to progress their research proposal through all relevant Institute procedures and reviews for approvals, including ethics approvals and confirmation of candidature. Once candidature is confirmed, candidates will then concentrate on supervised research, analysis and other activities associated with the implementation of their approved research proposal, the final examinable product of which will be a thesis.
Course Units
The course structure is based on six semesters (each of 15 weeks duration), with four subjects/units representing a full-time study load in each of the first two semesters, followed by the two-year doctoral thesis. The course comprises:
4 compulsory Discipline units (24 credit points);
1 compulsory Ethics unit (6 credit points);
3 compulsory Research Methods units (18 credit points); and
1 compulsory Thesis unit (96 credit points).
Research at Excelsia","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
PG,Excelsia College - Sydney,Sydney,Master Of Business Research,Engineering,,,AUD,Units,2,Years,Yes,No,,,IELTS,6.5,AQF Level,9,https://excelsia.edu.au/courses/business/master-of-business-research/,English,A,"    MASTER OF BUSINESS RESEARCH - COURSE OVERVIEW
This is an advanced coursework and research program in organisational leadership. Coursework will consist of one year of study in leadership/management as well as research preparation; followed by a year to complete a research thesis. The course offers progression to the PhD program.
Reasons to choose this program:
Builds your research abilities
Leadership development – you will create your own leadership development plan to build on your skills
Leadership portfolio – that you can share with current and prospective employers showcasing your skills and projects
Pathway to doctorate studies
Course Units
The course structure is based on four semesters (each of 12 weeks duration), with four subjects/units representing a full-time study load in the first two semesters, followed by the one-year masters thesis. The course comprises:
4 compulsory Discipline units (24 credit points);
1 compulsory Ethics unit (6 credit points);
3 compulsory Research Methods units (18 credit points);
and 1 compulsory Thesis unit (48 credit points).
 ","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
PG,Excelsia College - Sydney,Sydney,Master Of Business Administration,Business & Commerce & Finance & Accounting,30000,30000,AUD,Units,2,Years,Yes,No,,,IELTS,6.5,AQF Level,9,https://excelsia.edu.au/courses/business/master-of-business-administration/,English,A,"    MASTER OF BUSINESS ADMINISTRATION - COURSE OVERVIEW
According to the 2015/16 Quaquarelli Symonds (QS) Jobs & Salary Trends survey, Australian MBA graduates have a higher earning potential and are more likely to be hired than those without the qualification. That is because employers worldwide recognise that an MBA graduate has the strategies, tools and knowledge to become an insightful and effective leader.
The focus of the Excelsia College MBA is on “Leadership and Social Responsibility”. The program is designed to develop in students leadership skills as well as knowledge of ethical and socially responsible practices within organizations. It can help students become a business leader that seeks to make a difference in the world by doing the right thing.
Reasons to choose this program:
• Globally recognised qualification
• Focus on leadership, management and social responsibility
• Relevant curriculum - where lessons can be immediately applied
• Opportunity to study alongside students from other cultures","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
BA,Excelsia College - Sydney,Sydney,Bachelor Of Management And Entrepreneurship,Business & Commerce & Finance & Accounting,49200,32880,AUD,Units,3,Years,Yes,Yes,,,IELTS,6,AQF Level,7,https://excelsia.edu.au/courses/business/bachelor-of-management-and-entrepreneurship/,English,A,"COURSE OVERVIEW
The Bachelor of Management and Entrepreneurship develops in students management and entrepreneurship knowledge, providing students with a solid grounding in enterprise creation and management.
The course has been designed for future business managers and leaders in small to medium/family enterprises, and for start-up entrepreneurial businesses.
Upon graduation, such students will have acquired a mix of a broad range of business/management knowledge and skills, and more specialist capabilities that will equip them to be innovative, effective and ethical.
It will therefore appeal to students likely to (i) help run and manage their family business; (ii) start their own business independently or as spin-offs from the family business; or (iii) be working for, do business with or consult to family businesses or small to medium entrepreneurial enterprises.
Reasons to study this program:
Develops both management and entrepreneurship knowledge and skills
Opportunity to apply these knowledge and skills in an industry placement
Emphasis on small to medium/family/entrepreneurial businesses
Study alongside students from other cultures
Students enrolled in the Bachelor degree may elect to exit at the end of year 2 and, on successful completion of all required coursework for the first two years of the Bachelor degree and the completion of 96 credit points, receive the Associate Degree of Management and Entrepreneurship.","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
PG,Excelsia College - Sydney,Sydney,Graduate Diploma Business Administration,Business & Commerce & Finance & Accounting,,,AUD,Units,1,Year,Yes,No,,,IELTS,6.5,AQF Level,8,https://excelsia.edu.au/courses/business/graduate-diploma-business-administration/,English,A,"    COURSE OVERVIEW
Are you interested in moving up to a senior management role? Are you thinking of starting your own business? Perhaps you want to move into a different area of your organisation? If so, the knowledge you receive from a Graduate Diploma of Business Administration will give you the tools to succeed and continue on towards an MBA.
At Excelsia College, our courses are designed to give you an understanding of business theories, tools and techniques that will enable you to become a more ethical and effective leader.
The course is ideal for new managers in any industry or sector who wish to gain a deeper understanding of business and team management. This course is also suitable for those working in the industry who have no business qualifications and are looking to formalise or supplement their practical experience.
Reasons to choose this program:
• Globally recognised qualification
• Focus on leadership and management
• Relevant curriculum - where lessons can be immediately applied
• Opportunity to study alongside students from other cultures
 ","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
PG,Excelsia College - Sydney,Sydney,Graduate Certificate Business Administration,Business & Commerce & Finance & Accounting,,,AUD,Units,6,Months,Yes,No,,,IELTS,6.5,AQF Level,8,https://excelsia.edu.au/courses/business/graduate-certificate-business-administration/,English,A,"      COURSE OVERVIEW
No matter where you are in your career, a business qualification will raise your professional profile. It will give you the confidence and practical knowledge to advance in your current position.
Most importantly, a Graduate Certificate in Business Administration from Excelsia College will deliver a values-based approach to business. It delivers the business tools you need to excel in a high-pressure environment, so you will be able to lead in a way that is consistent with your beliefs.
This course is designed to give you an understanding and appreciation of business theories, tools and techniques to make you a better leader and manager.
Reasons to choose this program:
• Globally recognised qualification
• Focus on leadership and management
• Relevant curriculum - where lessons can be immediately applied
• Opportunity to study alongside students from other cultures
 ","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
PG,Excelsia College - Sydney,Sydney,Graduate Certificate Organisational Leadership,Humanities and Social Science,,,AUD,Units,4,Months,Yes,Yes,,,,,AQF Level,8,https://excelsia.edu.au/courses/business/graduate-certificate-organisational-leadership/,English,D,"    COURSE OVERVIEW
Are you ready to make a difference in your 21st century organisation? The Graduate Certificate in Organisational Leadership program will help you increase your effectiveness by developing both competence (skills, expertise and strengths) as well as character (integrity, purpose, ethics). Expand your leadership toolbox!
You will have opportunities to explore leadership models, theories and practices in small dynamic learning environments. Lessons learned can be immediately applied to real world organisational situations. This program will hone your critical thinking and problem-solving skills.
This certificate program is particularly suited to anyone who:
Is aspiring to gain competencies in leading groups, departments, organizations
Has just stepped into a position working with people and are technically savvy but seek to improve their people skills
Desires know how to lead and manage and would like to gain a greater understanding of the why and how of leadership
Would like to get a Master degree by starting with a Certificate program first.","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
BA,Excelsia College - Sydney,Sydney,Bachelor Of Dramatic Art,Creative Arts & Design & Music,63602,58915,AUD,Units,3,Years,Yes,Yes,,,IELTS,6,AQF Level,7,https://excelsia.edu.au/courses/drama/bachelor-of-dramatic-art/,English,A,"COURSE OVERVIEW
The Bachelor of Dramatic Art is a specialist degree with a holistic approach to theatre training. We seek to integrate higher education with professional development and spiritual formation in a supportive and caring environment. It provides an extensive introduction to all the major aspects of theatre.
The course is offered with three major strands of specialisation, and five minor pathways that students can choose depending on their passion and interests: Performance, Production and Theatre Practice.
Performance Practice
Prepares actors to compete in a highly rigorous industry. Acting, voice and movement skills are developed, with students exploring both theoretical and practical perspectives.
Production Practice
Provides an intellectual and artistic foundation for professional careers in the areas of design and stage management.  Grow in the confidence necessary to generate your own work and to participate successfully in a theatre company. Take the opportunity to supplement your passion with the skills, experiences and expertise for a career in theatre, film and television!
Theatre Practice
Offers a mixture of performance and production units in one program, enabling the development of well-rounded theatrical skills useful for work in small theatre companies, particularly in the area of theatre producing and directing. Paired with our Master of Teaching, it also satisfies the requirements for secondary Drama teaching.
Potential Students
The course is particularly suited to:
Those looking for a acting career and the degree to take you there
Students who want an exposure to a variety of pathways e.g. Acting, Production & Theatre Practice","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
BA,Excelsia College - Sydney,Sydney,Associate Degree Of Dramatic Art,Creative Arts & Design & Music,42312,39190,AUD,Units,2,Years,Yes,Yes,,,IELTS,6,AQF Level,6,https://excelsia.edu.au/courses/drama/associate-degree-of-dramatic-art/,English,A,"COURSE OVERVIEW
The Bachelor of Dramatic Art has an optional exit point after two years of full-time study (or equivalent). Students wishing to exit after the first two years of the degree will be awarded the Associate Degree of Dramatic Art.
The course is offered with three major strands of specialisation, and five minor pathways that students can choose depending on their passion and interests: Performance, Production and Theatre Practice.
Performance Practice
Prepares actors to compete in a highly rigorous industry. Acting, voice and movement skills are developed, with students exploring both theoretical and practical perspectives.
Production Practice
Provides an intellectual and artistic foundation for professional careers in the areas of design and stage management.  Grow in the confidence necessary to generate your own work and to participate successfully in a theatre company. Take the opportunity to supplement your passion with the skills, experiences and expertise for a career in theatre, film and television!
Theatre Practice
Offers a mixture of performance and production units in one program, enabling the development of well-rounded theatrical skills useful for work in small theatre companies, particularly in the area of theatre producing and directing. Paired with our Master of Teaching, it also satisfies the requirements for secondary Drama teaching.
Potential Students
The course is particularly suited to:
Those looking for a acting career and the degree to take you there
Students who want an exposure to a variety of pathways e.g. Acting, Production & Theatre Practice","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
PG,Excelsia College - Sydney,Sydney,Master Of Music,Creative Arts & Design & Music,36385,34625,AUD,Units,2,Years,Yes,Yes,,,IELTS,6.5,AQF Level,9,https://excelsia.edu.au/courses/music/master-of-music/,English,A,"      COURSE OVERVIEW
The Master of Music will equip you to impact your professional environment with high creative, technical and academic standards, as well as diverse approaches to music performance, composition.The course is offered with three strands of specialisation:
Performance: Students work on perfecting the standard repertoire by honing their technical and artistic skills and undertaking comprehensive analysis of all aspects of their repertoire.
Contemporary Composition: Students select four of six options for their major study, allowing students to concentrate on the traditional 'classical' aspects of composition or more commercial areas such as animation, advertising, radio, television and film scores. (taught in Art Phillips Music Studio, Balmain)
Within your chosen specialisation you will immerse yourself in a semester-long research initiative according to your interests and career focus.
Flexible study options; full-time or part-time; mixed mode learning
Specialised teaching staff","    WHERE WILL THIS TAKE ME
Perhaps you want to hone your skills in the classroom, increase your earning potential or become a leader in your professional learning community. Perhaps your eye is on a future role as a principal or curriculum leader. Whichever path you want your career to take, our online MEd prepares professional educators for advancement in any area of educational research, leadership and practice.",Australia,No,Yes,No,Yes,No,
