Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course_Delivery_Mode,FREE_TAFE,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
ADIP,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),22477VIC Advanced Diploma of Building Design (Architectural),Computer Science & Information Technology,29100,29100,AUD,Course,2,Years,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/22477vic-advanced-diploma-of-building-design-(arch,English,A,"This course prepares you for a career as a building designer, with the practical skills, knowledge and qualifications to work in the residential and commercial design and construction sectors. This course also gives you a great edge if you’re planning to move onto university studies. Please refer to the Further Study Options information below. Building Designer
Draftsperson in Building Design/Architectural sector",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be 17 years and over at the time of course commencement
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3",Normal,No,Apply project risk management techniques,,,Apply structural and construction technology to the design of commercial buildings,,,Apply structural and construction technology to the design of residential buildings,,,Comply with relevant legislation in the design of commercial buildings,,,Comply with relevant legislation in the design of residential buildings,,,Conduct interpret and apply a Bushfire Attack Level (BAL) assessment,,,Design safe buildings,,,Design sustainable buildings,,,Integrate digital applications into architectural workflows,,,Integrate services layout into design documentation,,,Manage architectural project administration,,,Prepare to work safely in the construction industry,,,Present architectural designs,,,Produce preliminary and working drawings for commercial buildings,,,Produce preliminary and working drawings for residential buildings,,,Provide design solutions for residential and commercial buildings,,,Select construction materials for building projects,,,Undertake complex architectural projects,,,Undertake site survey and analysis to inform design process,,,Undertake small business planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),CPC40110 Certificate IV in Building and Construction (Building),"Architecture, Building & Planning",10524,10524,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/cpc40110-certificate-iv-in-building-and-constructi,English,A,"If you are looking to move into estimating/supervision roles within the domestic building industry this course will prove to be a valuable tool.

Classes are currently being delivered live (in real-time) using audio-visual delivery methods. During this course, run using MBAV resources and support, you will learn estimating principles, legal obligations, structural principles, OHS obligations, sustainability principles, low rise contract administration and small business financial management.

Visit Building Design and Construction for more detailed information on all available courses.

This course is eligible for JobTrainer and Free TAFE in 2021. Click here for eligibility criteria Estimator
Building supervisor
Contracts Administration",,Australia,Yes,Yes,No,Yes,Yes,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 or over at the time of course commencement
Applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3",Normal,No,Apply Building Codes And Standards To The Construction Process For Low Rise Building Projects,,,Apply Legal Requirements To Building And Construction Projects,,,Apply Structural Principles To Commercial Low Rise Constructions,,,Apply Structural Principles To Residential Low Rise Constructions,,,Conduct On-site Supervision Of Building And Construction Projects,,,Identify And Produce Estimated Costs For Building And Construction Projects,,,Manage Occupational Health And Safety In The Building And Construction Workplace,,,Manage Small Business Finances,,,Plan Building Or Construction Work,,,Produce Labour And Material Schedules For Ordering,,,Read and interpret plans and specifications,,,Select And Prepare A Construction Contract,,,Select procure and store construction materials for low rise projects,,,Arrange Building Applications And Approvals,,,Build Thermally Efficient And Sustainable Structures,,,Undertake Small Business Planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),CPC50210 Diploma of Building and Construction (Building),"Architecture, Building & Planning",24272,24272,AUD,Course,18,Months,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/cpc50210-diploma-of-building-and-construction-(bui,English,A,"Are you pursuing your builders registration, or looking for supervising or contract administration roles? The Diploma of Building and Construction course will help you achieve this goal. 

You will learn about the latest building industry skills required to plan and coordinate the construction of medium-rise residential and commercial buildings as well as construction theory, contract administration, supervision skills, and quality risk factors.

This course is eligible for JobTrainer and Free TAFE in 2021. Click here for eligibility criteria. Eligibility to register with the Building Practitioners Board in Victoria as a domestic builder (unlimited) and commercial builder. For more information visit the VBA website.
Building works supervisor
Estimator
Registered builder domestic (unlimited)
Registered builder commercial",,Australia,Yes,Yes,No,Yes,Yes,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 or over at the time of course commencement
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3
Industry group: applicants will be selected on demonstrated history in a construction related industry",Normal,No,Apply Building Codes And Standards To The Construction Process For Low Rise Building Projects,,,Apply Building Codes And Standards To The Construction Process For Medium Rise Building Projects,,,Apply Principles Of OHS Risk Management,,,Apply Structural Principles To Residential Low Rise Constructions,,,Apply Structural Principles To The Construction Of Medium Rise Buildings,,,Identify And Produce Estimated Costs For Building And Construction Projects,,,Manage Construction Work,,,Manage Project Quality,,,Manage Project Risk,,,Monitor Costing Systems On Medium Rise Building And Construction Projects,,,Prepare And Evaluate Tender Documentation,,,Select And Prepare A Construction Contract,,,Supervise The Planning Of On-site Medium Rise Building Or Construction Work,,,Administer the legal obligations of a building or construction contractor,,,Apply site surveys and set-out procedures to medium rise building projects,,,Identify Services Layout And Connection Methods To Medium Rise Construction Projects,,,Manage environmental management practices and processes in building and construction,,,Prepare Simple Building Sketches And Drawings,,,Supervise And Apply Quality Standards To The Selection Of Building And Construction Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Gordon Geelong Institute of TAFE,Melbourne,CUA30715 Certificate III in Design Fundamentals,Creative Arts & Design & Music,,,AUD,Course,2,Years,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/cua30715-certificate-iii-in-design-fundamentals,English,A,"This course is currently only available to secondary students through VETDSS. Please contact your school to apply. Fees for VETDSS will differ to those listed below and should be discussed with your school.

Are you currently attending secondary school and looking to develop your creative design skills? This qualification reflects the role of individuals who are developing a broad range of technical and conceptual design skills and who take responsibility for their own outputs in work and learning. Practice at this level is underpinned by the application of introductory design theory and history.
 
Certificate III Design Fundamentals focuses on developing the fundamental skills of design and teaches practical competencies relevant to creative design across a range of industries. Students will learn and apply skills to improve planning, layout, creative design and 3D modelling. Applying various digital and technical design skills, students will be prepared to interpret, respond, create and present to a range of design briefs.
 
When you complete the course you may gain credit towards your VCE or VCAL. Interior Design
Graphic Design
Industrial Design
Fashion Design
Architecture/Building Design
Digital Media/Advertising
Creative Arts & Media
Furniture making",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Aged 15 years and over
Must be attending Secondary School",Normal,No,Contribute to health and safety of self and others,,,Explore and apply the creative design process to 2D forms,,,Explore and apply the creative design process to 3D forms,,,Explore the use of colour,,,Follow a design process,,,Produce drawings to communicate ideas,,,Source and apply design industry knowledge,,,Create electronic presentations,,,Evaluate the nature of design in a specific industry context,,,,,,Participate in collaborative creative projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),MSF40118 Certificate IV in Interior Decoration,Creative Arts & Design & Music,11813,11813,AUD,Course,1,Year,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/msf40118-certificate-iv-in-interior-decoration,English,A,"Are you a creative person with an eye for interior design? You can experience what it is really like to work as an interior decorator, and develop the skills expected by employers and clients. During the course you will learn to interpret design briefs and develop solutions for design projects, research interior design and decoration influences, research, analyse and apply colour for interior spaces, recommend furniture and accessories and explore and apply the creative design process in 2D and 3D formats.

You will build a portfolio of work to show potential employers, and start building your network of industry contacts. 

This course is eligible for JobTrainer in 2021. Freelance interiors consultant
Retail decorator/design consultant
Building company employee
Interior consultant for soft and hard furnishings
Colour consultant",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be 17 years and over at the time of course commencement
Applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3",Normal,No,Decorate residential interiors,,,Explore and apply the creative design process to 2D forms,,,Explore and apply the creative design process to 3D forms,,,Produce drawings to communicate ideas,,,Produce technical drawings,,,Research and meet ethical and compliance requirements,,,Advise customers on interior decoration,,,Collaborate in a creative process,,,Design soft furnishing solutions for interior spaces,,,Explore the use of colour,,,Prepare materials and finishes boards for client presentation,,,Prepare quotation and contract documentation for design projects,,,Prepare to work safely in the construction industry,,,Produce computer-aided drawings,,,Research and recommend furniture and accessories,,,Research interior decoration and design influences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),MSF50218 Diploma of Interior Design,Creative Arts & Design & Music,20280,20280,AUD,Course,2,Years,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/msf50218-diploma-of-interior-design-(1),English,A,"Do you see yourself working as an interior designer or decorator? This course will give you the creative and technical skills to design interiors for residential and commercial buildings. This course includes residential construction methods, 2D and 3D modelling, colour and fabric selection, graphic presentation, interpret design briefs and develop solutions for design projects, create decoration proposals for complex sites, design for small to medium scale commercial and institutional interiors, monitor and manage small business operations. Freelance decorator/design consultant
Retail decorator/design consultant
Home furnishing consultant
Colour consultant
Architectural interior designer",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be 17 years and over at the time of course commencement.
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3",Normal,No,Design colour schemes for interior and exterior spaces,,,Design residential interior lighting,,,Design residential interiors,,,Develop residential interior design project documentation,,,Establish negotiate and refine a design brief,,,Evaluate site structure and services for interior design briefs,,,Explore and apply creative design methodology to interior space,,,Explore and apply the creative design process to 2D forms,,,Explore and apply the creative design process to 3D forms,,,Produce digital models and documentation for interior design projects,,,Advise customers on interior decoration,,,Collaborate in a creative process,,,Decorate residential interiors,,,Design soft furnishing solutions for interior spaces,,,Design workplace interiors,,,Develop and extend design skills and practice,,,Explore the use of colour,,,Prepare materials and finishes boards for client presentation,,,Prepare quotation and contract documentation for design projects,,,Prepare to work safely in the construction industry,,,Produce computer-aided drawings,,,Produce drawings to communicate ideas,,,Produce technical drawings,,,Research and meet ethical and compliance requirements,,,Research and recommend furniture and accessories,,,Research and recommend hard materials and finishes for interiors,,,Research interior decoration and design influences,,,Undertake project work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gordon Geelong Institute of TAFE,Melbourne,25G00201 Introduction to Floristry,Creative Arts & Design & Music,,,AUD,Course,,,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/25g00201-introduction-to-floristry-(1),English,A,"Learn how to design, prepare and construct fresh floral arrangements with this introductory course. Over four lessons you will discover how to use fresh flowers to make creative designs, posies, table centres, modern design concepts and more. Fresh floral arrangements are made each week that you can take home to enjoy. 

A statement of participation is issued upon the completion of the course. Facebook

     Twitter

     Instagram.com

     Youtube

     Pinterest",,Australia,No,Yes,No,Yes,No,,Traineeship,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gordon Geelong Institute of TAFE,Melbourne,Site Search,Computer Science & Information Technology,,,AUD,Course,,,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/25g01423-classic-and-contemporary-floral-design-wo,English,A,,,Australia,No,Yes,No,Yes,No,,Traineeship,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC,Gordon Geelong Institute of TAFE,Melbourne (Geelong City Campus),SFL30115 Certificate III in Floristry,Creative Arts & Design & Music,15847,15847,AUD,Course,3,Years,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/sfl30115-certificate-iii-in-floristry-(1),English,A,"If you are a creative person and enjoy working with your hands, our floristry course could be for you.

The course equips you with in-depth skills in floral design and construction, floral display, and visual merchandising. You will also develop strong industry skills and knowledge including sustainable work practices Florist
Wholesale florist
Event stylist",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 16 or over at the time of course commencement
Any student under the age of 17 must provide a Transition from School form prior to undertaking this course.
Applicants are expected to have literacy and numeracy skills at Year 10 or Australian Core Skills Framework Level 2
Apprenticeship and traineeship applicants must be currently employed under a training contract and referred by their employer.",Apprenticeship,No,Construct floristry products with a base medium,,,Construct hand tied floristry products,,,Construct wired floristry products,,,Design floristry products,,,Develop drawing skills to communicate ideas,,,Interpret floristry design briefs,,,Maintain floristry tools and equipment,,,Participate in safe work practices,,,Prepare and care for floristry stock,,,Prepare quotations for floristry products,,,Provide quality service to floristry customers,,,Receive and store floristry stock,,,Recognise flower and plant materials,,,Sell floristry products,,,Source information on floristry products and services,,,Work effectively in the floristry industry,,,Assemble floristry products,,,Display and merchandise floristry products,,,Explore the use of colour,,,Participate in environmentally sustainable work practices,,,Use social media tools for collaboration and engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,Gordon Geelong Institute of TAFE,Melbourne (Geelong City Campus),CUA50715 Diploma of Graphic Design,Computer Science & Information Technology,12533,12533,AUD,Course,1,Year,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/cua50715-diploma-of-graphic-design,English,A,"If you are creative, enjoy variety and developing new designs then our popular graphic design course is for you! 
 
This hands-on program is taught to you by practising industry professionals who will develop your technical, creative and conceptual skills in order to create design solutions for a range of client requirements and real work opportunities. You will learn how to produce creative and relevant design works for corporate branding, commercial printing and freelance design involving illustration, packaging, digital media, and more. A digital folio is required for entry, check the entrance requirements below.

Upon the successful completion of the Diploma of Graphic Design you will have the option to continue your studies in the Advanced Diploma of Graphic Design. There are also pathways to Bachelor-level courses, please refer to the Further Study Options information below. Graphic designer
Illustrator
Junior art director
Computer finished artist
Publication designer",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 or over at the time of course commencement
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3
Applicants must provide evidence, via submission of a digital folio, of their technical skills and ability to: produce multiple examples of graphic design work that responds effectively to different design challenges, produce typography that supports the overall design solution and use graphic design industry software. Skills may have been acquired through personal or work experience, or through formal study.",Normal,No,Create and manipulate graphics,,,Design and manipulate complex layouts,,,Develop and extend design skills and practice,,,Develop graphic design practice to meet industry needs,,,Present a body of own creative work,,,Produce graphic designs for 2-D and 3-D applications,,,Produce typographic design solutions,,,Refine drawing and other visual representation tools,,,Research visual communication history and theory,,,Create observational drawings,,,Develop and extend critical and creative thinking skills,,,Develop and refine illustrative work,,,Implement design solutions,,,Manage personal work priorities and professional development,,,Prepare digital images for pre-press processing,,,Realise a body of creative work,,,Select and refine a specialised drawing technique,,,Use and respect copyright,,,Work with photomedia in creative practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
