Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
ADIP,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),22477VIC Advanced Diploma of Building Design (Architectural),Computer Science & Information Technology,29100,29100,AUD,Course,2,Years,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/22477vic-advanced-diploma-of-building-design-(arch,English,A,"This course prepares you for a career as a building designer, with the practical skills, knowledge and qualifications to work in the residential and commercial design and construction sectors. This course also gives you a great edge if you’re planning to move onto university studies. Please refer to the Further Study Options information below. Building Designer
Draftsperson in Building Design/Architectural sector",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be 17 years and over at the time of course commencement
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3"
VOC,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),CPC40110 Certificate IV in Building and Construction (Building),"Architecture, Building & Planning",9890,9890,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/cpc40110-certificate-iv-in-building-and-constructi,English,A,"If you are looking to move into estimating/supervision roles within the domestic building industry this course will prove to be a valuable tool.

Classes are currently being delivered live (in real-time) using audio-visual delivery methods. During this course, run using MBAV resources and support, you will learn estimating principles,  legal obligations, structural principles, OHS obligations, sustainability principles, low rise contract administration and small business financial management.

This is a FREE TAFE COURSE in 2021. Click here for eligibility criteria Estimator
Building supervisor
Contracts Administration",,Australia,Yes,Yes,No,Yes,Yes,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 or over at the time of course commencement
Applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3"
DIP,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),CPC50210 Diploma of Building and Construction (Building),"Architecture, Building & Planning",11975,11975,AUD,Course,18,Months,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/cpc50210-diploma-of-building-and-construction-(bui,English,A,"Are you pursuing your builders registration, or looking for supervising or contract administration roles? The Diploma of Building and Construction course will help you achieve this goal. 

You will learn about the latest building industry skills required to plan and coordinate the construction of medium-rise residential and commercial buildings as well as construction theory, contract administration, supervision skills, and quality risk factors.

This is a FREE TAFE COURSE in 2021. Click here for eligibility criteria. Eligibility to register with the Building Practitioners Board in Victoria as a domestic builder (unlimited) and commercial builder. For more information visit the VBA website.
Building works supervisor
Estimator
Registered builder domestic (unlimited)
Registered builder commercial",,Australia,Yes,Yes,No,Yes,Yes,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 or over at the time of course commencement
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3
Industry group: applicants will be selected on demonstrated history in a construction related industry"
VOC,Gordon Geelong Institute of TAFE,,CUA30715 Certificate III in Design Fundamentals,Creative Arts & Design & Music,,,AUD,Course,2,Years,Yes,Yes,,,,,,,https://www.thegordon.edu.au/courses/all-courses/cua30715-certificate-iii-in-design-fundamentals,English,A,"This course is currently only available to secondary students through VETDSS. Please contact your school to apply. Fees for VETDSS will differ to those listed below and should be discussed with your school.

Are you currently attending secondary school and looking to develop your creative design skills? This qualification reflects the role of individuals who are developing a broad range of technical and conceptual design skills and who take responsibility for their own outputs in work and learning. Practice at this level is underpinned by the application of introductory design theory and history.
 
Certificate III Design Fundamentals focuses on developing the fundamental skills of design and teaches practical competencies relevant to creative design across a range of industries. Students will learn and apply skills to improve planning, layout, creative design and 3D modelling. Applying various digital and technical design skills, students will be prepared to interpret, respond, create and present to a range of design briefs.
 
When you complete the course you may gain credit towards your VCE or VCAL. Interior Design
Graphic Design
Industrial Design
Fashion Design
Architecture/Building Design
Digital Media/Advertising
Creative Arts & Media
Furniture making",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Aged 15 years and over
Must be attending Secondary School"
PG,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),MSF40118 Certificate IV in Interior Decoration,Creative Arts & Design & Music,9947,9947,AUD,Course,1,Year,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/msf40118-certificate-iv-in-interior-decoration,English,A,"Are you a creative person with an eye for interior design? You can experience what it is really like to work as an interior decorator, and develop the skills expected by employers and clients. During the course you will learn to interpret design briefs and develop solutions for design projects, research interior design and decoration influences, research, analyse and apply colour for interior spaces, recommend furniture and accessories and explore and apply the creative design process in 2D and 3D formats.

You will build a portfolio of work to show potential employers, and start building your network of industry contacts. Freelance interiors consultant
Retail decorator/design consultant
Building company employee
Interior consultant for soft and hard furnishings
Colour consultant",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be 17 years and over at the time of course commencement
Applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3"
PG,Gordon Geelong Institute of TAFE,Melbourne (East Geelong Campus),MSF50218 Diploma of Interior Design,Creative Arts & Design & Music,18917,18917,AUD,Course,2,Years,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/msf50218-diploma-of-interior-design-(1),English,A,"Do you see yourself working as an interior designer or decorator? This course will give you the creative and technical skills to design interiors for residential and commercial buildings. This course includes residential construction methods, 2D and 3D modelling, colour and fabric selection, graphic presentation, interpret design briefs and develop solutions for design projects, create decoration proposals for complex sites, design for small to medium scale commercial and institutional interiors, monitor and manage small business operations. Freelance decorator/design consultant
Retail decorator/design consultant
Home furnishing consultant
Colour consultant
Architectural interior designer",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be 17 years and over at the time of course commencement.
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3"
,Gordon Geelong Institute of TAFE,,25G00201 Introduction to Floristry,Creative Arts & Design & Music,,,AUD,Course,,,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/25g00201-introduction-to-floristry-(1),English,A,"Learn how to design, prepare and construct fresh floral arrangements with this introductory course. Over four lessons you will discover how to use fresh flowers to make creative designs, posies, table centres, modern design concepts and more. Fresh floral arrangements are made each week that you can take home to enjoy. 

A statement of participation is issued upon the completion of the course. Facebook

     Twitter

     Instagram.com

     Youtube

     Pinterest",,Australia,No,Yes,No,Yes,No,
,Gordon Geelong Institute of TAFE,,25G01423 Classic and Contemporary Floral Design Workshops,Humanities and Social Science,,,AUD,Course,,,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/25g01423-classic-and-contemporary-floral-design-wo,English,A,"If you have basic floristry skills, this course will take you to the next level. You'll develop advanced practical skills and broaden your imagination to create beautiful and unique arrangements with a range of materials. All flowers and plant materials are supplied. Facebook

     Twitter

     Instagram.com

     Youtube

     Pinterest",,Australia,No,Yes,No,Yes,No,
VOC,Gordon Geelong Institute of TAFE,Melbourne (Geelong City Campus),SFL30115 Certificate III in Floristry,Creative Arts & Design & Music,15847,15847,AUD,Course,1,Year,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/sfl30115-certificate-iii-in-floristry-(1),English,A,"If you are a creative person and enjoy working with your hands, our floristry course could be for you.

The course equips you with in-depth skills in floral design and construction, floral display, and visual merchandising. You will also develop strong industry skills and knowledge including sustainable work practices Florist
Wholesale florist
Event stylist",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 16 or over at the time of course commencement
Any student under the age of 17 must provide a Transition from School form prior to undertaking this course.
Applicants are expected to have literacy and numeracy skills at Year 10 or Australian Core Skills Framework Level 2
Apprenticeship and traineeship applicants must be currently employed under a training contract and referred by their employer."
DIP,Gordon Geelong Institute of TAFE,Melbourne (Geelong City Campus),CUA50715 Diploma of Graphic Design,Computer Science & Information Technology,12533,12533,AUD,Course,1,Year,Yes,No,,,,,,,https://www.thegordon.edu.au/courses/all-courses/cua50715-diploma-of-graphic-design,English,A,"If you are creative, enjoy variety and developing new designs then our popular graphic design course is for you! 
 
This hands-on program is taught to you by practising industry professionals who will develop your technical, creative and conceptual skills in order to create design solutions for a range of client requirements and real work opportunities. You will learn how to produce creative and relevant design works for corporate branding, commercial printing and freelance design involving illustration, packaging, digital media, and more. A digital folio is required for entry, check the entrance requirements below.

Upon the successful completion of the Diploma of Graphic Design you will have the option to continue your studies in the Advanced Diploma of Graphic Design. There are also pathways to Bachelor-level courses, please refer to the Further Study Options information below. Graphic designer
Illustrator
Junior art director
Computer finished artist
Publication designer",,Australia,No,Yes,No,Yes,No,"The Gordon is utilising Gordon Online, our digital learning management system to ensure students continue to learn and reach 
  their study goals during isolation. Classes are being delivered live (in real-time) using audio-visual delivery methods. 
  Where on-campus attendance is required to complete practical learning and assessments, student numbers are being managed to 
  ensure social distancing can be observed. 
  Find out more about delivery changes here. Applicants must be aged 17 or over at the time of course commencement
Applicants must be able to provide their Year 12 certificate OR evidence that they have completed a Certificate IV or above level, otherwise they will be required to undertake an independent assessment test to ensure they can satisfactorily attain Level 3 in both reading and numeracy to apply for a VET Student Loan. To meet the academic requirements for the course, applicants are expected to have literacy and numeracy skills at Year 11 or Australian Core Skills Framework Level 3
Applicants must provide evidence, via submission of a digital folio, of their technical skills and ability to: produce multiple examples of graphic design work that responds effectively to different design challenges, produce typography that supports the overall design solution and use graphic design industry software. Skills may have been acquired through personal or work experience, or through formal study."
