Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DPG,Griffith University,Brisbane,Doctor of Clinical Dentistry,Medical and Nursing,62000,,AUD,Years,3,Years,Yes,No,,,IELTS,7,,,https://www.griffith.edu.au/study/degrees/doctor-of-clinical-dentistry-5699,English,A,"If you are a qualified dentist, this degree will provide you with an avenue to pursue high-level studies and develop advanced clinical skills. This program is offered with the following majors: The Doctor of Clinical Dentistry is an AQF Level 9 Masters Extended degree.",,Australia,No,Yes,No,Yes,No,
DPG,Griffith University,Brisbane,Doctor of Medicine,Medical and Nursing,71000,,AUD,Years,4,Years,Yes,No,,,IELTS,7,,,https://www.griffith.edu.au/study/degrees/doctor-of-medicine-5099,English,A,"In 2021, Griffith University can offer the first year of the Doctor of Medicine online for international students outside Australia due to travel restrictions. However, there will be some learning components that cannot be completed online and will need to be completed once students arrive in Australia to study on-campus.  For students commencing study from outside Australia, online delivery is an interim arrangement. Once travel restrictions are lifted, students will be expected to travel to Australia as soon as they are able, to continue their study on campus, and they will require a student visa for this. Students will need to be in Australia at the commencement of second year; if travel restrictions prevent this, students will need to apply for a Leave of Absence. This degree will help you take your first step on the road to becoming a doctor. Through a combination of problem-based learning, small group practical and clinical skills sessions, plus extensive clinical placements and considerable online support, you will develop the skills, knowledge and attributes necessary to succeed as an intern. As a graduate, you will be caring and competent and have a fundamental understanding of the science of medicine. You will develop communication skills and learn about the art and science of medicine in its wider social and ethical context. You will take part in extensive   clinical placements in healthcare facilities ranging from rural settings through to the Gold Coast University Hospital. You will also develop an understanding of the importance of lifelong learning, and learn how to be resourceful in seeking information and adapting to new technologies. The Doctor of Medicine is an AQF Level 9 Masters Extended degree. This pathway will allow a small number of MD students (5 to 10 students) to complete the first two years of the program before commencing two years of full time PhD work in clinical research related to a range of fields such as neuropsychiatry, pathology, neurology, primary health care, health economics, cardiology, indigenous health, medical education and medical ethics. The program will incorporate clinical/bedside teaching plus reintegration to the MD component while they are doing the PhD research project. Candidates would then recommence the normal MD program to complete Medicine 3 and Medicine 4 of the MD whilst completing the PhD part-time.  Students will be eligible for PhD scholarships.","You will be prepared for multiple careers, including in specialist clinical practice, primary care medicine, rural medical practice, medical administration, medical research and medical education. Graduates of this program will normally be eligible for limited registration and will receive full registration by Australian Health Practitioners Regulation Agency (AHPRA) upon successful completion of a subsequent one-year internship in the Australian hospital system. Note: Any offer of a place in the medical program is made on the understanding that Griffith University in no way guarantees any period of internship in an Australian hospital. As a result, our International students may have to complete their internships in their home country. Internship places are not allocated by the University.",Australia,No,Yes,No,Yes,No,
DPG,Griffith University,Brisbane,Juris Doctor,Law,37500,,AUD,Years,2,Years,Yes,No,,,IELTS,7,,,https://www.griffith.edu.au/study/degrees/juris-doctor-5734,English,A,"The Trimester 3 intake will only be available to those students undertaking the Canadian Law major at the Gold Coast campus. The Juris Doctor program will prepare you for a rewarding career. It is an alternative to the Bachelor of Laws for students who have completed an undergraduate degree in any discipline. Griffith Law School offers a professional legal curriculum that focuses on core areas of legal practice and the legal skills that lawyers must have. You will have the opportunity to choose law electives based on your interests, including high-level research and clinical courses that emphasise practical legal skills, insights and experience.  You will also have the option of completing a major in International Law or Canadian Law. You will make connections between law and ethics, legal theory, Indigenous issues, and internationalisation. You will also develop interdisciplinary understandings of law and legal work. You will take courses that cover areas such as crime, contracts, property, corporate law, torts and theories of law. If you complete the major in Canadian Law you will be eligible for entry into the legal profession in Canada's common law provinces, when accompanied by a Certificate of Qualification from the National Committee on Accreditation (NCA) of the Federation of Law Societies of Canada. This program can be completed in two years by taking courses across each trimester. The Juris Doctor is an AQF Level 9 Masters Extended degree.","A Juris Doctor degree from Griffith is your passport to the world and is recognised as a qualifying degree for admission into the legal profession in many countries around the world. You will be prepared for a career as a solicitor or barrister, after gaining professional recognition. You will find opportunities in business and government in areas such as academia, administration, banking, finance, industrial relations, management and marketing.",Australia,No,Yes,No,Yes,No,
PG,Griffith University,Brisbane,Master of Advanced Health Services Management,English,30000,,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,,,https://www.griffith.edu.au/study/degrees/master-of-advanced-health-services-management-5627,English,A,"You will study a wide ranging and diverse base of specialist health management courses. If you are a graduate or manager in health, aged or community care services and you want to develop your skills and understanding of contemporary health or social care management issues, these degrees will help you achieve your goals. Through flexible teaching and research options, you will learn about key areas of health sector policy, governance, operations and evidence-based practice management. You will develop skills and knowledge in current management theory and practice, develop your leadership skills and style and gain an in-depth understanding of health workforce planning. You will also learn about managing human resources, planning and implementing health programs, and managing performance and health budgets from respected industry practitioners and academics. Additionally, you will develop skills in strategic decision making and change management and an understanding of the role of innovation and the application of technology in health services management.  You will develop research and project management skills that will provide a sound basis for your current work role and your future endeavours. Through a project directly relevant to your organisation's strategic direction, you will develop research and project management skills. The Master of Advanced Health Services Management  offers a range of different durations depending on your previous studies:",You will be eligible to find work in Australia and overseas as a manager developing improved health systems and services.,Australia,Yes,Yes,No,Yes,No,
PG,Griffith University,,Master of Advanced Nursing Practice,Medical and Nursing,30500,,AUD,Years,1,Year,Yes,Yes,,,IELTS,7,,,https://www.griffith.edu.au/study/degrees/master-of-advanced-nursing-practice-5721,English,A,"The Master of Advanced Nursing Practice has been designed to meet the core skill requirements for advanced nursing practice. The program develops nursing competence, skills and knowledge in assessment, planning, implementation, diagnosis and evaluation of care from a specialist capacity.","You will be recognised for your expertise and ability to apply multidisciplinary knowledge and skills in nursing and will have the ability to analyse, critique and synthesise advanced practice in nursing.",Australia,Yes,Yes,No,Yes,No,
PG,Griffith University,,Master of Applied Behaviour Analysis,Humanities and Social Science,32500,,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,,,https://www.griffith.edu.au/study/degrees/master-of-applied-behaviour-analysis-5744,English,A,"The Master of Applied Behaviour Analysis provides students with comprehensive and flexible training in applied behaviour analysis. The principles of ABA underpin most evidence-based interventions and practices in the fields of education and disability and can be applied to any life situation in which the aim is to learn new skills, enhance individual or team performance, or to understand and reduce behaviours that challenge. This degree program is relevant to students wishing to apply knowledge of these principles and practices to their current work (for example, teachers, early intervention workers, allied health professionals, managers, principals) as well as those who ultimately want to pursue accreditation as a behaviour practitioner. The Master of Applied Behaviour Analysis offers a range of different durations depending on your previous studies:",Students who complete the Master of Applied Behaviour Analysis will typically apply their knowledge and skills in one of three ways.,Australia,No,Yes,Yes,Yes,No,
PG,Griffith University,Brisbane,Master of Architecture,Computer Science & Information Technology,34000,,AUD,Years,2,Years,Yes,No,,,IELTS,6.5,,,https://www.griffith.edu.au/study/degrees/master-of-architecture-5558,English,A,"International students must be in Australia and able to attend campus to commence this program. You will receive a rounded professional architectural education with strength in design-research. You can choose to focus on sustainable design, urban design, history/theory or design practice. The research-based approach to architectural design in this degree will help you develop the capacity to pose original questions and to investigate, analyse and appraise current information and understandings. Research-led design will underpin career-long self-directed learning of a critical-reflective nature.","Our graduates have been employed in various architecture related organisations including private practice, consulting firms and in local and state government. You may choose to become a 'general practitioner' or you will have the option to specialise in a building type, in an aspect of building design or construction procurement or with further experience and study you can specialise in urban design or research.",Australia,No,Yes,No,Yes,No,
PG,Griffith University,Brisbane,Master of Arts in Visual Arts,Creative Arts & Design & Music,34000,,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,,,https://www.griffith.edu.au/study/degrees/master-of-arts-in-visual-arts-5663,English,A,"The Master of Arts in Visual Arts degree is suited to both artists who want to deepen their understanding of the contemporary art world, as well as graduates who are changing disciplines and want to pursue and expand their artistic and creative capabilities. You will extend on and refine your visual literacy skills and your ability to critically analyse artworks and understand key concepts in contemporary visual art.  The degree encourages you to explore ideas in contemporary visual culture and develop your studio art practice so you can produce a significant body of work for exhibition. By joining a community of expert art practitioners you will be encouraged to experiment and stretch the boundaries of innovation across a broad range of media, including drawing, jewellery, painting, photography, print-making and sculpture. The Master of Arts in Visual Arts offers a range of different durations depending on your previous studies:",The Master of Arts in Visual Arts will advance your career within a wide range of creative disciplines:,Australia,No,Yes,No,Yes,No,
PG,Griffith University,,Master of Autism Studies,Science and Health Science,30000,,AUD,Years,1,Year,Yes,Yes,,,IELTS,6.5,,,https://www.griffith.edu.au/study/degrees/master-of-autism-studies-5595,English,A,"This degree, offered by the Autism Centre of Excellence, has a multidisciplinary, whole of life focus.  In the Masters, you will build on this knowledge and learn about critical issues in autism such as diagnosis, early intervention, mental health, communication and the importance of identifying strengths and challenges. You will gain comprehensive understanding and skills in research and practice for individuals with ASD, that will enable you to work effectively with learners with autism and their families at home, in school, at work and in the community. The Master of Autism Studies is an accredited pathway to becoming a Developmental Educator. Developmental Educators are NDIS approved professionals who support individuals on the autism spectrum, those with other disabilities, and their families to achieve their individual developmental, social and learning goals. This degree also addresses an area of acute need as determined by the Australian Department of Families, Housing, Community Services and Indigenous Affairs, Australian Department of Education, Employment and Workplace Relations, Queensland Department of Education and Training, and the Queensland Department of Communities, Child Safety and Disability Services.","You will be able to provide quality intervention and management for people with ASD. You will also be well equipped to advance into leadership and specialist roles in education, health, government policy, social work and service provision for people with Autism Spectrum Disorder and their families. Educators with specialised knowledge in providing for the needs of learners with ASDs are in high demand in public and private education sectors as a specialist teacher, school leader, curriculum leader or consultant. You will also have the option of completing a research masters and following a career in
autism research.",Australia,Yes,Yes,No,Yes,No,
PG,Griffith University,Brisbane,Master of Aviation Management,Aviation,30000,,AUD,Years,1,Year,Yes,Yes,,,IELTS,6.5,,,https://www.griffith.edu.au/study/degrees/master-of-aviation-management-5647,English,A,"You will gain the knowledge, skills and vision needed to accept and master the challenge of changing management practices in the aviation industry.",You will be able to further your career in the airline industry and provide your employer with a competitive advantage over other organisations in the region. On graduation you will also be eligible to pursue doctoral studies or conduct independent research into the aviation sector.,Australia,Yes,Yes,No,Yes,No,
PG,Griffith University,Brisbane,Master of Biotechnology,Computer Science & Information Technology,34500,,AUD,Years,2,Years,Yes,No,,,IELTS,6.5,,,https://www.griffith.edu.au/study/degrees/master-of-biotechnology-5714,English,A,"This program is designed for graduate or professional scientists who wish to extend their skills and knowledge in clinical and environmental microbiology, bioinformatics, protein science, molecular biology and genomics and apply it in a competitive commercial environment. It is also suited to scientists wishing to become business/research managers and entrepreneurs in the exciting world of Biotechnology with applications in clinical, agriculture, food and the environment.","Graduates will be highly employable, obtaining a broad and in-depth understanding of current biotechnologies, business and innovation trends, marketing and business planning as well as obtaining knowledge on how to manage research in an industry environment.",Australia,No,Yes,No,Yes,No,
