Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_or_Unit_2,Subject_or_Unit_3,Subject_or_Unit_4,Subject_or_Unit_5,Subject_or_Unit_6,Subject_or_Unit_7,Subject_or_Unit_8,Subject_or_Unit_9,Subject_or_Unit_10,Subject_or_Unit_11,Subject_or_Unit_12,Subject_or_Unit_13,Subject_or_Unit_14,Subject_or_Unit_15,Subject_or_Unit_16,Subject_or_Unit_17,Subject_or_Unit_18,Subject_or_Unit_19,Subject_or_Unit_20,Subject_or_Unit_21,Subject_or_Unit_22,Subject_or_Unit_23,Subject_or_Unit_24,Subject_or_Unit_25,Subject_or_Unit_26,Subject_or_Unit_27,Subject_or_Unit_28,Subject_or_Unit_29,Subject_or_Unit_30,Subject_or_Unit_31,Subject_or_Unit_32,Subject_or_Unit_33,Subject_or_Unit_34,Subject_or_Unit_35,Subject_or_Unit_36,Subject_or_Unit_37,Subject_or_Unit_38,Subject_or_Unit_39,Subject_or_Unit_40
BA,Macquarie University,North Ryde,Bachelor of Actuarial Studies,Business & Commerce & Finance & Accounting,,"14,500",AUD,Years,3,Years,Yes,No,ATAR,97,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-actuarial-studies,English,I,"Actuaries specialise in applying mathematical, statistical and financial analysis to business, finance and insurance. Actuaries advise government, financial institutions and other organisations on financial management, risk management, product design and complex transactions. They are key to helping financial institutions and other businesses all over the world to prosper.
In this professionally accredited course, you'll learn how to apply mathematical, statistical, economic and financial analysis to a range of practical problems in long-term risk management, finance and insurance.","PROFESSIONS: Actuary. Claims adjuster/examiner/investigator. Fund manager. Insurance analyst. Life, general or health insurance specialist. Pricing/marketing actuary. Risk analyst. Superannuation consultant. UnderwriterEMPLOYERS: Accounting firms. Actuarial and superannuation consulting firms. Banks and funds management. General insurance companies. Health insurance companies. Life insurance companies",Australia,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONS,Macquarie University,North Ryde,Bachelor of Actuarial Studies with Professional Practice (Honours),Engineering,,"14,500",AUD,Years,4,Years,Yes,No,ATAR,,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-actuarial-studies-with-professional-practice-honours,English,I,"Diverse opportunities are available for actuaries. With high-level analytical and problem-solving skills, actuaries are in demand in the traditional areas of finance and insurance, as well as in areas such as health, education, energy and environment, public infrastructure and genetics. 
Macquarie’s highly competitive Actuarial Studies Co-operative Education (Co-op) program offers you the opportunity to alternate between classroom studies and workplace experience in the form of three vocational placements of three to six months each. This will allow you to develop your professional skills, including communication, creativity, ethical practice and entrepreneurial expertise. You’ll have opportunities to build business acumen and to embrace emerging technologies. You’ll develop networks across a number of professional settings throughout your double degree, and you’ll use your practical experiences in the classroom to further enhance your studies.","PROFESSIONS: Actuary. Claims adjuster/examiner/investigator. Data analyst/scientist. Entrepreneur. Fund manager. Insurance analyst. Life, health or general insurance specialist. Pricing/marketing actuary. Risk analyst. Superannuation consultant. UnderwriterEMPLOYERS: Banks and financial institutions. Consulting firms. Energy and environment sector. Genetics companies. Government departments. Health sector. Insurance firms. Public infrastructure firms. Tertiary education sector",Australia,No,Yes,No,Yes,No,,Quantitative Methods for Risk Analysis,Statistics,Statistical Data Analysis,Probability,Actuarial Modelling,Principles of Economics 2,Actuarial Statistics,Actuarial Data Analytics,Professional Practice Placement 1,Actuarial Control Cycle 1,Actuarial Honours Thesis B,Survival Models,Contingent Payments,Calculus and Linear Algebra I (Advanced),Calculus and Linear Algebra II (Advanced),Principles of Economics 1,Advanced Professional Practice and Reflection,Quantitative Asset and Liability Modelling 2,Professional Practice Placement 2,Introduction to Professional Practice,Finance and Financial Reporting,Mathematics of Finance,Introduction to Actuarial Studies,Actuarial Honours Thesis A,Quantitative Asset and Liability Modelling 1,,,,,,,,,,,,,,,
BA,Macquarie University,North Ryde,Bachelor of Ancient History,Humanities and Social Science,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,90,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-ancient-history,English,I,"The achievements of our ancient ancestors, as well as the challenges they encountered and the ways in which they responded to such challenges, provide valuable lessons for each and every one of us. With a broad and rich understanding of ancient times, we can better understand who we are today and where we are going in the future.
Macquarie's world-leading Ancient History course – the longest-running and broadest of its kind in Australia – allows you to immerse yourself in the culture and languages of the ancient Mediterranean and Near Eastern worlds, both on campus and at archaeological dig sites overseas.","PROFESSIONS: ancient history academic. archivist. collections officer. conservation consultant. cultural heritage specialist. cultural project officer. diplomat. gallery or museum curator. government adviser. historian. journalist. museum education officer. policy officer. preservation officer. researcher. tourism and travel consultant. writerEMPLOYERS: Our graduates have found themselves in diverse fields including: diplomatic service, advertising, cultural heritage, museums and libraries, tourism, research, archaeology, education and government.",Australia,No,Yes,Yes,Yes,No,,Myth in the Ancient World,From Alexander the Great to Augustus: The Hellenistic Age,Ancient Egyptian and Near Eastern Art: Theory and Practice,Studying the Past from the Bronze Age to Byzantium,A History of Magic: From the Magi to Merlin,State Formation: Egypt and the Near East,Women and Gender in the Ancient World,Capstone in Ancient History and Archaeology,Dialogue of Cultures: Ancient Egypt and the Near East,Ancient Egyptian and Near Eastern Archaeology,Rome and the Caesars,Cultural Heritage and Public History,Digging up the Past: An Introduction to Archaeology,Ancient Egypt: Culture and Society,Byzantium in the Age of the Emperors,Material Culture and Museum Studies,Advanced Professional Practice and Reflection,Quantitative Asset and Liability Modelling 2,Professional Practice Placement 2,Introduction to Professional Practice,Finance and Financial Reporting,Mathematics of Finance,Introduction to Actuarial Studies,Actuarial Honours Thesis A,Quantitative Asset and Liability Modelling 1,,,,,,,,,,,,,,,
BA,Macquarie University,North Ryde,Bachelor of Applied Finance,Business & Commerce & Finance & Accounting,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,85,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-applied-finance,English,I,"The finance world is continuously evolving, making it a remarkably exciting field to work in. Being able to navigate through the complex world of markets, banks and laws – and provide optimal advice about growing wealth – is highly desirable in today’s economy.
With the corporate finance and investment management skills you’ll gain in this course – the ability to help organisations create value, invest wisely and control risk – you’ll find yourself in demand across the globe.","PROFESSIONS: Financial analyst for accounting and consultancy firms. Financial economist. Investment analyst. Management consultant. Market analyst. Planning/policy analyst. Public administrator. Researcher. Statistician. StockbrokerEMPLOYERS: Accounting and consultancy firms, such as Accenture, PricewaterhouseCoopers. Commercial banks, such as Commonwealth Bank Australia, AMP. Government, such as Treasury, Reserve Bank of Australia, Productivity Commission",Australia,No,Yes,No,Yes,No,,Quantitative Asset and Liability Modelling 1,Applied Portfolio Management,Probability,Finance 1B,Financial Econometrics,Investments,Issues in Applied Finance,Macroeconomic Analysis and Applications,Introductory Econometrics,Mathematics of Finance,Introduction to Actuarial Studies,Principles of Economics 1,Business Statistics,Principles of Economics 2,Statistical Data Analysis,Financial Modelling,Finance 1A,Statistics,Accounting in Society,Stochastic Methods in Applied Finance,Financial Risk Management,Derivative Instruments,Introduction to Actuarial Studies,Actuarial Honours Thesis A,Quantitative Asset and Liability Modelling 1,,,,,,,,,,,,,,,
BA,Macquarie University,North Ryde,Bachelor of Archaeology,Humanities and Social Science,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,88,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-archaeology,English,I,"Archaeology is the scientific excavation and study of ancient human material remains for the purpose of learning about the culture and society of people who lived in the past. It can involve examining artefacts, buildings, graves, inscriptions, tools and other objects. To help them fathom what can appear to be a giant jigsaw puzzle, archaeologists use many new interpretive approaches and recovery techniques, as well as traditional tools and contemporary technologies such as satellite imagery. 
In this degree, you’ll explore theories and trends that have shaped the history of archaeology, and undertake study in laboratories and out in the field. You’ll develop key research skills to identify and solve complex archaeological problems, and you’ll be able to show awareness and respect for contemporary cultural perspectives and cultural heritage practices.",PROFESSIONS: Archaeologist. Conservator. Heritage consultant. Information or records manager. Museum curator. Museum education officer. Researcher. Tour leaderEMPLOYERS: Arts organisations. Community groups. Consultancies. Cultural heritage organisations. Government. Museums. Non-government organisations. Universities,Australia,No,Yes,No,Yes,No,,Digging up the Past: An Introduction to Archaeology,Capstone in Ancient History and Archaeology,Material Culture and Museum Studies,Field Methods of Archaeology,World Archaeology,Ancient Egypt: Culture and Society,Archaeology of Death and Burial,Cultural Heritage and Public History,Dialogue of Cultures: Ancient Egypt and the Near East,Minos and Mycenae: The Aegean Bronze Age,State Formation: Egypt and the Near East,Myth in the Ancient World,Ancient Egyptian and Near Eastern Archaeology,Ancient Egyptian and Near Eastern Art: Theory and Practice,Laboratory Methods of Archaeology,Archaeology and Society: Archaeological Evidence,Finance 1A,Statistics,Accounting in Society,Stochastic Methods in Applied Finance,Financial Risk Management,Derivative Instruments,Introduction to Actuarial Studies,Actuarial Honours Thesis A,Quantitative Asset and Liability Modelling 1,,,,,,,,,,,,,,,
BA,Macquarie University,North Ryde,Bachelor of Arts,Creative Arts & Design & Music,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,75,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-arts,English,I,"Arts graduates are highly sought after by employers because arts degrees ensure you develop strong capabilities in analysis, creativity, research, critical thinking, intercultural awareness and communication – capabilities that are in demand by employers and essential for success in the 21st century workplace. Arts graduates are recognised by employers for their advanced skills in problem solving and their ability to make ethical judgements.
This degree has been reimagined by our world-leading academics in consultation with industry partners and public-sector organisations, so you can be assured you’ll acquire the transferable and technical skills needed for success in today’s and tomorrow’s workplaces. Our approach allows you to turn your passion into a career by exploring your interests in depth, and by honing your skills and knowledge through internships, practical application and expert teaching.",PROFESSIONS: Archivist. Arts manager. Business manager. Choreographer. Communications officer. Criminologist. Entrepreneur. Historian. Human resources manager. Intelligence officer. International development adviser. Interpreter (after further study). Journalist. Legal officer. Lobbyist. Marketing manager. Multimedia specialist. Museum officer. Project manager. Radio producer. Social change activist. Social/market researcher. Teacher (after further study). Television/film producer. Translator (after further study). Web/game developer. WriterEMPLOYERS: Arts organisations. Banks. Community groups. Consultancies. Creative agencies. Cultural heritage organisations. Financial institutions. Government. Health services. Legal practice. Marketing agencies. Media agencies. Multinationals. Museums. NGOs. Professional service organisations. Public service. Regulatory bodies. Schools. Small businesses. Start-ups. Technology and telecommunications companies. Trade unions. Universities,Australia,No,Yes,Yes,Yes,No,,International Exchange Experience,Public Relations and Social Media: Constructing Campaigns,Ethical Practice in Security Studies,Cultural Heritage and Public History,Media Internship,International Studies Internship,Psychological Science: Putting Theory into Practice,Creative Industries Internship,Critical Thinking,Arts Capstone,Health Placement,"Social, Cultural and Ethical Action",Humanities and the World,Ancient Egyptian and Near Eastern Art: Theory and Practice,Laboratory Methods of Archaeology,Archaeology and Society: Archaeological Evidence,Finance 1A,Statistics,Accounting in Society,Stochastic Methods in Applied Finance,Financial Risk Management,Derivative Instruments,Introduction to Actuarial Studies,Actuarial Honours Thesis A,Quantitative Asset and Liability Modelling 1,,,,,,,,,,,,,,,
BA,Macquarie University,North Ryde,Bachelor of Biodiversity and Conservation,Humanities and Social Science,,"7,950",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-biodiversity-and-conservation,English,I,"The survival of all life on earth depends on properly functioning ecosystems. Without biodiversity, ecosystems break down. When this happens, our water systems, the air we breathe and the environments in which we grow food are all impacted. Conserving the environment has become a global priority, and those with specialist skills in not only reducing our footprint but also identifying strategies for preserving our rich diversity are in demand.
This broad and flexible degree – which uniquely combines studies in plant and animal sciences, genetics, evolution and ecology with environmental and conservation management – will equip you with such specialist skills.",PROFESSIONS: Bio-prospector (eg for new pharmaceuticals). Biodiversity informatics adviser. Conservation policymaker. Environmental assessor. Environmental consultant. Land manager. Natural resource manager. Research scientist. Wildlife manager. Zoo captive breeding programs managerEMPLOYERS: Conservation agencies. Departments of agriculture. Departments of land and water conservation. Environment Australia. Environmental protection agencies. Fisheries and forestry agencies. National parks and wildlife services. Scientific research organisations. State forests. Sydney Bush Regeneration Co. The Australian Museum,Australia,No,Yes,Yes,Yes,No,,Foundations of Chemical and Biomolecular Sciences 1,Ecology,Invertebrate Biology and Behaviour,Evolutionary and Conservation Genetics,The Living Environment,Environmental Analysis Using Remote Sensing and GIS,Genetics,Organisms to Ecosystems,Statistical Concepts for Science,Introduction to Geographic Information Science and Remote Sensing,Australian Environmental Futures,Plant Biology,Aquatic Ecosystems,Biological Data Analysis,Biodiversity and Conservation,Scientific Computing,Diversity of Life,Genes to Organisms,Vertebrate Biology and Behaviour,Biological Basis of Behaviour,Financial Risk Management,Derivative Instruments,Introduction to Actuarial Studies,Actuarial Honours Thesis A,Quantitative Asset and Liability Modelling 1,,,,,,,,,,,,,,,
BA,Macquarie University,North Ryde,Bachelor of Business Administration,Business & Commerce & Finance & Accounting,,"14,500",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-business-administration,English,I,"In today’s globalised world where competition among businesses is at an all-time high, there are very few careers in which a comprehensive knowledge of business isn’t revered. The best business administrators are equally talented at managing numbers as they are at managing people – they’re leaders, strategic thinkers, creative problem-solvers and innovators. 
This degree will develop your skills in business, ethics, management, finance, economics, accounting, human resources, marketing and strategy – all key competencies you’ll need to succeed in today’s dynamic global business environment.","PROFESSIONS: Administration manager. Business analyst. Communications manager. General manager. Human resources manager. Management consultant. Marketing consultant. Office manager. Operations manager. Public sector manager. Recruitment and staff development consultant. Sales managerEMPLOYERS: Banking and financial institutions. Consulting companies, eg, PwC, Deloitte, EY and KPMG. Fast moving consumer goods organisations. Large multinational enterprises. Marketing and public relations organisations. Merchant banker. Mid-tier accounting firms and small-to-medium enterprises. Recruitment agencies. Software development companies. Superannuation and insurance firms. Telecommunications companies, eg, Optus, Telstra",Australia,No,Yes,No,Yes,No,,Leadership in Management,Marketing Fundamentals,Organisational Behaviour,Business Demographics,Strategic Management,Introduction to Global Business,Business and Corporations Law,Introduction to Human Resource Management,Finance 1A,Business Project,Accounting in Society,The Art of Negotiation,Business Forecasting,Principles of Management,Business Statistics,Entrepreneurship and New Venture Management,Principles of Economics 1,Management Communication,Vertebrate Biology and Behaviour,Biological Basis of Behaviour,Financial Risk Management,Derivative Instruments,Introduction to Actuarial Studies,Actuarial Honours Thesis A,Quantitative Asset and Liability Modelling 1,,,,,,,,,,,,,,,
BA,Macquarie University,North Ryde,Bachelor of Business Analytics,Business & Commerce & Finance & Accounting,,"7,950",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-business-analytics,English,I,"The world is undergoing a data revolution each day where 2.5 quintillion bytes of data are created or replicated. Big data has become big business, and individuals with the ability to extract value from these data sources are in demand across the globe.
Developed and refined in consultation with industry so content is always current and relevant, this multidisciplinary degree equips you with the knowledge and skills to help businesses better understand their consumers, innovate, reduce their risk and maximise opportunities.","PROFESSIONS: Administration manager. Business analyst. Communications manager. General manager. Human resources manager. Management consultant. Marketing consultant. Office manager. Operations manager. Public sector manager. Recruitment and staff development consultant. Sales managerEMPLOYERS: Banking and financial institutions. Consulting companies, eg, PwC, Deloitte, EY and KPMG. Fast moving consumer goods organisations. Large multinational enterprises. Marketing and public relations organisations. Merchant banker. Mid-tier accounting firms and small-to-medium enterprises. Recruitment agencies. Software development companies. Superannuation and insurance firms. Telecommunications companies, eg, Optus, Telstra",Australia,No,Yes,No,Yes,No,,Information Systems and Business Processes,Fundamentals of Business Analytics,Demographic Fundamentals,"Quantitative Methods in Economics, Business and Finance",Fundamentals of Computer Science,"Graphics, Multivariate Methods and Data Mining",Introduction to Computer Programming,Information Systems for Management,Business Statistics,Statistical Data Analysis,Data Science,Business Forecasting,Advanced Analytics Techniques,Accounting in Society,Applied Statistics,Introduction to Database Design and Management,Database Systems,Principles of Management,Business Analytics Project,Biological Basis of Behaviour,Financial Risk Management,Derivative Instruments,Introduction to Actuarial Studies,Actuarial Honours Thesis A,Quantitative Asset and Liability Modelling 1,,,,,,,,,,,,,,,
BA,Macquarie University,North Ryde,Bachelor of Chiropractic Science,Science and Health Science,,"7,950",AUD,Years,3,Years,Yes,Yes,ATAR,80,IELTS,6.5,https://courses.mq.edu.au/2021/domestic/undergraduate/bachelor-of-chiropractic-science,English,I,"Chiropractors have the privilege of being able to positively impact people’s lives through the provision of natural and non-invasive healthcare methods. They have a deep understanding of the body’s structures and how each interacts to affect our health. Using spinal adjustments, manipulation and other physical means to improve neuromusculoskeletal function, chiropractors can help us live healthy and active lives.
This degree – the longest-running of its kind in Australia – will prepare you for a rewarding career in one of the largest primary health professions. When you combine it with the Master of Chiropractic, you’ll be equipped to work in private practice, chiropractic sports medicine, allied health areas, health insurance assessment, medico-legal advising, work health and safety, rehabilitation and research.",PROFESSIONS: Chiropractor. Allied health worker. Healthcare adviser. Integrated care professional. Rehabilitation service provider. Researcher. Sports injury specialistEMPLOYERS: Chiropractic clinics. Aged care facilities. Government health and sporting agencies. Health clubs. Hospitals. Sport and recreation agencies. Sporting clubs and teams,Australia,No,Yes,No,Yes,No,,Chiropractic Sciences 3,Chiropractic Sciences 4,Chiropractic Science 5,"Radiographic Physics, Practice and Protection",Introduction to Psychology I,"Anatomy of Head, Neck and Trunk",Illness and Healing,Neurophysiology,Principles in Health and Disease 3,Clinical Epidemiology and Biostatistics for Health Sciences,Principles in Health and Disease 1,Foundations of Chemical and Biomolecular Sciences 1,Chiropractic Science 6,Chiropractic Sciences 1,Physics for Life Sciences,Principles in Health and Disease 2,Biochemistry and Cell Biology,Anatomy of Limbs and Back,Neuroanatomy,Introduction to Anatomy,Chiropractic Sciences 2,Systems Physiology,Foundations of Clinical Practice,Human Biology,Quantitative Asset and Liability Modelling 1,,,,,,,,,,,,,,,
