Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DPG,Macquarie University,North Ryde,Doctor of Medicine,Medical and Nursing,"76,000",,AUD,Years,4,Years,Yes,No,,,IELTS,7,https://courses.mq.edu.au/2021/international/postgraduate/doctor-of-medicine,English,I,"In an increasingly global world, the demand for medical professionals who are patient-centred, safety-focused and culturally responsive, and who are equipped to work within digital health systems has never been greater. 
This four-year graduate-entry medicine program integrates applied medical sciences with clinical sciences, professionalism, research and cultural responsiveness. You’ll study at MQ Health – Australia’s first university-led integrated health campus – where learning is fully integrated with outstanding patient-centred clinical care, and high-quality health and medical research. Structured Australian and international clinical experiences are embedded throughout the program, giving you the opportunity to experience different health systems, cultures and clinical presentations.
Discover more about the Macquarie MD program, read student testimonials and learn about admissions requirements at mq.edu.au/study/medicine",PROFESSIONS: Consultant. Medical doctor. Medical educator. Medical researcherEMPLOYERS: Hospitals. Overseas aid organisations. Private practice. Universities,Australia,No,Yes,No,Yes,No,
DPG,Macquarie University,North Ryde,Doctor of Physiotherapy,Computer Science & Information Technology,"52,400",,AUD,Years,3,Years,Yes,No,,,IELTS,7,https://courses.mq.edu.au/2021/international/postgraduate/doctor-of-physiotherapy,English,I,"Ageing, disease and environmental factors – as well as occupational and sporting hazards – can all take a toll on our bodies, impacting our physical function and limiting our ability to participate in life’s activities as we wish. Physiotherapists work with people of all ages to prevent and treat a wide range of health conditions, including musculoskeletal, neurological and cardiorespiratory conditions, in order to maximise quality of life.
This degree – the only three-year masters-level professional-entry physiotherapy degree in New South Wales – will develop your skills so that when you graduate you’re able to work with individuals across the lifespan to optimise their physical function. You’ll learn to effectively assess, diagnose and treat individuals with a wide range of health conditions. You’ll also learn how to encourage people to change their behavior and self-manage their conditions to maximise their physical health. This degree is accredited with the Australian Physiotherapy Council and approved by the Physiotherapy Board of Australia, meaning that as a graduate, you’re eligible to apply for registration with the Australian Health Practitioner Regulation Agency (AHPRA).","PROFESSIONS: EMPLOYERS: Aged care. Community care. Private practice. Public and private hospitals. Research and advisory positions for industry and government. Sporting teams. Work, health and safety within a range of organisations",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,Off-Shore,Global Master of Business Administration,Business & Commerce & Finance & Accounting,"22,000",,AUD,Years,1,Year,Yes,Yes,,,IELTS,7,https://courses.mq.edu.au/2021/international/postgraduate/global-master-of-business-administration,English,I,"The workplace of the future is complex and full of potential. Fast-paced and disruptive changes affect all industries and managers are required – more than ever – to develop futureproof skills that help them and their high-performance teams to navigate these challenges. 
The Global MBA – a first-of-its-kind online MBA – is built around six future-focused capabilities: Adapting, analysing, influencing, leading, problem solving and strategising. The degree is designed to meet the changing needs of the labour market where increasing tech-driven disruptions re-define and create new opportunities for work. Given the importance of lifelong learning in the future of work narrative, the Global MBA is modelled on a stackable concept where you determine what you’ll learn, how much you’ll learn, and when you’ll learn. This degree’s distinct positioning – including the future-focused capabilities curriculum design, the stackable learning model and affordable pricing – means transformational learning is now accessible for many, not just the few.",PROFESSIONS: Account director. Advisory and innovation consultant. Business consultant. CEO. Entrepreneur. Finance manager. General manager. Industry specialist manager. International marketing consultant. Operations manager. Production team manager. Sales managerEMPLOYERS: Accounting and consulting firms. Business analyst firms. Financial institutions. Government organisations. International agencies. Large and small businesses. Marketing and public relations firms. Merchant banker. Recruitment agencies. Software development companies,Australia,No,Yes,No,Yes,No,
DPG,Macquarie University,North Ryde,Juris Doctor,Law,"40,000",,AUD,Years,3,Years,Yes,No,,,IELTS,7,https://courses.mq.edu.au/2021/international/postgraduate/juris-doctor,English,I,"The law forms the foundation on which civilised societies are based. In fact, it underpins many of society’s social, economic and scientific challenges. Having a knowledge of law will allow you to expertly respond to a range of individual, corporate, national and global problems.
This degree will prepare you for a range of careers in Australia and globally, as well as satisfy the educational requirements to become a legal practitioner. It continues Macquarie’s tradition of providing interdisciplinary and contextual perspectives on the study of law.",PROFESSIONS: Barrister. Community advocate. Diplomat. In-house counsel. Lobbyist. Policy officer. Politician. SolicitorEMPLOYERS: Community legal centres. Consultancies. Consumer goods manufacturers. Diplomatic service. Education. Financial institutions. Health services. In-house legal practice. Media organisations. NGO advocacy bodies. Pharmaceutical businesses. Professional service organisations. Public service. Regulatory bodies. Start-ups. Technology and telecommunications companies. Trade unions,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Accounting,Business & Commerce & Finance & Accounting,"39,200",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-accounting,English,I,"Qualified professional accountants are critical to the success of all businesses and organisations. With specialised knowledge, professional accountants can apply their skills broadly in the increasingly dynamic and global accounting environment. 
This prestigious degree will enable you to obtain a university qualification that satisfies the accreditation requirements to commence the professional papers offered by CPA Australia, Chartered Accountants Australia and New Zealand (CA ANZ) and the Association of Chartered Certified Accountants (ACCA). In addition, you’ll complete advanced units in financial and management accounting, management control systems, information systems, business ethics and taxation to prepare you for a wide range of accounting roles.",PROFESSIONS: Accountant. Auditor. Banker. Business analyst. Consultant. Forensic accountant. Insurance specialist. Risk management specialist. Stockbroker. Superannuation adviser. Taxation specialistEMPLOYERS: Banks and financial institutions. Big 4 accounting firms. Commercial organisations. Consulting firms. Government departments. High schools. Mid-tier accounting firms and small-to-medium enterprises. Superannuation and insurance firms. Tertiary education sector,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Actuarial Practice,Business & Commerce & Finance & Accounting,"39,200",,AUD,Years,2,Years,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-actuarial-practice,English,I,"Actuaries specialise in applying mathematical, statistical and financial analysis to business, finance and insurance. Actuaries advise government, financial institutions and other organisations about financial management, risk management, product design and complex transactions. They are key to helping financial institutions and other businesses all over the world to prosper.
In this professionally accredited course, you'll learn how to apply mathematical, statistical, economic and financial analysis to a range of practical problems in long-term risk management, finance and insurance.","PROFESSIONS: Completion of this degree can lead to well paid and rewarding career opportunities in the insurance, financial services and banking industries, and in the quantitative modelling of consumer behaviour and data analytics.. The actuarial qualification has international recognition and many of our graduates work in international financial centres such as London, New York, Singapore and Shanghai.EMPLOYERS: Accounting firms. Actuarial and superannuation consulting firms. Banks and funds management. General insurance companies. Health insurance companies. Life insurance companies. Management consulting firms. Public sector. Stockbrokers",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Applied Economics,Business & Commerce & Finance & Accounting,"39,200",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-applied-economics,English,I,"Economic decision making by governments, businesses and individuals can significantly impact our lives, behaviour and wellbeing. Applied economic analysis has become an increasingly important field, requiring people who are skilled at analysing and interpreting economic data to inform decisions about everything from healthcare to financial policy, economic growth and development, natural resources and the environment, the organisation and structure of markets. 
This course has been carefully designed to provide students with state-of-the-art applied economics knowledge and skills that can be applied to these areas and many more. This innovative course also has two distinctive features: the importance placed on context and the application of theory to the solution of real world problems; and the opportunity for you to undertake interdisciplinary studies, which recognises that applied economists work in increasingly varied and diverse fields that cross traditional discipline boundaries.","PROFESSIONS: Completion of this degree can lead to well paid and rewarding career opportunities in the insurance, financial services and banking industries, and in the quantitative modelling of consumer behaviour and data analytics.. The actuarial qualification has international recognition and many of our graduates work in international financial centres such as London, New York, Singapore and Shanghai.EMPLOYERS: Accounting firms. Actuarial and superannuation consulting firms. Banks and funds management. General insurance companies. Health insurance companies. Life insurance companies. Management consulting firms. Public sector. Stockbrokers",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,City,Master of Applied Finance,Business & Commerce & Finance & Accounting,"42,800",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-applied-finance,English,I,"On the back of the global financial crisis, finance skills have never been more in demand. Being able to navigate through the complex world of markets, banks and regulatory frameworks is highly desirable in today's economy.
 
This degree is recognised as the banking and finance industry’s premier graduate degree. With the skills you’ll gain from this degree, including the ability to help organisations create value, invest wisely and manage risk, you’ll find yourself with an enviable skill set that will allow you to further your career in the global financial environment.","PROFESSIONS: Completion of this degree can lead to well paid and rewarding career opportunities in the insurance, financial services and banking industries, and in the quantitative modelling of consumer behaviour and data analytics.. The actuarial qualification has international recognition and many of our graduates work in international financial centres such as London, New York, Singapore and Shanghai.EMPLOYERS: Accounting firms. Actuarial and superannuation consulting firms. Banks and funds management. General insurance companies. Health insurance companies. Life insurance companies. Management consulting firms. Public sector. Stockbrokers",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,City,Master of Applied Finance (Advanced),Business & Commerce & Finance & Accounting,"42,800",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-applied-finance-advanced,English,I,"On the back of the global financial crisis, finance skills have never been more in demand. Being able to navigate through the complex world of markets, banks and regulatory frameworks is highly desirable in today's economy.
This course is recognised as the banking and finance industry's premier graduate degree. With the skills you'll gain   the ability to help organisations create value, invest wisely and manage risk   you'll find yourself with an envious skillset that will allow you to progress your career in the global financial environment.","PROFESSIONS: Completion of this degree can lead to well paid and rewarding career opportunities in the insurance, financial services and banking industries, and in the quantitative modelling of consumer behaviour and data analytics.. The actuarial qualification has international recognition and many of our graduates work in international financial centres such as London, New York, Singapore and Shanghai.EMPLOYERS: Accounting firms. Actuarial and superannuation consulting firms. Banks and funds management. General insurance companies. Health insurance companies. Life insurance companies. Management consulting firms. Public sector. Stockbrokers",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,"North Ryde, Off-Shore",Master of Applied Linguistics and TESOL,Humanities and Social Science,"33,600",,AUD,Years,1,Year,Yes,Yes,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-applied-linguistics-and-tesol,English,I,"In today's globalised world, the cultural and linguistic composition of communities is more diverse than ever before. The ability to express ourselves, to communicate with others and to decipher the multitude of messages we receive every day from both within our own culture and across others is fundamental to our existence in today's modern society.
In our ever-shrinking and interconnected world, the ability to teach English to speakers of other languages is a highly desirable skill. And, the ability to teach with both cultural and linguistic sensitivity is even more valuable. With its dual focus, this course will provide you with an understanding of the complex relationship between language use and context, as well as a strong theoretical and practical foundation in the field of teaching English to speakers of other languages (TESOL).","PROFESSIONS: Completion of this degree can lead to well paid and rewarding career opportunities in the insurance, financial services and banking industries, and in the quantitative modelling of consumer behaviour and data analytics.. The actuarial qualification has international recognition and many of our graduates work in international financial centres such as London, New York, Singapore and Shanghai.EMPLOYERS: Accounting firms. Actuarial and superannuation consulting firms. Banks and funds management. General insurance companies. Health insurance companies. Life insurance companies. Management consulting firms. Public sector. Stockbrokers",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Applied Statistics,Business & Commerce & Finance & Accounting,"40,800",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-applied-statistics,English,I,"As the world becomes increasingly dependent on analysing and interpreting data, the demand for highly trained statisticians continues to grow. Those with expert knowledge and skills in applied statistics will be able to advance their career in this increasingly important field, particularly in organisations such as research institutes, insurance companies, financial institutions, medical institutions, government departments and industries.
This degree concentrates on specialised areas of study, such as biostatistics, data mining, epidemiological methods, generalised linear models, marketing research, time series and stochastic finance. It has a strong focus on the application of contemporary statistical methods and the use of the latest computational techniques. The development of relevant computing skills also forms an integral part of this degree.","PROFESSIONS: Business analyst. Data scientist. Finance analyst. Marketing analyst. Quality analyst. Quantitative analyst. Risk analyst. Senior statistician. Statistical modellerEMPLOYERS: Banks and financial institutions. Business analyst firms. Consulting firms. Google and other tech organisations. Government agencies. Hospitals. Insurance companies. Market research organisations. Medical companies. Sporting agencies. Statistical analysis companies, eg, Australian Bureau of Statistics",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Banking and Finance,Business & Commerce & Finance & Accounting,"39,200",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-banking-and-finance,English,I,"It's an indisputable fact that money makes the world go round. Consequently, some of the most important, exciting and rewarding jobs can be found in the banking and finance sector. A career in this dynamic field has the potential not only to take you around the world, but also to make a considerable impact on people across the globe.
This highly practical course   designed to meet employer needs   will develop your theoretical knowledge alongside your practical capabilities.","PROFESSIONS: entry-level positions at financial institutions. wealth management and financial advising. stockbroking and investment advising. risk management. corporate finance. credit risk assessment. insurance. superannuationEMPLOYERS: Australian, overseas and international financial institutions. wealth management and financial advising service providers. stockbroking and investment companies. corporate financefirms. superannuation and insurance industry",Australia,No,Yes,No,Yes,No,
PG,Macquarie University,North Ryde,Master of Biotechnology,Computer Science & Information Technology,"40,800",,AUD,Years,1,Year,Yes,No,,,IELTS,6.5,https://courses.mq.edu.au/2021/international/postgraduate/master-of-biotechnology,English,I,"With the world population rapidly growing, the need for products and technologies that can produce sustainable food sources, create cleaner fuels, reduce our environmental footprint and combat disease also grows. Biotechnology, which has been employed for thousands of years in agriculture, food production and medicine, utilises cellular and biomolecular processes to develop such products and technologies.
This degree will equip you with a core competency in advanced molecular biotechnology approaches so that you’re primed for a career that is vital to improving our lives and the health of our planet.",PROFESSIONS: Biochemist. Biological/clinical technician. Biomanufacturing specialist. Business development manager. Clinical researcher. Medical scientist. Microbiologist. Process development scientist. Research and development managerEMPLOYERS: Agricultural biotechnology companies. Consultancies. Government agencies. Hospitals. Medical biotech companies. Pharmaceutical companies. Scientific research organisations,Australia,No,Yes,No,Yes,No,
PG,Macquarie University,"North Ryde, Hong Kong",Master of Business Administration,Business & Commerce & Finance & Accounting,"40,000",,AUD,Years,2,Years,Yes,No,,,IELTS,7,https://courses.mq.edu.au/2021/international/postgraduate/master-of-business-administration,English,I,"In today's ever-evolving global economy the best managers are agile and innovative, they're great communicators and collaborators, they have a global mindset and create sustainable value, and they empower those around them. Our MBA – ranked number one in Australia and in the top 50 worldwide – will prepare you to be such a manager.
Designed to challenge and transform you, this degree will extend your knowledge, skills and experience through a practical curriculum that bridges the gap between theory and real-world application. Opportunities exist to participate in global study tours, exchanges with leading international schools, and living case studies with Australian and international organisations.",PROFESSIONS: Biochemist. Biological/clinical technician. Biomanufacturing specialist. Business development manager. Clinical researcher. Medical scientist. Microbiologist. Process development scientist. Research and development managerEMPLOYERS: Agricultural biotechnology companies. Consultancies. Government agencies. Hospitals. Medical biotech companies. Pharmaceutical companies. Scientific research organisations,Australia,No,Yes,No,Yes,No,
