Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Subject_or_Unit_1,Subject_Objective_1,Subject_Description_1,Subject_or_Unit_2,Subject_Objective_2,Subject_Description_2,Subject_or_Unit_3,Subject_Objective_3,Subject_Description_3,Subject_or_Unit_4,Subject_Objective_4,Subject_Description_4,Subject_or_Unit_5,Subject_Objective_5,Subject_Description_5,Subject_or_Unit_6,Subject_Objective_6,Subject_Description_6,Subject_or_Unit_7,Subject_Objective_7,Subject_Description_7,Subject_or_Unit_8,Subject_Objective_8,Subject_Description_8,Subject_or_Unit_9,Subject_Objective_9,Subject_Description_9,Subject_or_Unit_10,Subject_Objective_10,Subject_Description_10,Subject_or_Unit_11,Subject_Objective_11,Subject_Description_11,Subject_or_Unit_12,Subject_Objective_12,Subject_Description_12,Subject_or_Unit_13,Subject_Objective_13,Subject_Description_13,Subject_or_Unit_14,Subject_Objective_14,Subject_Description_14,Subject_or_Unit_15,Subject_Objective_15,Subject_Description_15,Subject_or_Unit_16,Subject_Objective_16,Subject_Description_16,Subject_or_Unit_17,Subject_Objective_17,Subject_Description_17,Subject_or_Unit_18,Subject_Objective_18,Subject_Description_18,Subject_or_Unit_19,Subject_Objective_19,Subject_Description_19,Subject_or_Unit_20,Subject_Objective_20,Subject_Description_20,Subject_or_Unit_21,Subject_Objective_21,Subject_Description_21,Subject_or_Unit_22,Subject_Objective_22,Subject_Description_22,Subject_or_Unit_23,Subject_Objective_23,Subject_Description_23,Subject_or_Unit_24,Subject_Objective_24,Subject_Description_24,Subject_or_Unit_25,Subject_Objective_25,Subject_Description_25,Subject_or_Unit_26,Subject_Objective_26,Subject_Description_26,Subject_or_Unit_27,Subject_Objective_27,Subject_Description_27,Subject_or_Unit_28,Subject_Objective_28,Subject_Description_28,Subject_or_Unit_29,Subject_Objective_29,Subject_Description_29,Subject_or_Unit_30,Subject_Objective_30,Subject_Description_30,Subject_or_Unit_31,Subject_Objective_31,Subject_Description_31,Subject_or_Unit_32,Subject_Objective_32,Subject_Description_32,Subject_or_Unit_33,Subject_Objective_33,Subject_Description_33,Subject_or_Unit_34,Subject_Objective_34,Subject_Description_34,Subject_or_Unit_35,Subject_Objective_35,Subject_Description_35,Subject_or_Unit_36,Subject_Objective_36,Subject_Description_36,Subject_or_Unit_37,Subject_Objective_37,Subject_Description_37,Subject_or_Unit_38,Subject_Objective_38,Subject_Description_38,Subject_or_Unit_39,Subject_Objective_39,Subject_Description_39,Subject_or_Unit_40,Subject_Objective_40,Subject_Description_40
BA,Notre Dame University,Sydney,Undergraduate Certificate in Arts,Creative Arts & Design & Music,29900,16720,AUD,Years,6,Months,Yes,Yes,,,,,,,https://www.notredame.edu.au/programs/sydney/school-of-arts-and-sciences/undergraduate/ug-arts,English,A,"School of Arts & Sciences
The Undergraduate Certificate in Arts offers students the opportunity to experience University-level studies in the Humanities and Social Sciences. Students will learn how to research and analyse critical issues, and develop skills in presenting information and arguments.","School of Arts & Sciences
The Undergraduate Certificate in Arts offers students the opportunity to experience University-level studies in the Humanities and Social Sciences. Students will learn how to research and analyse critical issues, and develop skills in presenting information and arguments. | ",Australia,Yes,Yes,No,Yes,No,Program Code 2009 | ,Advertising,,,Applied Psychology,,,Archaeology,,,Behavioural Science,,,Counselling,,,English Literature,,,Film and Screen Production,,,History,,,Liberal Arts,,,Journalism,,,Mathematics,,,Politics and International Relations,,,Social Justice,,,Sociology,,,Philosophy,,,Photography,,,Theatre Studies,,,Theology,,,Writing,,,BUSN1000 Economics,,,BUSN1030 Quantitative Methods for Business,,,BUSN1050 Business Communication,,,BUSN1060 Business Information Technology,,,BUSN1110 Accounting for Business,,,BUSN1220 Principles of Marketing,,,BUSN1600 Principles of Management,,,BUSN2400 Business Law,,,ENGL1020 Texts and Tradition,,,ENGL1040 World Literatures Today,,,"ARTS1000 Academic Writing, Communication and Research",,,COMM1420 Introduction to Journalism,,,COMM1060 Media and Society,,,English Literature,,,Writing,,,,,,,,,,,,,,,,,,,,
BA,Notre Dame University,Sydney,Undergraduate Certificate in Counselling,Humanities and Social Science,29900,16720,AUD,Years,6,Months,Yes,Yes,,,,,,,https://www.notredame.edu.au/programs/sydney/school-of-arts-and-sciences/undergraduate/ug-counselling,English,A,"School of Arts & Sciences
The Undergraduate Certificate in Counselling offers students the opportunity to experience University-level study in fields of counselling and development psychology. Students learn key approaches to counselling practice and develop skills in listening, critical reflection and structuring an interview session.","School of Arts & Sciences
The Undergraduate Certificate in Counselling offers students the opportunity to experience University-level study in fields of counselling and development psychology. Students learn key approaches to counselling practice and develop skills in listening, critical reflection and structuring an interview session. | ",Australia,Yes,Yes,No,Yes,No,Program Code 3543 | ,COUNS1003 Theories and Approaches to Counselling,,,COUNS1004 Counselling Skills Training 1,,,BESC1000 Developmental Psychology or PSYC2170 Developmental Psychology,,,or,,,COUNS2002 Counselling Skills Training 2,,,COUNS2004 Counselling and Children or COUN2150 Counselling Children and Adolescents,,,COUNS2005 Grief and Loss Counselling,,,COUNS2006 Counselling Adolescents or COUN2150 Counselling Children and Adolescents,,,COUN2060 Cross-cultural Counselling,,,COUN2080 Counselling in the Area of Alcohol and Other Drugs or COUN2007 Trauma and Addiction Counselling,,,COUN2110 Trauma Counselling or COUN2007 Trauma and Addiction Counselling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Notre Dame University,Sydney,Undergraduate Certificate in Environmental Studies,Creative Arts & Design & Music,29900,16720,AUD,Years,6,Months,Yes,Yes,,,,,,,https://www.notredame.edu.au/programs/sydney/school-of-arts-and-sciences/undergraduate/ug-environmental-studies,English,A,"School of Arts & Sciences
The Undergraduate Certificate in Environmental Studies offers students the opportunity to experience University-level studies in those fields that influence our understanding and management of the environment. Students will learn how to research and analyse critical issues, and will develop skills in presenting information and arguments.","School of Arts & Sciences
The Undergraduate Certificate in Environmental Studies offers students the opportunity to experience University-level studies in those fields that influence our understanding and management of the environment. Students will learn how to research and analyse critical issues, and will develop skills in presenting information and arguments. | ",Australia,Yes,No,No,No,No,Program Code 3154 | ,SCIE1150 Introduction to Biological Sciences,,,"GEOG1110 Physical Geography: Climates, Geology and Soils",,,BIOL2260 Plant Diversity,,,BIOL3000 Adaptations for Survival in the Australian Environment,,,BIOL3250 Aquatic Science,,,ENVR2330 Australian Ecology: from Theory to Practice,,,ENVR3310 Environmental Impact Assessment and Planning,,,ENVR3520 Natural Resource Management,,,GEOG3110 Coastal Processes and Planning,,,"SCIE1001 Fundamentals of Science, Research and Communication",,,SCIE3290 Geographic Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Notre Dame University,Sydney,Undergraduate Certificate in Science,Science and Health Science,29900,16720,AUD,Years,6,Months,Yes,Yes,,,,,,,https://www.notredame.edu.au/programs/sydney/school-of-arts-and-sciences/undergraduate/ug-science,English,A,"School of Arts & Sciences
The Undergraduate Certificate in Science offers students the opportunity to experience University-level studies in the Sciences. Students learn and develop skills in scientific investigation, critical thinking and problem-solving, as well as presenting information and arguments.","School of Arts & Sciences
The Undergraduate Certificate in Science offers students the opportunity to experience University-level studies in the Sciences. Students learn and develop skills in scientific investigation, critical thinking and problem-solving, as well as presenting information and arguments. | ",Australia,Yes,No,No,No,No,Program Code 2555 | ,"SCIE1001 Fundamentals of Science, Research and Communication",,,SCIE1000 Introduction to Chemistry,,,SCIE1150 Introduction to Biological Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Notre Dame University,Sydney,Undergraduate Certificate in Mathematics​,Business & Commerce & Finance & Accounting,29900,16720,AUD,Years,6,Months,Yes,Yes,,,,,,,https://www.notredame.edu.au/programs/sydney/school-of-arts-and-sciences/undergraduate/ug-mathematics,English,A,"School of Arts & Sciences
The Undergraduate Certificate in Mathematics offers students the opportunity to experience University-level studies in fields such as statistics, algebra, geometry, trigonometry and calculus. Students develop skills in problem-solving and mathematical processes.","School of Arts & Sciences
The Undergraduate Certificate in Mathematics offers students the opportunity to experience University-level studies in fields such as statistics, algebra, geometry, trigonometry and calculus. Students develop skills in problem-solving and mathematical processes. | ",Australia,Yes,No,No,No,No,Program Code 2572 | ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Notre Dame University,Fremantle,Bachelor of Arts,Creative Arts & Design & Music,28600,12800,AUD,Years,3,Years,Yes,Yes,ATAR,70,STAT,135,IB,24,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts,English,A,"School of Arts & Sciences, Fremantle Campus
Flexibility is the hallmark of our Bachelor of Arts degree. Our range of subject areas stretches from traditional humanities disciplines such as History, English Literature and Politics & International Relations to more industry-focused disciplines including Archaeology, Journalism, Theatre Studies and Environmental Management. You can design your degree around a single Major, a Double Major or a Major and Minor. Alternatively, you can also combine your Arts degree with another degree from within the School of Arts & Sciences or from another School to complete a double degree."," | School of Arts & Sciences, Fremantle Campus
Flexibility is the hallmark of our Bachelor of Arts degree. Our range of subject areas stretches from traditional humanities disciplines such as History, English Literature and Politics & International Relations to more industry-focused disciplines including Archaeology, Journalism, Theatre Studies and Environmental Management. You can design your degree around a single Major, a Double Major or a Major and Minor. Alternatively, you can also combine your Arts degree with another degree from within the School of Arts & Sciences or from another School to complete a double degree. | ",Australia,No,Yes,No,Yes,No,"Program Code 3009, CRICOS Code 015324A | Please note: The availability of these courses and teaching staff is indicative only and may be subject to change. |  | ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minor,Notre Dame University,Fremantle,Screen Arts (Major & Minor),Creative Arts & Design & Music,30500,20980,AUD,Years,3,Years,Yes,Yes,ATAR,70,STAT,135,IB,24,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-major-screen-arts,English,A,"School of Arts & Sciences, Fremantle Campus
Our world has seen an explosion in screen content and the use of screen-based media. Notre Dame’s Screen Arts Major creates graduates with rich communication and production skills to work with screen technologies in any profession.  Integrating film, performance, photography, and multimedia, this dynamic program teaches you introductory to advanced screen practices. Our internship program ensures that you have opportunities for industry and real-world experience before you graduate.
Screen Arts is available as a first Major in the following degrees:
Bachelor of Arts
Bachelor of Communications and Media"," | School of Arts & Sciences, Fremantle Campus
Our world has seen an explosion in screen content and the use of screen-based media. Notre Dame’s Screen Arts Major creates graduates with rich communication and production skills to work with screen technologies in any profession.  Integrating film, performance, photography, and multimedia, this dynamic program teaches you introductory to advanced screen practices. Our internship program ensures that you have opportunities for industry and real-world experience before you graduate.
Screen Arts is available as a first Major in the following degrees:
Bachelor of Arts
Bachelor of Communications and Media | ",Australia,No,Yes,No,Yes,No,"Program Code 3009, CRICOS Code 015324A | Please note: The availability of these courses and teaching staff is indicative only and may be subject to change. |  | ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Notre Dame University,Fremantle,Photomedia (Specialisation),Mass Communication & Media,,,AUD,Years,3,Years,Yes,Yes,ATAR,70,STAT,135,IB,24,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/photomedia-specialisation,English,A,"School of Arts & Sciences, Fremantle Campus
The Photomedia Specialisation integrates photography and media post-production skills. This short qualification is an excellent addition to your studies in Media & Communications, particularly our Screen Arts and Journalism Majors. Combining theory and practice, our dymanic Photomedia courses will help you develop contemporary media skills to suit a wide range of professions.
The Photomedia Specialisation is available in the following degrees:
Bachelor of Arts
Bachelor of Arts (Architecture)
Bachelor of Behavioural Science
Bachelor of Communications & Media
Bachelor of Science"," | School of Arts & Sciences, Fremantle Campus
The Photomedia Specialisation integrates photography and media post-production skills. This short qualification is an excellent addition to your studies in Media & Communications, particularly our Screen Arts and Journalism Majors. Combining theory and practice, our dymanic Photomedia courses will help you develop contemporary media skills to suit a wide range of professions.
The Photomedia Specialisation is available in the following degrees:
Bachelor of Arts
Bachelor of Arts (Architecture)
Bachelor of Behavioural Science
Bachelor of Communications & Media
Bachelor of Science | ",Australia,No,Yes,No,Yes,No,"Program Code 3009, CRICOS Code 015324A | Please note: The availability of these courses and teaching staff is indicative only and may be subject to change. |  | ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,Notre Dame University,Sydney,Bachelor of Arts,Creative Arts & Design & Music,28600,12800,AUD,Years,3,Years,Yes,Yes,ATAR,,STAT,,IB,24,https://www.notredame.edu.au/programs/sydney/school-of-arts-and-sciences/undergraduate/bachelor-of-arts,English,A,"School of Arts & Sciences, Sydney Campus
Offering you the ability to Major in areas as diverse as history, social justice or English Literature, a Bachelor of Arts from The University of Notre Dame Australia provides a trusted foundation in the humanities and opens up a wide range of career options for graduates. You can also take a Second Major from within the School of Business depending on your interests."," | School of Arts & Sciences, Sydney Campus
Offering you the ability to Major in areas as diverse as history, social justice or English Literature, a Bachelor of Arts from The University of Notre Dame Australia provides a trusted foundation in the humanities and opens up a wide range of career options for graduates. You can also take a Second Major from within the School of Business depending on your interests. | ",Australia,No,Yes,No,Yes,No,"Program Code 3009, CRICOS Code 015324A | Please note: The availability of these courses and teaching staff is indicative only and may be subject to change. | Academic requirements for this program are outlined below.  In addition, to be eligible for admission, all applicants need to satisfy minimum requirements outlined at admission requirements. These include those relating to age and English Language Proficiency.  We also consider your application more broadly – your non-academic achievements (such as any previous leadership roles, volunteering, work, church and/or community involvement) as well as personal qualities - your aspirations and interests and your capacity to complete your chosen program.Applicants with recent Secondary EducationHSC Performance Band Results with a Band 4 in English, a minimum average of Bands 4s and an overall minimum average HSC mark of 70% in HSC Category A Courses (or Interstate equivalent). Applicants must be eligible for an ATAR or OP; orMinimum International Baccalaureate (IB) score of 24.Applicants with Higher Education StudyOther University Studies completed at undergraduate level or higher. A minimum number of 2 successfully completed subjects; orSuccessful completion of the Notre Dame Tertiary Pathway Program or of another Enabling Program at a level deemed sufficient by the University.Applicants who have successfully completed subjects at another University, which are relevant to the selected program of study, may be eligible for Advanced Standing.Applicants with Vocational Education and Training (VET) studyCompleted AQF Certificate IV or higher in a relevant discipline, from an accredited provider such as TAFE or a Registered Training Organisation (RTO)Applicants with Work and Life ExperienceApplicants with relevant work and life experience who left secondary education more than two years ago and have not undertaken VET or higher education study since then may seek admission on the basis of:Their experience. ‘Experience’ could include a combination of factors sufficient to demonstrate readiness for higher education such as Mature Age entry, relevant professional experience, community involvement or work experience. Applicants may have undertaken non-formal programs that have helped prepare them for tertiary education or are relevant to the proposed higher education field of study. Evidence must be provided as to the type and duration or employment (minimum of two years) in a relevant industry. The Special Tertiary Admissions Test (STAT) may be required.STAT – Scores of 150 in the Multiple Choice and Written English sections are required.Higher School Certificate (HSC) (or equivalent) results if these have been completed within the last 5 years. | ",CORE1001 Logos I,,,CORE1002 Logos II,,,CORE1003 Logos III,,,"ARTS1000 Academic Writing, Communication and Research",,,Advertising,,,Advertising,,,Applied Psychology,,,Applied Psychology,,,Chaplaincy Studies,,,Counselling,,,Counselling,,,English Literature,,,English Literature,,,Film and Screen Production,,,Film and Screen Production,,,History,,,History,,,Journalism,,,Journalism,,,Liberal Arts,,,Liberal Arts,,,Philosophy,,,Philosophy,,,Politics and International Relations,,,Politics and International Relations,,,Politics and Journalism,,,Politics and Journalism,,,Social Justice,,,Social Justice,,,Sociology,,,Sociology,,,Theatre Studies,,,Theatre Studies,,,Theology,,,Theology,,,Writing,,,Writing,,,Advertising,,,Applied Psychology,,,Business,,
BA,Notre Dame University,Fremantle,Bachelor of Arts (Architecture),Computer Science & Information Technology,28600,12800,AUD,Years,3,Years,Yes,Yes,,,,,,,https://www.notredame.edu.au/programs/fremantle/school-of-arts-and-sciences/undergraduate/bachelor-of-arts-architecture,English,A,"School of Arts & Sciences, Fremantle Campus
Architecture enhances people’s lives through the creation of meaningful human environments. Many key challenges of contemporary society - such as sustainability, housing affordability, ageing-in-place, city living and community building - often involve spatial issues. Architecture applies a holistic way of thinking and acting to combine creative design processes and technical skills with understandings of human, cultural and environmental issues. Your first step on this journey is the Bachelor of Arts (Architecture) program.
Why study this degree
In the three-year Bachelor of Arts (Architecture) degree you will learn to design architectural projects, big and small, for residential and public spaces in urban, suburban and other contexts. You’ll research historic and contemporary architecture, make precise drawings and diagrams, and use physical and three-dimensional digital models while developing your creative and critical thinking.
Our program combines theory classes with practical studios. In the theory classes you will analyse the world in which we live. You’ll apply this knowledge and skills in studios as you design built environments and speculate about future possibilities for human occupation and ecological repair.
You will develop your sense of ethical, social and environmental responsibility as you learn to understand diverse cultures and contexts, and apply building technology and environmental science knowledge to solve increasingly complex design scenarios.
Our holistic approach to education, including classes in ethics and philosophy, and the opportunity to study a Minor in a discipline complementary to architecture, will extend your learning beyond the traditional architectural curriculum and prepare you for a dynamic professional life. Popular Minors that work well with Architecture are Archaeology, History, Environmental Management and Photography. See the full list of Minors under Program summary below. The freedom to choose a Minor from a complementary discipline allows you to follow your personal or professional interests and increases your graduate employability opportunities.
Through this program you will be well placed to make a life-long contribution to the intellectual, cultural and civic life of communities.
The Bachelor of Arts (Architecture) program can be a pathway to further study in the Master of Architecture program, and provides a strong foundation to develop the technical and communication skills, professional values and ethical practice required by architecture."," | School of Arts & Sciences, Fremantle Campus
Architecture enhances people’s lives through the creation of meaningful human environments. Many key challenges of contemporary society - such as sustainability, housing affordability, ageing-in-place, city living and community building - often involve spatial issues. Architecture applies a holistic way of thinking and acting to combine creative design processes and technical skills with understandings of human, cultural and environmental issues. Your first step on this journey is the Bachelor of Arts (Architecture) program.
Why study this degree
In the three-year Bachelor of Arts (Architecture) degree you will learn to design architectural projects, big and small, for residential and public spaces in urban, suburban and other contexts. You’ll research historic and contemporary architecture, make precise drawings and diagrams, and use physical and three-dimensional digital models while developing your creative and critical thinking.
Our program combines theory classes with practical studios. In the theory classes you will analyse the world in which we live. You’ll apply this knowledge and skills in studios as you design built environments and speculate about future possibilities for human occupation and ecological repair.
You will develop your sense of ethical, social and environmental responsibility as you learn to understand diverse cultures and contexts, and apply building technology and environmental science knowledge to solve increasingly complex design scenarios.
Our holistic approach to education, including classes in ethics and philosophy, and the opportunity to study a Minor in a discipline complementary to architecture, will extend your learning beyond the traditional architectural curriculum and prepare you for a dynamic professional life. Popular Minors that work well with Architecture are Archaeology, History, Environmental Management and Photography. See the full list of Minors under Program summary below. The freedom to choose a Minor from a complementary discipline allows you to follow your personal or professional interests and increases your graduate employability opportunities.
Through this program you will be well placed to make a life-long contribution to the intellectual, cultural and civic life of communities.
The Bachelor of Arts (Architecture) program can be a pathway to further study in the Master of Architecture program, and provides a strong foundation to develop the technical and communication skills, professional values and ethical practice required by architecture. | ",Australia,No,Yes,No,Yes,No,Program Code 3570; Cricos Code 102262G | ,ARCH3003 Architectural Building Performance,,"ARCH3003 Architectural Building Performance
Pre-requisite: ARCH2003 Assembling Architecture ARCH2001 Deconstructing Architecture
This course critically examines the role of science in architecture. Students expand their scientific knowledge of architectural technology, climate responsive principles, environmental systems and the impact of building construction and occupation. The knowledge of performance of materials and systems and skills of analysis acquired in this course are integrated into a project through development in a technically rigourous and designerly manner.",ARCH1000 Principles and Strategies of Architecture,,"ARCH1000 Principles and Strategies of Architecture
This foundational course introduces the many ways of thinking about and practicing architectural design. Different architectural ideas, concepts, elements and language are explored in workshops. Students engage with design processes to develop an understanding of architectural typology, spatial hierarchy, building systems and response to context and site.",,,,Politics and International Relations,,,ARCH1003 Spatial Infrastructure Studio,,"ARCH1003 Spatial Infrastructure Studio
This foundational studio course invites students to explore the sensorial experience of architecture and understanding of place. Students are exposed to spatial conditions where major pieces of city infrastructure converge. The operations of this infrastructure are studied through three dimensional diagrammatic drawings and models, forming a basis for speculating about future possibilities for human occupation and ecological repair at very large and very small scales.",Marketing and Public Relations,,,Journalism,,,Social Justice,,,Behavioural Science,,,ARCH2001 Deconstructing Architecture,,"ARCH2001 Deconstructing Architecture
Pre-requisite: ARCH1000 Principles and Strategies of Architecture, ARCH1002 Analysing Architecture, ARCH1001 Vastness Studio, ARCH1003 Spatial Infrastructure Studio
In this course students critically engage with the architectural ideas and design intent of a moderately complex exemplar building. Spatial composition, material approach, construction and integration of building technologies are studied in workshops and seminars. Students develop an appreciation of the project’s design intent in the context of the architect’s body of work and cultural context. This occurs through the making of precise drawings, diagrams and physical and three-dimensional digital models.",ARCH3001 Research and Critique in Architecture,,"ARCH3001 Research and Critique in Architecture
Pre-requisite: ARCH1002 Analysing Architecture, ARCH1000 Principles and Strategies of Architecture, ARCH2000 Chambers, Rooms and Vessels Studio, ARCH2000 Modest Means Studio
In this course students explore the use of theory in architectural design and architectural critique. Focus is given to key contemporary philosophies and theories in the context of built environment research issues and lived experience.",ARCH3000 Locus Studio and Building Systems,,"ARCH3000 Locus Studio and Building Systems
Pre-requisite: 400 units of credit of prior learning, including the following courses : ARCH2000 Chambers, Rooms and Vessels Studio, ARCH2000 Modest Means Studio, ARCH2003 Assembling Architecture, ARCH2001 Deconstructing Architecture
This course is in two parts - studio and theory. Studio classes and lectures address both design processes and architectural technologies, culminating in the resolved design of a capstone public project. The Locus Studio considers architecture and landscape specific to its local setting. This involves the careful study of site, identifiable local constellations and mannerisms, deep-time site history and ecological repair.The theory component critically examines building systems, the role of the technology of building and the impact of the making of architecture on social, ecological and economic environments. The knowledge gained in structures, constructional systems, material properties and their intersections is integrated into a project through development in both a technical and designerly manner.",Business Studies,,,ARCH2003 Assembling Architecture,,"ARCH2003 Assembling Architecture
Pre-requisite: ARCH1000 Principles and Strategies of Architecture, ARCH1002 Analysing Architecture, ARCH1001 Vastness Studio, ARCH1003 Spatial Infrastructure Studio
Students strengthen their understanding of material, structure and construction through design development of an architectural project they have designed. Through workshops and seminars students gain the skills required to develop and communicate the technical resolution required to enhance an explicit design intent.",Archaeology,,,ARCH1001 Vastness Studio,,"ARCH1001 Vastness Studio
This foundational course investigates the manner in which space at a human scale is both conceived of and made. Ephemeral qualities within differing landscapes are used as a basis for site specific design responses. Iterative processes of physical modelling are used to test ideas and forms and analyse the effects. The use of photography and digital collage enables students to locate and represent their spatial propositions.",History,,,Philosophy,,,ARCH2002 Modest Means Studio,,"ARCH2002 Modest Means Studio
Pre-requisite: ARCH1000 Principles and Strategies of Architecture, ARCH1002 Analysing Architecture, ARCH1001 Vastness Studio, ARCH1003 Spatial Infrastructure Studio
In this course students critically examine the cultural, economic and environmental contexts of a given site for a public building. Students explore their professional ambition through modest means, developing their approach to the 'aesthetics of economy' . Students develop design ideas and strategies using their understanding of construction and material to produce a design response of presence, clarity and endurance.",ARCH3002 The Collective and Empathy Studio and Precedent Studies,,"ARCH3002 The Collective and Empathy Studio and Precedent Studies
Pre-requisite: 400 units of credit of prior learning, including the following courses: ARCH2000 Chambers, Rooms and Vessels Studio, ARCH2000 Modest Means Studio, ARCH1002 Analysing Architecture, ARCH1000 Principles and Strategies of Architecture  
This course is in two parts - studio and theory. Studio classes and lectures address both design processes and cultural understanding culminating in the detailed design of a complex capstone residential project. The Collective and Empathy Studio navigates the tension between large-scale residential projects, human dignity, societal inclusiveness and landcare on brownfield sites. The theory component of the course critically examines key contemporary and historic precedents to gain an understanding of cultural, historical and social shifts in trends within the built environment. The analysis of precedent studies builds on the framework developed previously in the program.",Environmental Management,,,ARCH1002 Analysing Architecture,,"ARCH1002 Analysing Architecture
This foundational theory course explores architecture as a continuum and its key theories and principles. In seminars and workshops, architectural precedents are studied alongside ethnographic and/or anthropological approaches to understand shifts in thinking, technologies and form across time.",English Literature,,,"ARCH2000 Chambers, Rooms and Vessels Studio",,"ARCH2000 Chambers, Rooms and Vessels Studio
Pre-requisite: ARCH1000 Principles and Strategies of Architecture, ARCH1002 Analysing Architecture, ARCH1001 Vastness Studio, ARCH1003 Spatial Infrastructure Studio
Students are introduced to a broad understanding of the architectures of the interior. Key precedents are studied to establish foundational spatial 'models' which intensify life within, through and beyond. In studio, students make idea-driven propositions at a large scale to work with volume, surface, matter, illumination and furnishing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
