Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
SHORT COURSES,The College of Law,Queensland,Practical Legal Training program: Part-time - Online - QLD,Humanities and Social Science,13910,9640,AUD,Course,214,Days,Yes,Yes,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-part-time-online-qld/c-24/c-78/p-20725,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID QP2101P_1 | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the part-time online option.  
Students undertaking this option will need to devote at least 15 -20 hours per week during the coursework component of the program.
This option suits students who are working/have other commitments and are looking to balance study at the same time.  
   "
SHORT COURSES,The College of Law,New South Wales,Practical Legal Training program: Full-time - Online - NSW,Humanities and Social Science,13910,9640,AUD,Course,116,Days,Yes,No,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-full-time-online-nsw/c-24/c-78/p-20823,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID NP2101F_1 | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the full-time online option.  
Students undertaking this option will need to devote 30 – 35 hours per week during the coursework component of the program. This option suits students who are looking for the quickest path to admission.  
We recommend that students working full-time do not undertake the full-time option. 
 "
SHORT COURSES,The College of Law,Australian Capital Territory,Practical Legal Training program: Full-time - Online - ACT,Humanities and Social Science,13910,9640,AUD,Course,116,Days,Yes,No,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-full-time-online-act/c-24/c-78/p-20910,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID NP2101F_RACT | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the part-time online option.  
Students undertaking this option will need to devote at least 15 -20 hours per week during the coursework component of the program.
This option suits students who are working/have other commitments and are looking to balance study at the same time.  
   "
SHORT COURSES,The College of Law,Australian Capital Territory,Practical Legal Training program: Part-time - Online - ACT,Humanities and Social Science,13910,9640,AUD,Course,214,Days,Yes,Yes,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-part-time-online-act/c-24/c-78/p-20911,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID NP2101P_RACT | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the part-time online option.  
Students undertaking this option will need to devote at least 15 -20 hours per week during the coursework component of the program.
This option suits students who are working/have other commitments and are looking to balance study at the same time.  
   "
SHORT COURSES,The College of Law,Queensland,Practical Legal Training program: Part-time - Online - QLD Regional,Humanities and Social Science,13910,9640,AUD,Course,221,Days,Yes,Yes,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-part-time-online-qld-regional/c-24/c-78/p-20731,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID QP2101P_R | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the part-time online option.
Students undertaking this option will need to devote at least 15 -20 hours per week during the coursework component of the program.
This option suits students who are working/have other commitments and are looking to balance study at the same time.  "
SHORT COURSES,The College of Law,Queensland,Practical Legal Training program: Full-time - Online - QLD Regional,Humanities and Social Science,13910,9640,AUD,Course,116,Days,Yes,No,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-full-time-online-qld-regional/c-24/c-78/p-20726,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID QP2101F_R | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the full-time online option.  
Students undertaking this option will need to devote 30 – 35 hours per week during the coursework component of the program. This option suits students who are looking for the quickest path to admission.  
We recommend that students working full-time do not undertake the full-time option. "
SHORT COURSES,The College of Law,New South Wales,Practical Legal Training program: Full-time - Online - NSW - Parramatta,Humanities and Social Science,13910,9640,AUD,Course,130,Days,Yes,No,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-full-time-online-nsw-parramatta/c-24/c-78/p-20824,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID NP2102F_RPAR | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the full-time online option.  
Students undertaking this option will need to devote 30 – 35 hours per week during the coursework component of the program. This option suits students who are looking for the quickest path to admission.  
We recommend that students working full-time do not undertake the full-time option. 
 "
SHORT COURSES,The College of Law,New South Wales,Practical Legal Training program: Part-time - Online - NSW - Parramatta,Humanities and Social Science,13910,9640,AUD,Course,214,Days,Yes,Yes,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-part-time-online-nsw-parramatta/c-24/c-78/p-20812,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID NP2102P_RPAR | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the part-time online option.  
Students undertaking this option will need to devote at least 15 -20 hours per week during the coursework component of the program.
This option suits students who are working/have other commitments and are looking to balance study at the same time.  
   "
SHORT COURSES,The College of Law,New South Wales,Practical Legal Training program: Part-time - Online - NSW,Humanities and Social Science,13910,9640,AUD,Course,214,Days,Yes,Yes,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-part-time-online-nsw/c-24/c-78/p-20814,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID NP2101P_1 | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the part-time online option.  
Students undertaking this option will need to devote at least 15 -20 hours per week during the coursework component of the program.
This option suits students who are working/have other commitments and are looking to balance study at the same time.  
   "
SHORT COURSES,The College of Law,New South Wales,Practical Legal Training program: Full-time - Online - NSW,Humanities and Social Science,13910,9640,AUD,Course,123,Days,Yes,No,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-full-time-online-nsw/c-24/c-78/p-20827,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID NP2102F_1 | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the full-time online option.  
Students undertaking this option will need to devote 30 – 35 hours per week during the coursework component of the program. This option suits students who are looking for the quickest path to admission.  
We recommend that students working full-time do not undertake the full-time option. 
 "
SHORT COURSES,The College of Law,Victoria,Practical Legal Training program: Full-time - Online - VIC,Humanities and Social Science,13910,9640,AUD,Course,109,Days,Yes,No,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-full-time-online-vic/c-24/c-78/p-20801,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID VP2101F_1 | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the full-time online option.  
Students undertaking this option will need to devote 30 – 35 hours per week during the coursework component of the program. This option suits students who are looking for the quickest path to admission.  
We recommend that students working full-time do not undertake the full-time option. 
 "
SHORT COURSES,The College of Law,Norther Territory,Practical Legal Training program: Full Time - Online NT,Humanities and Social Science,13910,9640,AUD,Course,116,Days,Yes,No,,,,,,,https://www.collaw.edu.au/programs/plt/practical-legal-training-program-full-time-online-nt/c-24/c-78/p-20996,English,A,,"The College of Law's Practical Legal Training Program leading to the Graduate Diploma of Legal Practice is the most popular way to prepare for admission to practice for Australian law graduates. 
Why do so many graduates choose this program?
• You’ll be more ‘practice-ready’
• You’ll study how and when you want
• You’ll be more attractive to employers
• You’ll get more support and guidance
• You’ll enjoy benefits to last a lifetime.
Learn more about the program",Australia,Yes,Yes,No,Yes,No,"Course ID TP2101F_1 | The Practical Legal Training program is undertaken in three components -
Coursework
Work Experience
Continuing Professional Education 
  This option is the full-time online option.  
Students undertaking this option will need to devote 30 – 35 hours per week during the coursework component of the program. This option suits students who are looking for the quickest path to admission.  
We recommend that students working full-time do not undertake the full-time option. 
 "
