Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,University of South Australia,Gold Coast,Graduate Certificate in International Tourism and Hotel Management,Tourism and Hotel Management,"13,200",,AUD,Years,6,Years,Yes,Yes,,,IELTS,6.5,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-international-tourism-and-hotel-management-1004730/2020/,English,A,"A career in tourism is your passport to the world. From Paris to Rio, London to Tokyo, the US to the UAE and throughout Australia and almost all points beyond, the international tourism and hospitality industries are booming. Our six-month postgraduate program can help make you a part of this exciting sector.

	The Graduate Certificate in International Tourism and Hotel Management enables you to understand the operation, needs, systems and theories in this thriving professional field.

	It’s a program with a truly international flavour as you learn alongside students from diverse cultures and are taught by industry-connected educators who will share their vast knowledge and experience.

	This degree is also a pathway to higher level studies. Graduates receive credit towards the Master of International Tourism and Hotel Management.","Intellectual rigourMake informed decisions and demonstrate an understanding of theoretical concepts in relation to  a range of contextsInvestigate, critically analyse, synthesise complex knowledge in the field of tourism and hotel managementReview and interpret theoretical propositions, methodologies, conclusions and professional decisions. CreativityApply creative, strategic and critical thinking to specialist problem-solving and be adaptive to new circumstancesGenerate and evaluate complex ideas and concepts at a practical levelEthical practiceDemonstrate substantial knowledge and understanding of ethical standards and professionalismEvaluate issues with reference to professional ethical framework/s  and sustainable practices Act with integrity, responsibility and adaptability in professional practiceKnowledge of a disciplineContextualise substantial knowledge of recent developments in tourism and hotel management within local and international contextsDemonstrate and apply specialised theoretical knowledge and professional skillsLifelong learningUtilize independent specialist learning skills, reflective practice, and a high level of information literacy skills for lifelong learningDemonstrate specialist judgement in planning and decision makingEvaluate, analyse and theorise about developments that contribute to professional practice or scholarshipCommunication and social skillsTransmit complex ideas clearly, coherently and effectivelyBe self-aware and empathetic in professional practiceDemonstrate an understanding of team dynamics and reflect on ability to be an effective member of a team and/or community of practiceCultural competencePractice sensitivity and respect for cultural diversity and the relationship between people, in a range of professional and community contextsReview and analyse cultural, environmental and economic impacts",Australia,Yes,Yes,No,Yes,No,"NoticeTuition fees are in Australian dollars, and are subject to change, including annual increases over the duration of a course. Annual tuition fee is based on completing 8 units per year. In addition students are required to pay OSHC for the duration of their visa in advance. Non-tuition fee covers textbooks, stationery and excursions."
PG,University of South Australia,,Graduate Certificate in International Tourism and Hotel Management,Tourism and Hotel Management,"13,200",,AUD,Years,6,Years,Yes,Yes,,,IELTS,6.5,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-international-tourism-and-hotel-management-1004730/2020/,English,A,"A career in tourism is your passport to the world. From Paris to Rio, London to Tokyo, the US to the UAE and throughout Australia and almost all points beyond, the international tourism and hospitality industries are booming. Our six-month postgraduate program can help make you a part of this exciting sector.

	The Graduate Certificate in International Tourism and Hotel Management enables you to understand the operation, needs, systems and theories in this thriving professional field.

	It’s a program with a truly international flavour as you learn alongside students from diverse cultures and are taught by industry-connected educators who will share their vast knowledge and experience.

	This degree is also a pathway to higher level studies. Graduates receive credit towards the Master of International Tourism and Hotel Management.","Intellectual rigourMake informed decisions and demonstrate an understanding of theoretical concepts in relation to  a range of contextsInvestigate, critically analyse, synthesise complex knowledge in the field of tourism and hotel managementReview and interpret theoretical propositions, methodologies, conclusions and professional decisions. CreativityApply creative, strategic and critical thinking to specialist problem-solving and be adaptive to new circumstancesGenerate and evaluate complex ideas and concepts at a practical levelEthical practiceDemonstrate substantial knowledge and understanding of ethical standards and professionalismEvaluate issues with reference to professional ethical framework/s  and sustainable practices Act with integrity, responsibility and adaptability in professional practiceKnowledge of a disciplineContextualise substantial knowledge of recent developments in tourism and hotel management within local and international contextsDemonstrate and apply specialised theoretical knowledge and professional skillsLifelong learningUtilize independent specialist learning skills, reflective practice, and a high level of information literacy skills for lifelong learningDemonstrate specialist judgement in planning and decision makingEvaluate, analyse and theorise about developments that contribute to professional practice or scholarshipCommunication and social skillsTransmit complex ideas clearly, coherently and effectivelyBe self-aware and empathetic in professional practiceDemonstrate an understanding of team dynamics and reflect on ability to be an effective member of a team and/or community of practiceCultural competencePractice sensitivity and respect for cultural diversity and the relationship between people, in a range of professional and community contextsReview and analyse cultural, environmental and economic impacts",Australia,Yes,No,No,No,No,"NoticeTuition fees are in Australian dollars, and are subject to change, including annual increases over the duration of a course. Annual tuition fee is based on completing 8 units per year. In addition students are required to pay OSHC for the duration of their visa in advance. Non-tuition fee covers textbooks, stationery and excursions."
PG,University of South Australia,Gold Coast,Graduate Certificate in International Tourism and Hotel Management,Tourism and Hotel Management,"13,200",,AUD,Years,6,Years,Yes,Yes,,,IELTS,6.5,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-international-tourism-and-hotel-management-1004730/2021/,English,A,"A career in tourism is your passport to the world. From Paris to Rio, London to Tokyo, the US to the UAE, throughout Australia and almost all points beyond, the international tourism and hospitality industries are booming. Our six-month postgraduate program can help make you a part of this exciting sector.

	The Graduate Certificate in International Tourism and Hotel Management enables you to understand the operation, needs, systems and theories in this thriving professional field.

	It’s a program with a truly international flavour as you learn alongside students from diverse cultures and are taught by industry-connected educators who will share their vast knowledge and experience.

	This degree is also a pathway to higher level studies. Graduates receive credit towards the Master of International Tourism and Hotel Management.","Intellectual rigourMake informed decisions and demonstrate an understanding of theoretical concepts in relation to  a range of contextsInvestigate, critically analyse, synthesise complex knowledge in the field of tourism and hotel managementReview and interpret theoretical propositions, methodologies, conclusions and professional decisions. CreativityApply creative, strategic and critical thinking to specialist problem-solving and be adaptive to new circumstancesGenerate and evaluate complex ideas and concepts at a practical levelEthical practiceDemonstrate substantial knowledge and understanding of ethical standards and professionalismEvaluate issues with reference to professional ethical framework/s  and sustainable practices Act with integrity, responsibility and adaptability in professional practiceKnowledge of a disciplineContextualise substantial knowledge of recent developments in tourism and hotel management within local and international contextsDemonstrate and apply specialised theoretical knowledge and professional skillsLifelong learningUtilize independent specialist learning skills, reflective practice, and a high level of information literacy skills for lifelong learningDemonstrate specialist judgement in planning and decision makingEvaluate, analyse and theorise about developments that contribute to professional practice or scholarshipCommunication and social skillsTransmit complex ideas clearly, coherently and effectivelyBe self-aware and empathetic in professional practiceDemonstrate an understanding of team dynamics and reflect on ability to be an effective member of a team and/or community of practiceCultural competencePractice sensitivity and respect for cultural diversity and the relationship between people, in a range of professional and community contextsReview and analyse cultural, environmental and economic impacts",Australia,Yes,Yes,No,Yes,No,"NoticeTuition fees are in Australian dollars, and are subject to change, including annual increases over the duration of a course. Annual tuition fee is based on completing 8 units per year. In addition students are required to pay OSHC for the duration of their visa in advance. Non-tuition fee covers textbooks, stationery and excursions."
PG,University of South Australia,,Graduate Certificate in International Tourism and Hotel Management,Tourism and Hotel Management,"13,200",,AUD,Years,6,Years,Yes,Yes,,,IELTS,6.5,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-international-tourism-and-hotel-management-1004730/2021/,English,A,"A career in tourism is your passport to the world. From Paris to Rio, London to Tokyo, the US to the UAE, throughout Australia and almost all points beyond, the international tourism and hospitality industries are booming. Our six-month postgraduate program can help make you a part of this exciting sector.

	The Graduate Certificate in International Tourism and Hotel Management enables you to understand the operation, needs, systems and theories in this thriving professional field.

	It’s a program with a truly international flavour as you learn alongside students from diverse cultures and are taught by industry-connected educators who will share their vast knowledge and experience.

	This degree is also a pathway to higher level studies. Graduates receive credit towards the Master of International Tourism and Hotel Management.","Intellectual rigourMake informed decisions and demonstrate an understanding of theoretical concepts in relation to  a range of contextsInvestigate, critically analyse, synthesise complex knowledge in the field of tourism and hotel managementReview and interpret theoretical propositions, methodologies, conclusions and professional decisions. CreativityApply creative, strategic and critical thinking to specialist problem-solving and be adaptive to new circumstancesGenerate and evaluate complex ideas and concepts at a practical levelEthical practiceDemonstrate substantial knowledge and understanding of ethical standards and professionalismEvaluate issues with reference to professional ethical framework/s  and sustainable practices Act with integrity, responsibility and adaptability in professional practiceKnowledge of a disciplineContextualise substantial knowledge of recent developments in tourism and hotel management within local and international contextsDemonstrate and apply specialised theoretical knowledge and professional skillsLifelong learningUtilize independent specialist learning skills, reflective practice, and a high level of information literacy skills for lifelong learningDemonstrate specialist judgement in planning and decision makingEvaluate, analyse and theorise about developments that contribute to professional practice or scholarshipCommunication and social skillsTransmit complex ideas clearly, coherently and effectivelyBe self-aware and empathetic in professional practiceDemonstrate an understanding of team dynamics and reflect on ability to be an effective member of a team and/or community of practiceCultural competencePractice sensitivity and respect for cultural diversity and the relationship between people, in a range of professional and community contextsReview and analyse cultural, environmental and economic impacts",Australia,Yes,No,No,No,No,"NoticeTuition fees are in Australian dollars, and are subject to change, including annual increases over the duration of a course. Annual tuition fee is based on completing 8 units per year. In addition students are required to pay OSHC for the duration of their visa in advance. Non-tuition fee covers textbooks, stationery and excursions."
PG,University of South Australia,Gold Coast,Graduate Certificate in Accounting,Business & Commerce & Finance & Accounting,"14,600",,AUD,Years,6,Years,Yes,Yes,,,IELTS,6.5,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-accounting-1007134/2020/,English,A,"Accountants count – literally – on their proficiency as highly organised, precise and committed professionals.

	If these qualities add up for you, then this six-month course is perfect preparation for a career in accounting and finance.

	The Graduate Certificate in Accounting is flexible, allowing you to focus on the areas that most interest you. Topics include business and managerial accounting, financial reporting, contemporary issues in accounting, economics and quantitative analysis, finance, information systems and legal studies.

	Multiple career opportunities exist for graduates within accounting and financial services. This course is also a pathway towards our industry-accredited Master of Professional Accounting.","Intellectual rigourDevelop and create professional solutions to specific problem from a discipline area. Critically evaluate, analyse and synthesise a specific issue or theory from a professional area to arrive at a conclusion/decision with justification.CreativityIncorporated in Intellectual rigour.Ethical practiceAnalyse and compare challenging organisational ethical issues within a professional context. Apply discipline based knowledge and professional skills in situations that require autonomy and a high level of responsible behaviour.Knowledge of a disciplineDemonstrate and apply well developed discipline knowledge and professional skills in a specialised management area within a global perspective. Apply and integrate research principles and methods to professional management situations.Lifelong learningIncorporated in Intellectual rigour.Communication and social skillsPrepare and deliver professional discipline advice, knowledge and ideas orally for a business or public context. Prepare and deliver professional and justified, discipline advice using written communications suitable for business and public contexts. Investigate and explain leadership research and practice in the management of people and self. Appraise self and team regarding participation and performance.Cultural competenceIncorporated in Knowledge of a discipline.",Australia,Yes,Yes,No,Yes,No,"NoticeTuition fees are in Australian dollars, and are subject to change, including annual increases over the duration of a course. Annual tuition fee is based on completing 8 units per year. In addition students are required to pay OSHC for the duration of their visa in advance. Non-tuition fee covers textbooks, stationery and excursions."
PG,University of South Australia,,Graduate Certificate in Accounting,Business & Commerce & Finance & Accounting,"14,600",,AUD,Years,6,Years,Yes,Yes,,,IELTS,6.5,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-accounting-1007134/2020/,English,A,"Accountants count – literally – on their proficiency as highly organised, precise and committed professionals.

	If these qualities add up for you, then this six-month course is perfect preparation for a career in accounting and finance.

	The Graduate Certificate in Accounting is flexible, allowing you to focus on the areas that most interest you. Topics include business and managerial accounting, financial reporting, contemporary issues in accounting, economics and quantitative analysis, finance, information systems and legal studies.

	Multiple career opportunities exist for graduates within accounting and financial services. This course is also a pathway towards our industry-accredited Master of Professional Accounting.","Intellectual rigourDevelop and create professional solutions to specific problem from a discipline area. Critically evaluate, analyse and synthesise a specific issue or theory from a professional area to arrive at a conclusion/decision with justification.CreativityIncorporated in Intellectual rigour.Ethical practiceAnalyse and compare challenging organisational ethical issues within a professional context. Apply discipline based knowledge and professional skills in situations that require autonomy and a high level of responsible behaviour.Knowledge of a disciplineDemonstrate and apply well developed discipline knowledge and professional skills in a specialised management area within a global perspective. Apply and integrate research principles and methods to professional management situations.Lifelong learningIncorporated in Intellectual rigour.Communication and social skillsPrepare and deliver professional discipline advice, knowledge and ideas orally for a business or public context. Prepare and deliver professional and justified, discipline advice using written communications suitable for business and public contexts. Investigate and explain leadership research and practice in the management of people and self. Appraise self and team regarding participation and performance.Cultural competenceIncorporated in Knowledge of a discipline.",Australia,Yes,No,No,No,No,"NoticeTuition fees are in Australian dollars, and are subject to change, including annual increases over the duration of a course. Annual tuition fee is based on completing 8 units per year. In addition students are required to pay OSHC for the duration of their visa in advance. Non-tuition fee covers textbooks, stationery and excursions."
PG,University of South Australia,Gold Coast,Graduate Certificate in Accounting,Business & Commerce & Finance & Accounting,"14,600",,AUD,Years,6,Years,Yes,Yes,,,IELTS,6.5,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-accounting-1007134/2021/,English,A,"Accountants count – literally – on their proficiency as highly organised, precise and committed professionals.

	If these qualities add up for you, then this six-month course is perfect preparation for a career in accounting and finance.

	The Graduate Certificate in Accounting is flexible, allowing you to focus on the areas that most interest you. Topics include business and managerial accounting, financial reporting, contemporary issues in accounting, economics and quantitative analysis, finance, information systems and legal studies.

	Multiple career opportunities exist for graduates within accounting and financial services. This course is also a pathway towards our industry-accredited Master of Professional Accounting.","Intellectual rigourDevelop and create professional solutions to specific problem from a discipline area. Critically evaluate, analyse and synthesise a specific issue or theory from a professional area to arrive at a conclusion/decision with justification.CreativityIncorporated in Intellectual rigour.Ethical practiceAnalyse and compare challenging organisational ethical issues within a professional context. Apply discipline based knowledge and professional skills in situations that require autonomy and a high level of responsible behaviour.Knowledge of a disciplineDemonstrate and apply well developed discipline knowledge and professional skills in a specialised management area within a global perspective. Apply and integrate research principles and methods to professional management situations.Lifelong learningIncorporated in Intellectual rigour.Communication and social skillsPrepare and deliver professional discipline advice, knowledge and ideas orally for a business or public context. Prepare and deliver professional and justified, discipline advice using written communications suitable for business and public contexts. Investigate and explain leadership research and practice in the management of people and self. Appraise self and team regarding participation and performance.Cultural competenceIncorporated in Knowledge of a discipline.",Australia,Yes,Yes,No,Yes,No,"NoticeTuition fees are in Australian dollars, and are subject to change, including annual increases over the duration of a course. Annual tuition fee is based on completing 8 units per year. In addition students are required to pay OSHC for the duration of their visa in advance. Non-tuition fee covers textbooks, stationery and excursions."
PG,University of South Australia,,Graduate Certificate in Accounting,Business & Commerce & Finance & Accounting,"14,600",,AUD,Years,6,Years,Yes,Yes,,,IELTS,6.5,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-accounting-1007134/2021/,English,A,"Accountants count – literally – on their proficiency as highly organised, precise and committed professionals.

	If these qualities add up for you, then this six-month course is perfect preparation for a career in accounting and finance.

	The Graduate Certificate in Accounting is flexible, allowing you to focus on the areas that most interest you. Topics include business and managerial accounting, financial reporting, contemporary issues in accounting, economics and quantitative analysis, finance, information systems and legal studies.

	Multiple career opportunities exist for graduates within accounting and financial services. This course is also a pathway towards our industry-accredited Master of Professional Accounting.","Intellectual rigourDevelop and create professional solutions to specific problem from a discipline area. Critically evaluate, analyse and synthesise a specific issue or theory from a professional area to arrive at a conclusion/decision with justification.CreativityIncorporated in Intellectual rigour.Ethical practiceAnalyse and compare challenging organisational ethical issues within a professional context. Apply discipline based knowledge and professional skills in situations that require autonomy and a high level of responsible behaviour.Knowledge of a disciplineDemonstrate and apply well developed discipline knowledge and professional skills in a specialised management area within a global perspective. Apply and integrate research principles and methods to professional management situations.Lifelong learningIncorporated in Intellectual rigour.Communication and social skillsPrepare and deliver professional discipline advice, knowledge and ideas orally for a business or public context. Prepare and deliver professional and justified, discipline advice using written communications suitable for business and public contexts. Investigate and explain leadership research and practice in the management of people and self. Appraise self and team regarding participation and performance.Cultural competenceIncorporated in Knowledge of a discipline.",Australia,Yes,No,No,No,No,"NoticeTuition fees are in Australian dollars, and are subject to change, including annual increases over the duration of a course. Annual tuition fee is based on completing 8 units per year. In addition students are required to pay OSHC for the duration of their visa in advance. Non-tuition fee covers textbooks, stationery and excursions."
PG,University of South Australia,,Graduate Certificate in Diabetes Education and Management,Business & Commerce & Finance & Accounting,,,AUD,Years,8,Months,Yes,Yes,,,,,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-diabetes-education-and-management-1007289/2020/,English,D,"More than 1.2 million Australians are living with diabetes. Now in epidemic proportions, fighting this condition is one of the major challenges facing Australian and global healthcare systems.

	Play your part in improving diabetes knowledge, awareness, and self-management with this specialised postgraduate program. This course is designed to qualify nurses, midwives, dietitians, pharmacists, medical practitioners, podiatrists, exercise physiologists and physiotherapists as diabetes educators. 

	This important program links theory and practice, providing specialist knowledge about all aspects of diabetes, including its causes, complications, management and education strategies. A highlight is a professional placement flanked by a credentialled diabetes educator mentor.

	Graduates can consider career opportunities offering diabetes-related services in private practice or other areas of the health industry.","Intellectual rigourOperate effectively with and upon a body of knowledge of  sufficient depth to begin professional practice as a Diabetes EducatorCreativityDevelop effective problem solving skills, capable of applying logical, critical and creative thinking to a range of problems.Ethical practiceDevelop an understanding of health practice informed by ethical and legal principles.Demonstrate commitment to ethical action and social responsibility as a professional and citizenKnowledge of a disciplinePractice as a Diabetes Educator with the knowledge and skills to be a valued member of the Diabetes team.Embrace the multidisciplinary nature of diabetes management and seek to gain knowledge and skills in these areasLifelong learningPrepare for lifelong learning in pursuit of personal development and excellence in professional practiceCommunication and social skillsCommunicate effectively both in written and oral form and in professional practice as a member of the communityApply skills, to work both autonomously and collaboratively as a professional.Cultural competenceEmbrace and respect multiculturalism and the diversity of Australian society, and international perspectives as a professional and as a citizen",Australia,Yes,No,No,No,No,
PG,University of South Australia,,Graduate Certificate in Diabetes Education and Management,Business & Commerce & Finance & Accounting,,,AUD,Years,8,Months,Yes,Yes,,,,,,,https://www.scu.edu.au/study-at-scu/courses/graduate-certificate-in-diabetes-education-and-management-1007289/2021/,English,D,"More than 1.2 million Australians are living with diabetes. Now in epidemic proportions, fighting this condition is one of the major challenges facing Australian and global healthcare systems.

	Play your part in improving diabetes knowledge, awareness, and self-management with this specialised postgraduate program. This course is designed to qualify nurses, midwives, dietitians, pharmacists, medical practitioners, podiatrists, exercise physiologists and physiotherapists as diabetes educators. 

	This important program links theory and practice, providing specialist knowledge about all aspects of diabetes, including its causes, complications, management and education strategies. A highlight is a professional placement flanked by a credentialled diabetes educator mentor.

	Graduates can consider career opportunities offering diabetes-related services in private practice or other areas of the health industry.","Intellectual rigourOperate effectively with and upon a body of knowledge of  sufficient depth to begin professional practice as a Diabetes EducatorCreativityDevelop effective problem solving skills, capable of applying logical, critical and creative thinking to a range of problems.Ethical practiceDevelop an understanding of health practice informed by ethical and legal principles.Demonstrate commitment to ethical action and social responsibility as a professional and citizenKnowledge of a disciplinePractice as a Diabetes Educator with the knowledge and skills to be a valued member of the Diabetes team.Embrace the multidisciplinary nature of diabetes management and seek to gain knowledge and skills in these areasLifelong learningPrepare for lifelong learning in pursuit of personal development and excellence in professional practiceCommunication and social skillsCommunicate effectively both in written and oral form and in professional practice as a member of the communityApply skills, to work both autonomously and collaboratively as a professional.Cultural competenceEmbrace and respect multiculturalism and the diversity of Australian society, and international perspectives as a professional and as a citizen",Australia,Yes,No,No,No,No,
