Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DIP,Torrens University Australia,Melbourne,Diploma of Business,Business & Commerce & Finance & Accounting,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-business-higher-education,English,A,"The Diploma of Business (Higher Education) has been developed to ensure you graduate job-ready, with the core business knowledge and skills required to move into management roles in large organisations or become an entrepreneur and launch your own business.

By completing a Diploma, you have the opportunity to move into a Bachelor of Business where you can specialise in Event Management, Marketing, Sports or Entrepreneurship.","Some of the possible career outcomes for graduates are:

Business Owner
Entrepreneur
Operations Manager
Sales Team Leader
Facilities Supervisor
Business Development Manager

Learn more about careers in Business",Australia,Yes,Yes,No,Yes,No,"10 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available online. International students must not enrol into any more than a third or 33% of online subjects over their course and must study at least one subject that is face to face in each trimester. All face to face courses are also available for online mode of delivery. Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
DIP,Torrens University Australia,Sydney,Diploma of Business,Business & Commerce & Finance & Accounting,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-business-higher-education,English,A,"The Diploma of Business (Higher Education) has been developed to ensure you graduate job-ready, with the core business knowledge and skills required to move into management roles in large organisations or become an entrepreneur and launch your own business.

By completing a Diploma, you have the opportunity to move into a Bachelor of Business where you can specialise in Event Management, Marketing, Sports or Entrepreneurship.","Some of the possible career outcomes for graduates are:

Business Owner
Entrepreneur
Operations Manager
Sales Team Leader
Facilities Supervisor
Business Development Manager

Learn more about careers in Business",Australia,Yes,Yes,No,Yes,No,"10 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available online. International students must not enrol into any more than a third or 33% of online subjects over their course and must study at least one subject that is face to face in each trimester. All face to face courses are also available for online mode of delivery. Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
DIP,Torrens University Australia,Adelaide,Diploma of Business,Business & Commerce & Finance & Accounting,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-business-higher-education,English,A,"The Diploma of Business (Higher Education) has been developed to ensure you graduate job-ready, with the core business knowledge and skills required to move into management roles in large organisations or become an entrepreneur and launch your own business.

By completing a Diploma, you have the opportunity to move into a Bachelor of Business where you can specialise in Event Management, Marketing, Sports or Entrepreneurship.","Some of the possible career outcomes for graduates are:

Business Owner
Entrepreneur
Operations Manager
Sales Team Leader
Facilities Supervisor
Business Development Manager

Learn more about careers in Business",Australia,Yes,Yes,No,Yes,No,"10 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available online. International students must not enrol into any more than a third or 33% of online subjects over their course and must study at least one subject that is face to face in each trimester. All face to face courses are also available for online mode of delivery. Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
DIP,Torrens University Australia,Brisbane,Diploma of Business,Business & Commerce & Finance & Accounting,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-business-higher-education,English,A,"The Diploma of Business (Higher Education) has been developed to ensure you graduate job-ready, with the core business knowledge and skills required to move into management roles in large organisations or become an entrepreneur and launch your own business.

By completing a Diploma, you have the opportunity to move into a Bachelor of Business where you can specialise in Event Management, Marketing, Sports or Entrepreneurship.","Some of the possible career outcomes for graduates are:

Business Owner
Entrepreneur
Operations Manager
Sales Team Leader
Facilities Supervisor
Business Development Manager

Learn more about careers in Business",Australia,Yes,Yes,No,Yes,No,"10 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available online. International students must not enrol into any more than a third or 33% of online subjects over their course and must study at least one subject that is face to face in each trimester. All face to face courses are also available for online mode of delivery. Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
DIP,Torrens University Australia,Melbourne,Diploma of Business Information Systems,Computer Science & Information Technology,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-of-business-information-systems,English,A,"A diploma in Information Systems develops graduates to have technical competence and a strong ability to interpret information to solve work place problems, which is essential for almost every business regardless of the industry. You will graduate ready to take on an ever-changing business environment as a Business Analyst.	","Some of the possible career outcomes for a graduates are:

Business analyst
Business development management
Business process analyst
Business requirements analysis
Database designer/administrator/ programmer

Learn more about careers in Business",Australia,Yes,Yes,No,Yes,No,"8.5 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available Online.Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
DIP,Torrens University Australia,Sydney,Diploma of Business Information Systems,Computer Science & Information Technology,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-of-business-information-systems,English,A,"A diploma in Information Systems develops graduates to have technical competence and a strong ability to interpret information to solve work place problems, which is essential for almost every business regardless of the industry. You will graduate ready to take on an ever-changing business environment as a Business Analyst.	","Some of the possible career outcomes for a graduates are:

Business analyst
Business development management
Business process analyst
Business requirements analysis
Database designer/administrator/ programmer

Learn more about careers in Business",Australia,Yes,Yes,No,Yes,No,"8.5 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available Online.Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
DIP,Torrens University Australia,Adelaide,Diploma of Business Information Systems,Computer Science & Information Technology,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-of-business-information-systems,English,A,"A diploma in Information Systems develops graduates to have technical competence and a strong ability to interpret information to solve work place problems, which is essential for almost every business regardless of the industry. You will graduate ready to take on an ever-changing business environment as a Business Analyst.	","Some of the possible career outcomes for a graduates are:

Business analyst
Business development management
Business process analyst
Business requirements analysis
Database designer/administrator/ programmer

Learn more about careers in Business",Australia,Yes,Yes,No,Yes,No,"8.5 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available Online.Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
DIP,Torrens University Australia,Brisbane,Diploma of Business Information Systems,Computer Science & Information Technology,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-of-business-information-systems,English,A,"A diploma in Information Systems develops graduates to have technical competence and a strong ability to interpret information to solve work place problems, which is essential for almost every business regardless of the industry. You will graduate ready to take on an ever-changing business environment as a Business Analyst.	","Some of the possible career outcomes for a graduates are:

Business analyst
Business development management
Business process analyst
Business requirements analysis
Database designer/administrator/ programmer

Learn more about careers in Business",Australia,Yes,Yes,No,Yes,No,"8.5 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available Online.Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
DIP,Torrens University Australia,Melbourne,Diploma of Event Management,Business & Commerce & Finance & Accounting,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-business-event-management,English,A,"Our Diploma of Event Management course gives you the business skills to manage and run large-scale events.

You will learn how to generate creative and innovative events concepts for a business environment and learn how to execute these projects. You’ll gain industry experience while learning from those well established in your chosen career.	","As a graduate you’ll have a wealth of career opportunities available to you:

Conference Coordinator
Event Coordinator
Event Planner
Event Sales Coordinator
Exhibitions Coordinator
In-House Meetings Coordinator
Meetings Coordinator
Venue Coordinator",Australia,Yes,Yes,No,Yes,No,"To be awarded the Diploma of Event Management students will need to complete 80 credit points over 8 subjects as outlined in the Course Structure above. Each subject has a value of 10 credit points.	10 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available online. International students must not enrol into any more than a third or 33% of online subjects over their course and must study at least one subject that is face to face in each trimester. All face to face courses are also available for online mode of delivery. Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
DIP,Torrens University Australia,Sydney,Diploma of Event Management,Business & Commerce & Finance & Accounting,22800,16000,AUD,Years,1,Year,Yes,Yes,,,IELTS,5.5,,,https://www.torrens.edu.au/courses/business/diploma-business-event-management,English,A,"Our Diploma of Event Management course gives you the business skills to manage and run large-scale events.

You will learn how to generate creative and innovative events concepts for a business environment and learn how to execute these projects. You’ll gain industry experience while learning from those well established in your chosen career.	","As a graduate you’ll have a wealth of career opportunities available to you:

Conference Coordinator
Event Coordinator
Event Planner
Event Sales Coordinator
Exhibitions Coordinator
In-House Meetings Coordinator
Meetings Coordinator
Venue Coordinator",Australia,Yes,Yes,No,Yes,No,"To be awarded the Diploma of Event Management students will need to complete 80 credit points over 8 subjects as outlined in the Course Structure above. Each subject has a value of 10 credit points.	10 hours per subject, per week. International students on a student visa are required to study full time, i.e. the student must complete a minimum of 1.0 EFTSL of study per year.	Available online. International students must not enrol into any more than a third or 33% of online subjects over their course and must study at least one subject that is face to face in each trimester. All face to face courses are also available for online mode of delivery. Please note that due to COVID-19, authorities have provided assurance that exceptions will be made to the usual face-to-face learning requirements.	"
