Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
DIP,University of South Australia,Adelaide,Diploma in Aged Care,Science and Health Science,,,AUD,Years,1,Year,Yes,No,,,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fonline.unisa.edu.au%2Fdegrees%2Fdiploma-in-aged-care&index_url=https%3A%2F%2Fonline.unisa.edu.au%2Fdegrees%2F8562-14488&auth=Qxz%2B91RUBXpANcbl6xiBWg&profile=_default&rank=1&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,The Diploma in Aged Care qualification takes just twelve months to complete and is an opportunity to start your career or upskill in one of Australia's fastest-growing sectors.,"Your career
Australiaâ€™s ageing population is growing, and with it, there is increased demand for professional support workers. The number of people requiring aged care is set to double by the year 2050, with 179,000 job openings predicted over the next five years1.
Careers to consider:

Aged care workerActively support elderly people to remain living independently through the provision of social support, personal care and domestic assistance; provide transportation to medical appointments, shops and social activities; help with personal care duties such as showering, grooming and dressing; and assist with domestic and housekeeping activities such as cooking, cleaning and laundry washing. 
Residential support workerSupport clients to live independent lives in their own homes; deliver a range of services according to the care requirements and care plans of each client; enable each client to have the opportunity to succeed at the activities of daily living which promote dignity, respect and maintain their quality of life and abilities; work with a range of clients such as people with a disability, children and youth who live in residential care.
Community support workerPromote the dignity and positive image of clients within the community; facilitate client communication and enhance their choice and decision-making processes; assist clients in all aspects of personal care; and promote and encourage community inclusion, networking opportunities and social activities; and encourage and arrange various activities to help stimulate them physically, mentally and emotionally.
Recreational and lifestyle support coordinatorsAssist and support an individual in developing skills and abilities as well as managing self-care tasks that will maximise their independence and confidence in their everyday lives. Assist clients with tasks and activities to build life skills and connect with their community.

1joboutlook.gov.au",Australia,Yes,No,No,No,No,
DIP,University of South Australia,Adelaide,Diploma in Arts,Creative Arts & Design & Music,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-arts&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F742-2341&auth=dEqiM1AwUm%2BodmbT%2F8EXrw&profile=_default&rank=2&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"We offer a pathway into UniSA, if you do not meet the direct entry requirements for the degree you want to study. The entry requirements for our diplomas make them more accessible for students who do not receive their desired result.",,Australia,No,Yes,No,Yes,No,
DIP,University of South Australia,Adelaide,Diploma in Business,Business & Commerce & Finance & Accounting,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-business&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F4142-7537&auth=on7be8R8sB2JTVFzsNH3UQ&profile=_default&rank=3&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"The program offers a pathway into UniSA if you don’t meet the direct entry requirements for the degree you wish to study. Depending on your area of interest, you could go on to study a range of bachelor degrees in health, nursing, or any other allied health areas.",,Australia,No,Yes,No,Yes,No,
DIP,University of South Australia,Adelaide,Diploma in Health,English,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-health&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F5122-9517&auth=zHIDjxQW6scloQMKHgqvww&profile=_default&rank=4&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"Guaranteed* entry into the second year of many Health degrees (*upon successful completion).
A great back up option if you don’t think you’ll get the ATAR for your preferred degree.
You can still access UniSA College staff and support services while you’re studying the first year of your degree.
In your second year, study the same courses alongside other (first year) Health students.
Get the full student experience with events, entertainment, sports, clubs, volunteering opportunities and more.
Snapshot
296x202_ddhlsnapshot.pngThe Diploma in Health is a two-year program that prepares you for university study and – upon successful completion – guarantees you entry into second year of a wide range of health degrees.",,Australia,No,Yes,No,Yes,No,
DIP,University of South Australia,Adelaide,Diploma in Languages,Language & Literature,,,AUD,Years,1,Year,Yes,No,,,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-languages&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F3302-6297&auth=oz3iX4So5mZh2%2Fa9C1FB9w&profile=_default&rank=5&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,Both the Professional Certificate in Aged Care and the Diploma in Aged Care have been developed in collaboration with leading aged care providers. Study course content that has been mapped to relevant standards which include the Aged Care Quality Standards and the National Safety and Quality Health Service (NSQHS) Standards.,"Your career
The ability to use language effectively is a great skill, particularly in a world of linguistic and cultural diversity. Knowledge of other languages and understanding of intercultural relationships is a skill held in high regard by many employers. Having a proficiency in another language can expand your career options to include roles such as:

cultural liaison officer: help to identify the needs of individuals and families from different cultural groups, and ensure there are resources and support programs to meet those needs
interpreter/translator: work with groups, individuals and organisations to convert, in written and spoken language, one language into another language
tutor: provide one-on-one academic assistance to help students

There may also be opportunities for you to work for education providers, professional services firms and not-for-profit organisations with headquarters, alliances and networks in international markets.",Australia,No,Yes,No,Yes,No,
DIP,University of South Australia,Adelaide,Diploma in Music,Creative Arts & Design & Music,30300,3787.5,AUD,Years,1,Year,Yes,No,,,IELTS Total,6,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-music&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F4703-8437&auth=GBYENzma5oapG1qGXkeTgw&profile=_default&rank=6&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,jazz history styles and arranging improvisation large ensemble and repertoire ensemble,"Your career
This diploma is for people who want to be involved in the music industry and have a particular interest in jazz.Â The employment prospects for music professionals is expected to grow moderately through until November 20201. Careers to consider include:

composer: create original musical scores
music director: also known as conductors, they direct musical groups such as orchestras and choirs
musician/singer: perform music for live audiences and recordings

1 Australian Government Department of Employment, Occupational Employment Projections 2015",Australia,No,Yes,No,Yes,No,
DIP,University of South Australia,Adelaide,Diploma in Construction,"Architecture, Building & Planning",,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-construction&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F7822-13565&auth=37EkqcFaylvLTo82XjDncg&profile=_default&rank=7&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"The Diploma in Construction is a two-year program that prepares you for university study and – upon successful completion – guarantees you entry into second year of a wide range of construction degrees.
We offer a pathway into UniSA, if you do not meet the direct entry requirements for the degree you want to study. The entry requirements for our diplomas make them more accessible for students who do not receive their desired result.",,Australia,No,Yes,No,Yes,No,
DIP,University of South Australia,Adelaide,Diploma in Engineering,Engineering,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-engineering&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F7782-13525&auth=qECufnP1T8S1x2aZUX6K1g&profile=_default&rank=8&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,The Diploma in Engineering is a two-year program that prepares you for university study and – upon successful completion – guarantees you entry into second year of a wide range of engineering degrees.,"You will get a taste of university and learn the skills you need to study for your degree, including:

how UniSA works
how to write academic assignments
how to reference
how to manage your time
In first year you will complete core courses that develop your critical writing, study, communication, numeracy and research skills. In second year, you will start studying first-year courses from your linked bachelor degree and accrue some hours in the UniSA STEM Professional Practice Program. You will sit in the same lectures and tutorials as other first-year students, but you can still rely on UniSA College for extra support.",Australia,No,Yes,No,Yes,No,
DIP,University of South Australia,Adelaide,Diploma in Health (Mount Gambier),English,,,AUD,Years,2,Years,Yes,No,,,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-health-mount-gambier&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F5122-12037&auth=i9MlJobiBwe0o6f%2BynI4iA&profile=_default&rank=9&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"The Diploma in Health, in Mount Gambier, is a two-year program that prepares you for university study and – upon successful completion – guarantees you entry into second year of a Bachelor of Nursing (Mount Gambier). We offer a pathway into UniSA, if you do not meet the direct entry requirements for the degree you want to study. The entry requirements for our diplomas make them more accessible for students who do not receive their desired result.",,Australia,No,Yes,No,Yes,No,
DIP,University of South Australia,Adelaide,Diploma in Information Technology,Computer Science & Information Technology,,,AUD,Years,2,Years,Yes,No,ATAR,50,,,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fdiploma-in-information-technology&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F7802-13546&auth=ilmfeNdbLVoYf%2FGc12TDpw&profile=_default&rank=10&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+Australian+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Diplomas+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,D,"The Diploma in Information Technology is a two-year program that prepares you for university study and – upon successful completion – guarantees you entry into second year of a wide range of IT degrees.

We offer a pathway into UniSA, if you do not meet the direct entry requirements for the degree you want to study. The entry requirements for our diplomas make them more accessible for students who do not receive their desired result.",,Australia,No,Yes,No,Yes,No,
