Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,University of South Australia,Adelaide,International Master of Business Administration (Supply Chain Management),Computer Science & Information Technology,37700,4712.5,AUD,Years,2,Years,Yes,No,,,IELTS Total,6.5,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Finternational-master-of-business-administration-supply-chain-management%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F3582-9857&auth=7lHDdSC9snEPE7dI%2Fk5dRA&profile=_default&rank=61&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,the global business environment people leadership and performance economic principles for business fundamentals of data analytics,"Your career
Upon graduation, you will be equipped to pursue a career internationally across a broad range of industries. With specialist skills in logistics and supply chain management, this degree is ideal for those looking at  career progression opportunities, specific roles may include:

Inventory manager: monitoring and reporting on inventory and ensuring adequate stock for all distribution channels; analysing data to anticipate future needs and placing orders; working with suppliers, warehousing staff, management and other business stakeholders
Logistics manager: planning and managing logistics, warehouse, transportation and customer services; directing and coordinating the order cycle; minimising waste and maximising profit; liaising and negotiating with suppliers, manufacturers, retailers and consumers
Production manager: overseeing planning and management of production volumes in the manufacturing process; monitoring production quality standards; enforcing adherence to safety guidelines",Australia,No,Yes,No,Yes,No,
PG,University of South Australia,Adelaide,International Master of Business Administration (Human Resource Management),Tourism and Hotel Management,37700,4712.5,AUD,Years,2,Years,Yes,No,,,IELTS Total,6.5,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Finternational-master-of-business-administration-human-resource-management%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F3582-9858&auth=O3pb57Pps0Sds0JOtQt1%2Bw&profile=_default&rank=62&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,the global business environment people leadership and performance economic principles for business fundamentals of data analytics,"Your career

An International Master of Business Administration (Human Resource Management), will provide you with specialist skills in human resource management and equip you to pursue international career opportunities in roles such as:

Chief HR officer: working with senior management teams; developing and implementing workforce policies and practices; creating competitive remuneration strategies and performance management frameworks; acting as regulatory adviser for complex industrial relations matters
Human resources manager: designing, organising and implementing human resources strategies, policies and programs; overseeing recruitment, performance management, and learning and development
People and culture manager: overseeing day to day people and culture activities; talent acquisition; employee relations and training and development; implementing and executing strategic employee engagement initiatives",Australia,No,Yes,No,Yes,No,
PG,University of South Australia,Adelaide,Master of Management (Arts and Cultural Management),Humanities and Social Science,37700,4712.5,AUD,Years,2,Years,Yes,No,,,IELTS Total,6.5,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fmaster-of-management-arts-and-cultural-management%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F3782-6597&auth=g94qoTsX7VNMWWvgfzgADg&profile=_default&rank=63&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,Arts and Cultural Leadership and Governance Accounting for Management M Marketing Management Arts and Cultural Audiences Arts Environment Festivals and Events Arts Management Arts Philanthropy Arts Law Venues and Facilities Management,"Your career
Upon graduation, you will be well-equipped for a management role in all areas of the arts and cultural sector.
You could consider roles such as gallery manager, festival director, theatre manager, artistic director, executive producer or corporate partnerships manager in settings such as:

museums, galleries, zoos and aquaria 
performing arts and theatrical companies
arts centres and venues
festivals and events
funding agencies such as government arts departments and councils
small artist cooperatives
entrepreneurial companies that stage events, touring performances and exhibitions
government organisations
entertainment businesses
new media organisations",Australia,No,Yes,No,Yes,No,
PG,University of South Australia,Adelaide,Master of Management (Marketing),Business & Commerce & Finance & Accounting,37700,4712.5,AUD,Years,1,Year,Yes,No,,,IELTS Total,6.5,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fmaster-of-management-marketing%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F5522-9877&auth=65vftc%2BhBARhnib8WsX9JQ&profile=_default&rank=64&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,"business analytics and the data-driven organisation people, leadership and performance buyer behaviour insights marketing strategy and planning advanced marketing analytics","Your career
With a Master of Management (Marketing) from UniSA, your specialist skills and advanced knowledge will be welcomed across a broad range of industries. You will graduate equipped to be a leader and decision-maker, ready to operate at senior levels of an organisation in roles such as:

Brand manager: responsible for driving the growth of a brand; ensuring all aspects of a brand’s marketing and manufacturing match; creating a brand strategy and ensuring all aspects of a product or an activity align with the brand
Marketing manager: overseeing and leading a marketing team and all functions; setting strategy; managing marketing plans, budgets and resources; assigning tasks and setting targets
Media planner/Campaign manager: combining creative thinking with factual analysis to target marketing campaigns at audiences; identifying the best mediums for building brand awareness and sales
Social media manager: directing the social media presence of a brand, product, individual or organisation; overseeing social media marketing and advertising; developing strategies to increase effectiveness; measuring performance; managing and creating content
Visual communications manager: leading a creative team to realise the artistic vision of marketing strategies; overseeing graphic design elements for print, web and other media",Australia,No,Yes,No,Yes,No,
PG,University of South Australia,Adelaide,Master of Management (Tourism and Event Management),Tourism and Hotel Management,37700,4712.5,AUD,Years,1,Year,Yes,No,,,IELTS Total,6.5,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fmaster-of-management-tourism-and-event-management%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F5522-9897&auth=Mi3qsOxlAQexM2xPib%2BMHg&profile=_default&rank=65&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,"business analytics and the data-driven organisation the principles and practices of tourism tourism impacts and sustainability people, leadership and performance","Your career
With a Master of Management (Tourism and Event Management) from UniSA, your specialist skills and advanced knowledge will be welcomed across a broad range of industries. You will graduate equipped to be a leader and decision-maker, ready to operate at senior levels of an organisation in roles such as:

Events and exhibitions manager: managing and coordinating collection changeovers and exhibitions at arts organisations; managing contractors and budgets; collaborating with designers and liaising with artists
Event manager: using strong organisational and project management skills to deliver successful, cost-effective events; managing staff and suppliers; booking venues, facilities and equipment; marketing and promotion; analysis and reporting on event performance
Hotel manager: overseeing daily hotel operations; planning and supervising staff activities; ensuring the smooth and profitable running of business; strategic planning and reporting; communicating effectively with employees, customers and suppliers
Tourism policy manager: overseeing the development of policy and research papers, major industry reports, submissions and responses; engaging with stakeholders such as industry and the general public and maintaining these networks; monitoring and reporting; developing government or stakeholder relations strategies

Please note the industry facts below are based on 2019 data and reflect pre-COVID-19 employment projections.",Australia,No,Yes,No,Yes,No,
PG,University of South Australia,Adelaide,Master of Management (Human Resource Management),Tourism and Hotel Management,37700,4712.5,AUD,Years,1,Year,Yes,No,,,IELTS Total,6.5,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fmaster-of-management-human-resource-management%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F5522-9898&auth=023UearyY%2Fc0L5q90QCUcQ&profile=_default&rank=66&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,"business analytics and the data-driven organisation people, leadership and performance managing employee performance and rewards managing the global workforce employment law","Your career
With a Master of Management (Human Resource Management) from UniSA, your specialist skills and advanced knowledge will be welcomed across a broad range of industries. You will graduate equipped to be a leader and decision-maker, ready to operate at senior levels of an organisation in roles such as:

Chief HR officer: working with senior management teams; developing and implementing workforce policies and practices; creating competitive remuneration strategies and performance management frameworks; acting as regulatory adviser for complex industrial relations matters
Human resources manager: designing, organising and implementing human resources strategies, policies and programs; overseeing recruitment, performance management, and learning and development
People and culture manager: overseeing day to day people and culture activities; talent acquisition; employee relations and training and development; implementing and executing strategic employee engagement initiatives
Training and development manager: analysing development needs to manage the design, delivery and evaluation of training programs
Work, health and safety manager: overseeing the development of OHS policies and programs; advising and instructing on various safety-related topics; managing the design of risk assessment and enforcing preventative measures; advising policy updates based on legislation requirements",Australia,No,Yes,No,Yes,No,
PG,University of South Australia,Adelaide,Master of Management (Supply Chain Management),Computer Science & Information Technology,37700,4712.5,AUD,Years,1,Year,Yes,No,,,IELTS Total,6.5,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fmaster-of-management-supply-chain-management%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F5522-9899&auth=2mXjElYVOVAbyCXdHKUhJA&profile=_default&rank=67&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,business analytics and the data-driven organisation global supply chain management integrated logistics management managing sustainable value chains,"Your career
With a Master of Management (Supply Chain Management) from UniSA, your specialist skills and advanced knowledge will be welcomed across a broad range of industries. You will graduate equipped to be a leader and decision-maker, ready to operate at senior levels of an organisation in roles such as:

Inventory manager: monitoring and reporting on inventory and ensuring adequate stock for all distribution channels; analysing data to anticipate future needs and placing orders; working with suppliers, warehousing staff, management and other business stakeholders
Logistics manager: planning and managing logistics, warehouse, transportation and customer services; directing and coordinating the order cycle; minimising waste and maximising profit; liaising and negotiating with suppliers, manufacturers, retailers and consumers
Production manager: overseeing planning and management of production volumes in the manufacturing process; monitoring production quality standards; enforcing adherence to safety guidelines
Supply and logistics coordinator: coordinating the flow of supplies and inventory in a warehouse setting; working with suppliers to manage efficiency of operations",Australia,No,Yes,No,Yes,No,
PG,University of South Australia,Adelaide,Master of Management,Business & Commerce & Finance & Accounting,37700,4712.5,AUD,Years,1,Year,Yes,No,,,IELTS Total,6.5,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fmaster-of-management%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F5522-9900&auth=%2BGed%2FZ7u2kdt52QKunim6A&profile=_default&rank=68&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,"business ethics people, leadership and performance managing the global workforce entrepreneurship and innovation managing change","Your career
With a Master of Management from UniSA, your expert skills and advanced business knowledge will be welcomed across a wide range of industries. You will graduate equipped to be a leader and decision-maker, ready to operate at senior levels of an organisation in roles such as:

Business manager: driving the work of teams to run an organisation efficiently; coordinating several business units, managing resourcing, budgets and operations
General manager: planning and directing the operations of companies or public and private sector organisations; duties can include formulating policies, managing daily operations, and planning the use of materials and human resources
Risk manager: assessing and identifying potential risks that could endanger the reputation, safety, security and financial prosperity of a client or organisation; implementing processes and procedures to ensure the client is prepared to deal with any potential risk elements",Australia,No,Yes,No,Yes,No,
PG,University of South Australia,Adelaide,Master of Advanced Clinical Physiotherapy (Sports),Computer Science & Information Technology,39700,4962.5,AUD,Years,1,Year,Yes,No,,,IELTS Total,7,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fmaster-of-advanced-clinical-physiotherapy-sports%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F4822-9457&auth=HEjGPOeXtGxpizNa2qWt7w&profile=_default&rank=69&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,"allied health evidence translation pain theory and science, assessment and management advanced musculoskeletal examination and management exercise and conditioning advanced sports theory and management.","Your career
This master degree provides you with an advanced qualification in sports physiotherapy practice, enhancing your sports specific knowledge, reasoning and clinical skills. As a graduate, you will be prepared to work across a variety of settings, including:

private practice
clinics
sport and exercise services
rehabilitation centres
hospitals. 

Many of our sports physiotherapy graduates work at amateur, elite, national and international levels in a wide range of sports including Australian Rules Football, soccer, tennis, netball, gymnastics, swimming, water polo, dance, circus or acrobatics, skiing, Paralympic sports, softball, baseball, basketball and cricket.",Australia,No,Yes,No,Yes,No,
PG,University of South Australia,Adelaide,Master of Advanced Clinical Physiotherapy (Musculoskeletal),Computer Science & Information Technology,39700,4962.5,AUD,Years,1,Year,Yes,No,,,IELTS Total,7,,,https://search.unisa.edu.au/s/redirect?collection=study-search&url=http%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2Fmaster-of-advanced-clinical-physiotherapy-musculoskeletal%2Fint&index_url=https%3A%2F%2Fstudy.unisa.edu.au%2Fdegrees%2F2021%2F4822-9458&auth=JQjRyTVzsf39KsWRaBv9RA&profile=_default&rank=70&query=%21padrenull+%7CpeopleFacetUnitsOthers%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleStaff1%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CstudyType%3A%22%24%2B%2B+Degree+%24%2B%2B%22+%7CpmpProgramsStudentType%3A%22%24%2B%2B+International+%24%2B%2B%22+%7CfacetLevelStudy%3A%22%24%2B%2B+Postgraduate+%24%2B%2B%22+%7CpeopleFacetResearchArea%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CfacetProgramsCampus%3A%22%24%2B%2B+All+%24%2B%2B%22+%7CpeopleFacetSchoolsDivision%3A%22%24%2B%2B+All+%24%2B%2B%22+%7Ctab%3A%22%24%2B%2B+Degrees+%26+Courses+%24%2B%2B%22,English,A,allied health evidence translation pain theory and science pain assessment and management advanced musculoskeletal examination and management exercise and conditioning.,"Your career
Contemporary healthcare and clinical practice require therapists’ reasoning and practice to be critical, reflective, patient-centred and evidence based. Postgraduate clinical education is the optimal way to develop the advanced clinical knowledge and skills essential to expert physiotherapy practice.
As a graduate, you may further your physiotherapy career across a variety of settings, including:

private practice
clinics
sport and exercise services
rehabilitation centres
hospitals
home and community services
disability services
aged care facilities.",Australia,No,Yes,No,Yes,No,
