Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,University of Melbourne,Melbourne,Graduate Certificate in Arboriculture,Humanities and Social Science,22128,16112,AUD,Years,1,Year,Yes,Yes,,,,,,,https://study.unimelb.edu.au/find/courses/graduate/graduate-certificate-in-arboriculture/,English,A,"Cities all over the world, from Melbourne to New York, from Beijing to Los Angeles, are looking to boost the number of trees in their public spaces.The Graduate Certificate in Arboriculture is designed for professionals managing trees or wanting to learn how to manage trees in the urban forest.In this course, you will study urban forest management, tree growth and function, plant identification and selection, pests and diseases, and environmental stresses - such as climate change.Study while you workTo accommodate your existing work commitments, all classes are delivered in an intensive format with online assessment elements.Learn from a garden campusYou'll spend your time with urban forestry experts at our beautiful Burnley campus, where you’ll find an extensive collection of trees – both native and exotic – with an urban forestry and arboriculture research station.This course is not available to international students who require a student visa to study in Australia.","Career outcomesOur graduates work as: arborists, arboriculture specialists, urban tree planners and urban foresters.Employers in this field include:Local governmentEnvironmental consultanciesPrivate contractorsConservation organisationsGovernment departments.Further studyAt the end of the course, you may qualify for entry to the Master of Urban Horticulture, with course credits .",Australia,No,Yes,No,Yes,No,
PG,University of Melbourne,Melbourne,Graduate Certificate in Arboriculture,Humanities and Social Science,22128,16112,AUD,Years,1,Year,Yes,Yes,,,,,,,https://study.unimelb.edu.au/find/courses/graduate/graduate-certificate-in-arboriculture/,English,A,"Cities all over the world, from Melbourne to New York, from Beijing to Los Angeles, are looking to boost the number of trees in their public spaces.The Graduate Certificate in Arboriculture is designed for professionals managing trees or wanting to learn how to manage trees in the urban forest.In this course, you will study urban forest management, tree growth and function, plant identification and selection, pests and diseases, and environmental stresses - such as climate change.Study while you workTo accommodate your existing work commitments, all classes are delivered in an intensive format with online assessment elements.Learn from a garden campusYou'll spend your time with urban forestry experts at our beautiful Burnley campus, where you’ll find an extensive collection of trees – both native and exotic – with an urban forestry and arboriculture research station.This course is not available to international students who require a student visa to study in Australia.","Career outcomesOur graduates work as: arborists, arboriculture specialists, urban tree planners and urban foresters.Employers in this field include:Local governmentEnvironmental consultanciesPrivate contractorsConservation organisationsGovernment departments.Further studyAt the end of the course, you may qualify for entry to the Master of Urban Horticulture, with course credits .",Australia,No,Yes,No,Yes,No,
PG,University of Melbourne,Melbourne,Master of Architectural Engineering,Engineering,42784,37408,AUD,Years,42,Months,Yes,Yes,,,,,,,https://study.unimelb.edu.au/find/courses/graduate/master-of-architectural-engineering/,English,A,"As a Master of Architectural Engineering student, you will gain an internationally-recognised qualification in the architectural, engineering and structural design of buildings. The degree is highly transferable across industries in different countries. You will be taught by a world-class group of experts drawn from the Melbourne School of Engineering and the Faculty of Architecture, Building and Planning. Linkages between the study programs will be explored via a dedicated architectural engineering capstone/thesis subject. The final year is fully integrated, which means you bring together your skills and knowledge from both disciplines and use them to work on a practical project.The Master of Architectural Engineering aims to provide:Advanced knowledge of the principals of engineering underpinning the provision of infrastructure and of the principals of design based on architectural history, theory and contemporary practiceKnowledge of current practice contexts, including environmental, technological, regulatory and project-delivery systemsThe technical and creative skills to design and produce outputs that demonstrate an appreciation of economic, environmental issues, social and cultural issues as well as building systems and materialsThe ability to think strategically at different environmental and urban scales.3.5-year stream4-4.5-year stream For graduates with an undergraduate degree in architecture or civil/structural engineering.For undergraduate engineering graduates with a non-civil/ structural background. Applications will be considered case-by-case and the course duration will be determined at the time of the application.Intake:Semester 1 onlyPart-time considered on an individual basis. Part-time available only after the first year.Intake:Semester 1 onlyPart-time considered on an individual basis. Part-time available only after the first year.Master of Architectural Engineering overview and Q&AMeet our Academics in this webinar recorded as part of Graduate Open Days 2020View the webinar here",AccreditationThis degree is designed to meet the accreditation requirements of:Australian Institute of Architects (AIA)Architects Registration Board of Victoria (ARBV)Commonwealth Association of Architects (CAA)Engineering Australia provisional accreditationCareer OutcomesThe Master of Architectural Engineering is distinct in its ambition to achieve dual accreditation and provide pathways to both professions.Graduates with this qualification find employment as:Building engineersArchitectsDesign managersStructural engineersPractice leadsConsultantsSystems design engineersRegulatory and policy specialistsMechanical engineers,Australia,No,Yes,No,Yes,No,
PG,University of Melbourne,Melbourne,Master of Architecture,Computer Science & Information Technology,42784,37408,AUD,Years,3,Years,Yes,Yes,,,,,,,https://study.unimelb.edu.au/find/courses/graduate/master-of-architecture/,English,A,"The Master of Architecture aims to provide you with:Highly developed skills to manage an architectural practice and lead or work within cross-discipline project teamsA sustainable outlook with the ability to use new materials and technologies to create environmentally sustainable buildingsA grounding in architectural history, theory and technology that leads to the creation of innovative architecture.Students undertake a sequence of intensive design studios culminating in a research thesis. In the studios, students cover architectural design in the context of the creative invention of architectural futures, integrating aesthetic, technological, programmatic, environmental and social issues in the production of buildings. Students can take elective subjects in areas such as digital architecture, history and conservation, production, practice and sustainability, and society and culture.2-year or 3-year streams availableThe Master of Architecture offers you flexibility so you can take a two-year program if you already have a three-year undergraduate degree in Architecture or the three-year program if your first degree is not in architecture and you are making a career change.2-year stream3-year streamFor graduates with an undergraduate degree in Architecture.For graduates with a non-architecture undergraduate degree.Intake:Semester 1Semester 2Part-time availableIntake:Semester 1 onlyPart-time available only after the first yearEntry requirements:Undergraduate degree with a major in architecture and a WAM of 65%+Personal statement and design portfolioEntry Requirements:Undergraduate degree with a WAM of 65%+1 design studio subject, and 1 relevant history subject (e.g. art, architecture, built environment, design) at undergraduate levelPersonal statement and design portfolioMaster of Architecture (200pt) Overview and Q&AMeet our Academics in this webinar recorded as part of Graduate Open Days 2020View the webinar hereMaster of Architecture (300pt) overview and Q&AMeet our Academics in this webinar recorded as part of Graduate Open Days 2020View the webinar here","AccreditationThe Master of Architecture meets the requirements of the professional associations listed below and undergoes a regular formal review process to ensure the quality and relevance of the program.Australian Institute of Architects (AIA)Architects Registration Board of VictoriaCommonwealth Association of ArchitectsCompleting an accredited degree means you enter the workforce with a stamp of quality on your CV. In a competitive market, an accredited degree is an assurance of quality to employers and an advantage for you. For us, it means we continually strive to improve the quality of the degree in order to retain accreditation. So, you know you are getting the most up-to-date and innovative educational experience.Career outcomes ""As a graduate working in architecture, it’s essential to understand the context within which a building is situated to fully realise its design potential. I work with engineers, consultants and historians and I think being able to empathise and collaborate with industry is one of the key things I learned.""  Ariani Anwar, Master of Architecture graduate, John Wardle Architects Once you have completed the program, you can go on to work as an architect in private firms or government departments, or set up your own practice working on residential, commercial and institutional projects. You may also move into related careers such as industrial design, furniture design, interior design, landscape design, urban design, urban planning, facility management, project management and development, and conservation and heritage management.Some of the firms our graduates work for are:ArchitectureArchitectusBates SmartBillard Leece PartnershipCHT ArchitectsClarkeHopkinsClarkeCox ArchitectureDKO ArchitectureElenberg FraserFender Katsalidis ArchitectsGrimshaw ArchitectsHASSELLHayballJackson Clements Burrows ArchitectsJohn Wardle ArchitectsMGS ArchitectsNH ArchitecturePlus ArchitectureSix Degrees ArchitectsSJBWoods BagotOur graduates work as:ArchitectGraduate ArchitectStudio DirectorProject LeadBIM ManagerAssociateDesign LeaderDesign StrategistProject ArchitectArchitecture VisualiserProject Architect and Urban DesignerSenior Design ArchitectParametric DesignerTechnical DirectorHeritage ConsultantInterior DesignerInterior ArchitectComputational Designer",Australia,No,Yes,No,Yes,No,
PG,University of Melbourne,Melbourne,Graduate Diploma in Built Environments,"Architecture, Building & Planning",42784,37408,AUD,Years,1,Year,Yes,Yes,,,,,,,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-built-environments/,English,A,"The Graduate Diploma in Built Environments allows you to develop skills by creating an individualised course of study. With the approval of the Course Coordinator, you can select subjects from across the broad range of disciplines offered by the Melbourne School of Design.The flexibility this course offers is of great benefit to students who:do not wish to specialise in one particular areaare not yet certain where their interests and career aspirations liepossess a relevant existing qualification and wish to enhance their qualifications through advanced studies in areas of their choice.",You will develop skills in the discipline areas offered by the Melbourne School of Design. You may pursue a prescribed course of study to:enhance your existing qualificationshelp you shift towards the disciplines represented within the MSDcreate a path to further academic studies.,Australia,No,Yes,No,Yes,No,
PG,University of Melbourne,Melbourne,Graduate Diploma in Built Environments (Advanced),"Architecture, Building & Planning",42784,37408,AUD,Years,1,Year,Yes,Yes,,,,,,,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-built-environments-advanced/,English,A,"The Graduate Diploma in Built Environments (Advanced) allows you to develop skills by creating an individualised course of study. With the approval of the Course Coordinator, you can select subjects from across the broad range of disciplines offered by the Melbourne School of Design.The flexibility this course offers is of great benefit to students who:do not wish to specialise in one particular areaare not yet certain where their interests and career aspirations liepossess a relevant existing qualification and wish to enhance their qualifications through advanced studies in areas of their choice.",You will develop skills in the discipline areas offered by the Melbourne School of Design. You may pursue a prescribed course of study to:enhance your existing qualificationshelp you shift towards the disciplines represented within the MSDcreate a path to further academic studies.,Australia,No,Yes,No,Yes,No,
PG,University of Melbourne,Melbourne,Graduate Diploma in Construction Law,"Architecture, Building & Planning",22208,22208,AUD,Years,6,Months,Yes,Yes,,,,,,,https://study.unimelb.edu.au/find/courses/graduate/graduate-diploma-in-construction-law/,English,A,"Study online now and on campus laterMost Melbourne Law Masters subjects are available online for the remainder of the year. For updates about changes to teaching in response to COVID-19, visit the MLM elective subject quotas and status page.The Graduate Diploma in Construction Law (GDipConstrLaw) gives construction lawyers and professionals in building, construction, engineering and associated industries the legal knowledge to take the next step in their careers.Working with lecturers who are leaders in their fields, and fellow students from Australia and around the world, you’ll have a unique opportunity to gain a thorough understanding of this specialised area of law and its interaction with the commerce and practice of the industry.The Graduate Diploma in Construction Law is available for both law and non-law graduates and its flexible structure makes it ideal for working professionals looking to immerse themselves in the study of construction law.The Graduate Diploma in Construction Law is part of the world-renowned Melbourne Law Masters program.

Watch our recent Open Days webinar to learn more about the Melbourne Law Masters program and see the Q&A session with academic and admissions staff.Watch on demandAustralia's leading law schoolMelbourne Law School is ranked:No 1 law school in Australia and No 10 in the world (Quacquarelli Symonds (QS) World University Rankings by Subject, 2020).No 1 law school in Australia and No 12 in the world (Times Higher Education World University Rankings by Subject, 2020).
Related offeringsMaster of LawsMaster of Construction LawGraduate Diploma in Legal StudiesSingle Subject Study in Law","As a student, you’ll develop an advanced understanding of the complex body of knowledge in the field of construction law, including:Common law principles and statutory regimes that impact upon construction and related projects in Australia and the relationship of such laws with the technical and commercial underpinnings of the industryThe international aspects of construction law and practice, including comparisons with that applicable in AustraliaThe principles underpinning the drafting of construction contracts and amendment of standard-form construction contractsThe avoidance, management and resolution of construction claims and disputes, andKey ongoing debates relating to construction law and practice.You’ll also develop skills in critical analysis and the ability to interpret and transmit your ideas to specialist and non-specialist audiences, including clients.Many students who complete four subjects towards the Graduate Diploma in Construction Law decide to take four more subjects to complete a Master of Construction Law.",Australia,No,Yes,No,Yes,No,
PG,University of Melbourne,Melbourne,Master of Construction Law,"Architecture, Building & Planning",44416,44416,AUD,Years,1,Year,Yes,Yes,,,,,,,https://study.unimelb.edu.au/find/courses/graduate/master-of-construction-law/,English,A,"Start your law masters onlineMost Melbourne Law Masters subjects are available online for the remainder of the year. For updates about changes to teaching in response to COVID-19, visit the MLM elective subject quotas and status page.The Master of Construction Law (MConstrLaw) gives construction lawyers and professionals in building, construction, engineering and associated industries the legal knowledge to take the next step in their careers.It’s available for both law and non-law graduates and the flexible structure makes it ideal for working professionals looking to immerse themselves in the study of construction law.Working with lecturers who are leaders in their fields, and fellow students from Australia and around the world, you’ll have a unique opportunity to gain advanced understanding of construction law and its interaction with the commerce and practice of the industry.The Master of Construction Law is part of the world-renowned Melbourne Law Masters program.

Watch our recent Open Days webinar to learn more about the Melbourne Law Masters program and see the Q&A session with academic and admissions staff.Watch on demandAustralia's leading law schoolMelbourne Law School is ranked:No 1 law school in Australia and No 10 in the world (Quacquarelli Symonds (QS) World University Rankings by Subject, 2020).No 1 law school in Australia and No 12 in the world (Times Higher Education World University Rankings by Subject, 2020).
Related offeringsMaster of LawsGraduate Diploma in Construction LawGraduate Diploma in Legal StudiesSingle Subject Study in Law","As a Master of Construction Law student, you’ll develop an advanced understanding of the complex body of knowledge in the field of construction law, including:Common law principles and statutory regimes that impact upon construction and related projects in Australia and the relationship of such laws with the technical and commercial underpinnings of the industryThe international aspects of construction law and practice, including comparisons with that applicable in AustraliaThe principles underpinning the drafting of construction contracts and amendment of standard-form construction contractsThe avoidance, management and resolution of construction claims and disputes, andKey ongoing debates relating to construction law and practice.You’ll also develop skills in critical analysis and the ability to interpret and transmit your ideas to specialist and non-specialist audiences, including clients.",Australia,No,Yes,No,Yes,No,
PG,University of Melbourne,Melbourne,Master of Construction Management,Business & Commerce & Finance & Accounting,42784,37408,AUD,Years,3,Years,Yes,Yes,,,,,,,https://study.unimelb.edu.au/find/courses/graduate/master-of-construction-management/,English,A,"The Master of Construction Management is a professional degree that will kick start your career in the construction industry or enhance your existing expertise to advance your career.You will gain the theoretical knowledge, as well as the practical skills, to manage the social, technological, financial and environmental challenges facing the construction industry today.The Master of Construction Management provides students with the possibility to organise their studies in three different areas of specialisation:BuildingThe major in building is conceived for those students who aspire to become construction/project managers and work within medium-large general construction contracting companies. It has a strong technical and management component concerned with construction planning, contract administration, and all aspects of site operations.Cost managementThe specialisation in cost management prepares students for a professional career in quantity surveying, cost engineering and cost estimating in the Australian and the International market. Its main technical component is concerned with all aspects of contractual and financial management in construction projects.Project managementThe specialisation in project management is conceived for students who have an interest in coordinating all aspects of the building procurement process on behalf of clients – either within a private project management company or within a client organisation. This specialisation is well suited to students with previous work experience in a built environment discipline. The educational focus is placed on the integration of technical dimensions and the ability to understand, foresee, evaluate and control industry contributions to a project.Some of these areas provide graduates with a solid foundation for a future career in construction, while others have been designed for students from industry to strategically develop expertise for further career development.Course duration may be reduced as a result of receiving Advanced Standing (also known as credit or recognition of prior learning). Semester 2 entry is offered on a case-by-case basis depending on Advanced Standing as determined by the Selection Committee.Master of Construction Management overview and Q&AMeet our Academics in this webinar recorded as part of Graduate Open Days 2020View the webinar here","AccreditationThe Master of Construction Management meets the requirements of the professional associations listed below and undergoes a regular formal review process to ensure the quality and relevance of the program.Australian Institute of Building (AIB)Royal Institution of Chartered Surveyors (RICS)Australian Institute of Quantity Surveyors (AIQS)Completing an accredited degree means you enter the workforce with a stamp of quality on your CV. In a competitive market, an accredited degree is an assurance of quality to employers and an advantage for you. For us, it means we continually strive to improve the quality of the degree in order to retain accreditation. So, you know you are getting the most up-to-date and innovative educational experience.Graduates have a wide range of employment opportunities in the private and public sectors, working for:Construction companiesInstitutional bodiesProject management firmsQuantity surveying organisationsResearch institutionsSpecialised consultanciesTrade specialistsAs a construction management graduate, you can pursue a career in a wide range of areas such as commercial, industrial, residential, project management and contract administration. Some of the organisations employing our graduates in Australia and overseas include:AconexBuildcorp CommercialBuilt.Cb Richard Ellis Property ConsultantsCBRE GroupCity of VancouverCockram ConstructionCrema GroupDonald Cant Watts CorkeFigurehead ConstructionGroconHacer GroupHansen YunckenIcon CoJohn HollandKane ConstructionsLendleaseMultiplexProbuildRand Engineering & ArchitectureRider Levett BucknallSHAPE AustraliaSlatteryWatpacWT PartnershipYou’ll gain a transferable skillset that will be highly valued in management consulting, finance, business analysis, project management and many other areas. Our graduates are qualified for a diverse range of roles including:Acoustical ConsultantBuilding Code and Access ConsultantBuilding Construction SupervisorBuilding SurveyorBusiness AnalystBusiness Development ManagerCapital Projects ManagerCommercial ManagerConstruction ManagerContract AdministratorEstimating & Planning ManagerOperations ManagerProcurement and Contracts SpecialistProject ManagerProperty DevelopmentQuantity SurveyorSite Manager",Australia,No,Yes,No,Yes,No,
BA,University of Melbourne,Melbourne,Bachelor of Design,Creative Arts & Design & Music,34112-44632,,AUD,Years,3,Years,Yes,Yes,ATAR,77.2,,,,,https://study.unimelb.edu.au/find/courses/undergraduate/bachelor-of-design/,English,A,"Guaranteed ATAR 202188.00Entry guaranteedDomestic school-leaver applicants who satisfy course prerequisites and achieve this ATAR will be guaranteed a place in 2021. Undergraduate course applications must be submitted via VTAC.Good design has the power to transform and provide lasting solutions that improve our lives.Designers apply creative and open approaches to defining and solving problems, leading to high-quality decisions. This enables businesses and industries to overcome rigid or outdated ways of doing things.Design has applications in the creation and improvement of our cities, buildings, transport networks, furniture, websites, processes, bridges, landscapes and environment. Designers are innovators who enhance the way we live and interact with the world around us.Be in demandWith job markets evolving constantly, gaining skills that transfer across industries is really important. The ability to apply design thinking is now recognised as a specific and desirable skill.As technology drives more and more aspects of our lives, designers are playing an important role expanding the potential of the Internet of Things, such as smart homes, smart cities and intelligent transportation.If you are imaginative, enjoy learning about new fields, and want to play a role in improving the way we live and the places we live in, Design could be a good fit for you.Learn through making and doingDesign studios, site visits, field trips and interaction with industry practitioners will take you into ‘real life’ situations with industry briefs.You will study in award-winning state-of- the-art teaching facilities that demonstrate many of the design techniques you will be working to acquire in class.The work you will do in class uses the same collaborative approaches you’ll find in workplaces, ensuring you are industry-ready from day one. Many of your teachers are also working in industry at the same time, sharing current knowledge and practice directly with you.The Bachelor of Design allows you to combine the humanities, sciences and visual and performing arts within a single degree. You can further tailor your skills through breadth study and third-year design specialisations, such as Building Image Modelling (BIM), to expand your core program. You can focus on one or two majors, or complete a major and a minor.Your degreeAs a Bachelor of Design student, you’ll use innovative processes to solve problems creatively and determine solutions for a better future. You will develop expert knowledge and skills, and study real projects within the built environment, engineering, technology and performing and visual arts disciplines.Your connectionsThe Melbourne curriculum connects students with each other, the University community and the wider world. You will be surrounded by other high-achieving students who will inspire you to take on new challenges and push yourself to a higher level.We encourage every student to engage with organisations outside the University, through internships with business and community groups, applied research projects and overseas study programs.Our graduates are in demand: we are ranked 7th in the world for graduate employability.1 More than 250 Australian and international organisations – consulting and technology firms, government and industry – actively recruit on campus each year.1. Times Higher Education World University Rankings 2018.Please note: There is no portfolio necessary for entry into the courseA portfolio is not required for entry into the course. You will be producing your own designs and learning different design techniques from your very first semester.","Technology is set to completely transform how we work, and what jobs we will be doing. Artificial intelligence, robotics, smart homes – the way we live will require a whole new wave of talented designers and creatives.According to the Foundation for Young Australians, demand for employees with creativity skills has risen over 65% over the past few years. Studying a Bachelor of Design will teach you design thinking that’s in demand across tech, architecture, planning our cities, government, the arts and more.CareersStudy design if you are interested in working in:Architecture and landscape architectureGraphic designConstruction and civil engineeringGeospatial technologyPropertySoftware design, including gamesTown planningUser experienceVirtual reality and augmented realityPerformance designDesign for mechanics and robotics.Further studyGraduate study is an investment in your future. A number of majors offered in the Bachelor of Design set you up to study Masters programs linked to professional accreditation, including:Master of ArchitectureMaster of Landscape ArchitectureMaster of Architectural EngineeringMaster of Engineering (Civil)Master of Engineering (Civil with Business)Master of Engineering (Environmental)Master of Engineering (Mechanical)Master of Engineering (Mechanical with Business)Master of Engineering (Spatial)Master of Engineering (Structural)Master of Urban PlanningMaster of PropertyMaster of Construction ManagementMaster of Urban Design.Bachelor of Design graduates may also pursue further study in law, education, politics, journalism - the range of options allows you to tailor a bachelor + masters package to suit your needs. The University of Melbourne also offers Graduate Degree Packages for high achieving students to enrol in a bachelors degree and a professional entry graduate degree through VTAC.Find out more about Graduate Degree Packages",Australia,No,Yes,No,Yes,No,
