Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,University of Sunshine Coast,Queensland (Sunshine Coast),Associate Degree in Business,Business & Commerce & Finance & Accounting,24400,,AUD,Years,2,Years,Yes,Yes,ATAR,50.85,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/associate-degree-in-business,English,A,"This two-year program offers the perfect pathway to university to gain new skills, switch careers or simply learn more about a business area that interests you.Fast-track your business education and gain guaranteed entry into a degree at USC. In your first year, you’ll learn innovative business concepts and develop problem-solving techniques. Choose an area to specialise and complete four subjects in one of the following areas: accounting, entrepreneurship, event management, economics, human resource management, international business, information systems, marketing, management, or tourism, leisure and event management.",Refer to Bachelor of Business.,Australia,Yes,Yes,No,Yes,Yes,
BA,University of Sunshine Coast,Queensland (Sunshine Coast),Associate Degree in Medical Laboratory Science,Medical and Nursing,,,AUD,Years,2,Years,Yes,Yes,ATAR,66.45,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/associate-degree-in-medical-laboratory-science,English,D,"This two-year program will prepare you to become an entry-level medical laboratory technician and gain employment in Australia’s expanding pathology industry, working in hospital and private pathology laboratories.In this program, you’ll learn to perform medical laboratory tests on blood and other bodily fluids and tissues, which assist clinicians in the diagnosis, treatment and prevention of diseases and clinical disorders.",,Australia,No,Yes,No,Yes,No,
BA,University of Sunshine Coast,Queensland (Sunshine Coast),Associate Degree in Science,Science and Health Science,28000,,AUD,Years,2,Years,Yes,Yes,ATAR,50.85,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/associate-degree-in-science,English,A,"Are you looking for a career where you can make a difference? If you are creative, enjoy solving problems, enjoy collecting and organising information, and love evaluating evidence, then a career in science is likely to suit you. This two-year program offers the perfect pathway to university to gain new skills, switch careers or simply learn more about a science field that interests you where you can gain the necessary skills needed to solve real-life problems related to many branches in science.Fast-track your science education and gain guaranteed entry into a degree at USC. This program provides students with an alternative pathway to the Bachelor of Science and related programs at USC.","(Sippy Downs) Semester 1 commencement (February)
(Sippy Downs) Semester 2 commencement (July)",Australia,Yes,Yes,No,Yes,Yes,
BA,University of Sunshine Coast,Queensland (Sunshine Coast),Bachelor of Animal Ecology,Science and Health Science,28000,,AUD,Years,3,Years,Yes,Yes,ATAR,54.55,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-animal-ecology,English,A,"Want to learn about how animals are impacted by the environment and human interaction and what we can do to protect their future? Develop your analytical and research skills to better understand how to conserve and manage animals. The program will build your knowledge of animal conservation, biodiversity and animal behaviour.Hands-on experience starts in your first year with fieldwork to North Stradbroke Island and your local region. During the program, you'll work with leading researchers on field trips and in the laboratory, thus delivering work-ready graduates who are able to blend concepts gleaned from the global literature with personal experience of a diversity of regional habitats and fauna.","Career opportunities will be available across a range of areas both in Australia and internationally, including:",Australia,Yes,Yes,No,Yes,Yes,
BA,University of Sunshine Coast,Queensland (Moreton Bay),Bachelor of Animal Ecology,Science and Health Science,28000,,AUD,Years,3,Years,Yes,Yes,ATAR,54.55,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-animal-ecology,English,A,"Want to learn about how animals are impacted by the environment and human interaction and what we can do to protect their future? Develop your analytical and research skills to better understand how to conserve and manage animals. The program will build your knowledge of animal conservation, biodiversity and animal behaviour.Hands-on experience starts in your first year with fieldwork to North Stradbroke Island and your local region. During the program, you'll work with leading researchers on field trips and in the laboratory, thus delivering work-ready graduates who are able to blend concepts gleaned from the global literature with personal experience of a diversity of regional habitats and fauna.","Career opportunities will be available across a range of areas both in Australia and internationally, including:",Australia,Yes,Yes,No,Yes,Yes,
BA,University of Sunshine Coast,Queensland (Sunshine Coast),"Bachelor of Animal Ecology/Bachelor of Business (Tourism, Leisure and Event Management)",Tourism and Hotel Management,26400,,AUD,Years,4,Years,Yes,Yes,ATAR,54.55,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-animal-ecology-bachelor-of-business-tourism-leisure-and-event-management,English,A,"The Bachelor of Animal Ecology/Bachelor of Business (Tourism, Leisure and Event Management) is a hands-on, industry oriented four year program, aimed at training specialist animal ecologists and tourism managers who are skilled in maintaining and enhancing environmental integrity. You will learn how animals are impacted by the environment and human interaction and what we can do to protect their future. You will develop your analytical, management and research skills to better understand how to conserve animals, and how to engage with stakeholders in the scientific, public and business sectors. You will also learn how to assess the sustainability-related impacts of tourism, and how this links with animal conservation, biodiversity and animal behaviour. You will apply your growing knowledge and skills through fieldwork in locations such as Fraser Island and Stradbroke Island, and through industry projects designed to develop a solid foundation for your chosen career.Graduates of this degree will be trained to work as environmental consultants, wildlife managers, collectors and curators in museums, specialist environmental educators, ecotourism guides, within policy think-tanks, policy and planning, environment/visitor management, conservation NGO's, marketing, research organisations and public education.","Graduates of this degree will be trained to work as environmental consultants, wildlife managers, collectors and curators in museums, specialist environmental educators, ecotourism guides, within policy think-tanks, policy and planning, environment/visitor management, conservation NGO's, marketing, research organisations and public education.",Australia,Yes,Yes,No,Yes,Yes,
BA,University of Sunshine Coast,Queensland (Sunshine Coast),Bachelor of Arts,Creative Arts & Design & Music,24400,,AUD,Years,3,Years,Yes,Yes,ATAR,54.55,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-arts,English,A,"Follow your interests and build your own career with a flexible Bachelor of Arts. Choose from a wide range of specialisations, including literature, history, politics and international studies, sociology, and more.As an Arts graduate, you’ll enter the global marketplace of ideas with advanced skills in critical and creative thinking.",(depending on majors selected),Australia,Yes,Yes,No,Yes,Yes,
BA,University of Sunshine Coast,Queensland (Moreton Bay),Bachelor of Arts,Creative Arts & Design & Music,24400,,AUD,Years,3,Years,Yes,Yes,ATAR,54.55,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-arts,English,A,"Follow your interests and build your own career with a flexible Bachelor of Arts. Choose from a wide range of specialisations, including literature, history, politics and international studies, sociology, and more.As an Arts graduate, you’ll enter the global marketplace of ideas with advanced skills in critical and creative thinking.",(depending on majors selected),Australia,Yes,Yes,No,Yes,Yes,
HONS,University of Sunshine Coast,Queensland (Sunshine Coast),Bachelor of Arts (Honours),Creative Arts & Design & Music,26400,,AUD,Years,1,Year,Yes,Yes,,,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-arts-honours,English,A,"This program gives you the opportunity to research an area you’re passionate about. You’ll build your research skills as you design and conduct a thesis study to contribute to arts research, with the support of a supervisor with relevant research interests and expertise in your chosen area of study.You'll learn to critically review relevant published literature and undertake useful and meaningful research. You'll also develop your presentation skills and deliver at least two lectures on your research progress.","Depending on the research area selected, academia, government / corporate positions in policy development, public administration, journalism, multimedia design.",Australia,No,Yes,No,Yes,No,
HONS,University of Sunshine Coast,Queensland (Moreton Bay),Bachelor of Arts (Honours),Creative Arts & Design & Music,26400,,AUD,Years,1,Year,Yes,Yes,,,,,,,https://www.usc.edu.au/study/courses-and-programs/bachelor-degrees-undergraduate-programs/bachelor-of-arts-honours,English,A,"This program gives you the opportunity to research an area you’re passionate about. You’ll build your research skills as you design and conduct a thesis study to contribute to arts research, with the support of a supervisor with relevant research interests and expertise in your chosen area of study.You'll learn to critically review relevant published literature and undertake useful and meaningful research. You'll also develop your presentation skills and deliver at least two lectures on your research progress.","Depending on the research area selected, academia, government / corporate positions in policy development, public administration, journalism, multimedia design.",Australia,No,Yes,No,Yes,No,
