Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_1_grade_1,Prerequisite_2,Prerequisite_2_grade_2,Prerequisite_3,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks,Course_Delivery_Mode,FREE_TAFE
VOC,William Angliss Institute,Melbourne,Certificate III in Patisserie,Culinary,18600,9789,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/patisserie/Certificate-III-in-Patisserie/,English,A,"COURSE DESCRIPTION
The essential course for starting an enticing career in patisserie, this certificate arms you with the foundational vocational skills to become a specialist in all things sweet as a Pastry Chef/Patissier.
We provide on-campus training and industry engagment to teach you about desserts, gateaux, pastries, food safety, special dietary requirements and petit fours will setting you on a path to a career in patisserie.
 ",,Australia,No,Yes,No,Yes,No,,Normal,No
VOC,William Angliss Institute,Melbourne,Certificate III in Patisserie (Traineeship),Culinary,18600,,AUD,Course,2,Years,No,No,,,,,,,https://www.angliss.edu.au/courses/foods/patisserie/certificate-iii-in-patisserie-traineeship/,English,A,"COURSE DESCRIPTION
This Traineeship will develop core skills across a range of fundamental Patissserie competencies delivered in the workplace.
A patisserie traineeship with William Angliss will allow you to complete your qualification while working in the hospitality industry at your workplace of choice, guided by experienced pastry chefs and patissiers.
Gain on-the-job experience while you build a strong resume. You'll develop the fundamental skills for excellence in patisserie; from gateaux and petits fours to food safety and basic cookery methods.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

The Apprentice Lifecycle
Find out about the steps involved in completing an apprenticeship.


PRE-TRAINING REVIEW


The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place. 

This allows us to understand why you would like to study your course and what your career goals are. We can also ensure that you enroll in the course that is the best fit for you.
After you submit your application, we will send you a link to complete the Pre-Training Review!

Employer required",Traineeship,No
VOC,William Angliss Institute,Melbourne,Certificate IV in Patisserie,Culinary,27900,14658,AUD,Course,18,Months,Yes,No,,,,,,,https://www.angliss.edu.au/courses/foods/patisserie/Certificate-IV-in-Patisserie/,English,A,"COURSE DESCRIPTION
With this highly regarded certificate course from Angliss, students develop competencies and study specialty units alongside completing all units within the certificate III Patisserie program. Students completing this course are highly sort after by the industry.
Develop your skills in patisserie through practical sessions on campus to learn foundational Patisserie vocational skills to artisan techniques of sugar and chocolate, Cake decorating, produce desserts and modern gateaux.
Certificate IV in Patisserie expands on all aspects of patisserie skills knowledge and concepts through this industry-leading certificate course.
You do not need to complete the Certificate III patisserie program prior to applying for this course, this course is an extended version of the Certificate III program.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate IV in Patisserie (Traineeship),Culinary,27900,,AUD,Course,2,Years,No,No,,,,,,,https://www.angliss.edu.au/courses/foods/patisserie/certificate-iv-in-patisserie-traineeship/,English,A,"COURSE DESCRIPTION
A patisserie traineeship allows you to gain a valuable qualification while continuing to work in the hospitality industry, supporting your learning with experiential training.
Students can expand all aspects of their patisserie abilities through this industry-leading certificate course. With the Certificate IV you'll continue to develop your patisserie competencies and creativity.
Develop your skills in patisserie through practical sessions in industry to learn artisan techniques of sugar and chocolate decorative work and modern gateaux.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

The Apprentice Lifecycle
Find out about the steps involved in completing an apprenticeship.


PRE-TRAINING REVIEW


The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place. 

This allows us to understand why you would like to study your course and what your career goals are. We can also ensure that you enroll in the course that is the best fit for you.
After you submit your application, we will send you a link to complete the Pre-Training Review!

Employer required",Traineeship,No
VOC,William Angliss Institute,Melbourne,Dual Qualification - Certificate III in Commercial Cookery/Certificate IV in Patisserie,Culinary,18600,,AUD,Course,18,Months,Yes,No,,,,,,,https://www.angliss.edu.au/courses/foods/cookery/Dual-Qualification-Certificate-III-in-Commercial-Cookery-Certificate-IV-in-Patisserie/,English,A,"COURSE DESCRIPTION
This unique course gives you the flexibility to explore both cookery and patisserie, and expands your potential employment opportunities both domestically and globally.
This intensive course provides you with strong fundamental skills, practical experience and industry participation across commercial cookery and patisserie.
By adding patisserie skills to your cookery repertoire, you could be the next generation's desserts sensation and an asset to any culinary team.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Normal,No
PG,William Angliss Institute,Melbourne,Master of Philosophy (Major Thesis) and Master of Philosophy (Praxis and Exegesis),Humanities and Social Science,,20000,AUD,Course,2,Years,Yes,Yes,,,,,,,https://www.angliss.edu.au/courses/other/Master-of-Philosophy/,English,A,"COURSE DESCRIPTION
William Angliss Institute is the only TAFE in Australia to offer a research-based Master of Philosophy and the only non-university to offer a Master of Philosophy by Praxis and Exegesis. As a specialist institution focused on, and with close and proactive links to, the increasingly economically important foods, tourism, hospitality and events industries, we are ideally placed to offer these internationally recognised higher degrees by research programs with their compelling mix of academic rigour and practical real world experience
The Master of Philosophy (Praxis and Exegesis), with its emphasis on a research-based creative project, lends itself particularly well to higher studies in foods, tourism, hospitality and events. Projects will encompass real world applications, for example, developing new approaches to guest services to improve productivity, or looking at the economic and community benefits of food festivals.",,Australia,No,Yes,No,Yes,No,"Entry requirements


ACADEMIC:

a three-year Bachelor degree with average grades of at least High Distinction for the final year (equivalent to above 80 percent on the Angliss grading scale);
a four-year Bachelor degree or an honours degree with average grades of at least High Distinction for the final year (equivalent to above 80 percent on Angliss grading scale);
a Master by Coursework degree with average grades of at least Distinction for the final year (equivalent to above 70 percent on the Angliss grading scale); or

OTHER (NON-ACADEMIC):

professional experience in your chosen field through which you have developed applied knowledge and skills and which satisfies us that you have the potential to successfully complete the Master of Philosophy; and
any other condition relating to prerequisite study that we may impose, which usually requires you to prepare a portfolio covering your:

Professional awards and memberships;
Professional currency – evidence of engagement with the profession, involvement with professional associations;
Professional qualifications and accreditations;
Teaching and scholarship - details of your teaching experience and scholarly practice relative to your discipline and/or area of professional practice; and
Research and/or reflective practice contributions, including but not limited to: website contributions, conference presentations, workshop presentations, contributions to trade magazines and the media.



Potential students should undertake to find a suitable supervisor, prior to application. Please see our Academic Staff Profiles page to view detailed profiles for our research active staff.",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate II in Kitchen Operations,Computer Science & Information Technology,,,AUD,Course,2,Years,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/cookery/certificate-ii-in-kitchen-operations/,English,A,"COURSE DESCRIPTION
Get out of the library and into the kitchen with this industry known kitchen operations course. This introductory certificate teaches basic food preparation and cookery skills, paving a path to work in kitchen operations or get a jumpstart on your Certificate III in Commercial Cookery.
This course gives you the basic knowledge and skills to start working in restaurants, hotels, catering, clubs, pubs, cafes and more. You'll learn in one of our live kitchen classrooms developing core skills and have a chance to experience unique opportunities like working alongside a famed international chef in the Great Chefs Program.
This course is offered via the VET DSS program and VCAL. ",,Australia,No,Yes,No,Yes,No,"Entry Requirements



Successful completion of Year 9 (or equivalent)
16 or 17 years of age",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate III in Commercial Cookery,Culinary,18600,9789,AUD,Course,1,Year,Yes,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/cookery/Certificate-III-in-Commercial-Cookery/,English,A,"COURSE DESCRIPTION
Learn fundamental skills and develop knowledge in a wide range of subjects to become job ready. This course lays the foundations of restaurant cookery, knife skills, food safety practices and more. On graduation, you'll have the skills to work as a qualified cook, kitchen manager, commis chef or food business owner.
Angliss practical classes have no more than 16 people, so you'll enjoy plenty of one-on-one time with our trainers, allowing you to fully develop your technique and skills.
Your studies in commercial cookery will also equip you with skills in financial, team and kitchen management so you'll be trained across every aspect of running a busy kitchen while keeping operations running smoothly.",,Australia,No,Yes,No,Yes,No,"Entry Requirements

Pre-Training Review
The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place.
 
This allows us to understand why you would like to study your course and what your careers goals are. We can also ensure that you enrol in the course that is the best fit for you.

After you submit your application, we will send you a link to complete the Pre-Training Review!",Normal,No
VOC,William Angliss Institute,Melbourne,Certificate III in Commercial Cookery - Apprenticeship,Culinary,18600,,AUD,Course,3,Years,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/cookery/Certificate-III-in-Commercial-Cookery-Apprenticeship/,English,A,"COURSE DESCRIPTION
A cookery apprenticeship provides emerging chefs with fundamental skills through campus-based training combined with on-the-job apprentice experience.
Learn fundamental skills and develop knowledge while you work and build your resume. This course lays cooking foundations in restaurant cookery, knife skills, food safety practices and more. On graduation, you'll have the skills to work as a qualified cook, kitchen manager, commis chef or food business owner.
Your studies and apprenticeship in commercial cookery will also equip you with skills in financial, team and kitchen management so you'll be trained across every aspect of running a busy kitchen while keeping operations running smoothly.
 ",,Australia,No,Yes,No,Yes,No,"Entry Requirements

The Apprentice Lifecycle
Find out about the steps involved in completing an apprenticeship.


PRE-TRAINING REVIEW


The Pre-Training Review is not a test – it is simply a government requirement and must be completed before we can offer you a place. 

This allows us to understand why you would like to study your course and what your career goals are. We can also ensure that you enroll in the course that is the best fit for you.
After you submit your application, we will send you a link to complete the Pre-Training Review!

Employer required",Apprenticeship,No
,William Angliss Institute,Sydney,CERTIFICATE III IN CATERING OPERATIONS,Business & Commerce & Finance & Accounting,,5050,AUD,Course,1,Year,No,Yes,,,,,,,https://www.angliss.edu.au/courses/foods/cookery/certificate-iii-in-catering-operations/,English,A,"COURSE OVERVIEW
Certificate III in Catering Operations (Release 1) is tailored to meet the growing needs of the Aged Care Longevity sector.
With a specialisation in this sector, individuals can expect a rewarding and reliable vocation, with family-friendly hours. From this training, students will be well placed to provide the best catering and nutritional care for a vulnerable, diverse community.
Developed in close consultation with industry and supported by the Federal and State governments, students will have access to the leading expertise for aged care longevity food services throughout this course.",,Australia,No,Yes,No,Yes,No,,Normal,No
